Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68260109,moneygram,DENIZBANK - #9470 - BURSA - BURSA HEYKEL,,BURSA,,,TR,2231001,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262893,moneygram,DENIZBANK - #9084 - BURSA,,BURSA,,,TR,2721800,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265502,moneygram,DENIZBANK - #4780 - BURSA - MUDANYA,,BURSA,,,TR,5447878,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264367,moneygram,DENIZBANK - #1095 - BURSA - YENIYOL,,BURSA,,,TR,2200444,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260921,moneygram,DENIZBANK - #3280 - BURSA - NILUFER,,BURSA,,,TR,4433900,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263300,moneygram,DENIZBANK - #3340 - BURSA - INEGOL,,BURSA,,,TR,7112181,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264260,moneygram,DENIZBANK - #8010 - BURSA - KESTEL,,BURSA,,,TR,3726911,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68266022,moneygram,DENIZBANK - #7090 - BURSA - FSM BULVARI,,BURSA,,,TR,2423154,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263711,moneygram,DENIZBANK - #1070 - BURSA - GURSU,,BURSA,,,TR,3762340,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261360,moneygram,DENIZBANK - #4450 - BURSA - ORHANGAZI,,BURSA,,,TR,5723141,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263517,moneygram,DENIZBANK - #4290 - BURSA - ULUYOL,,BURSA,,,TR,2523200,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265308,moneygram,DENIZBANK - #4370 - BURSA - MUSTAFAKEMAL,,BURSA,,,TR,6136787,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265625,moneygram,DENIZBANK - #1300 - BURSA - YENISEHIR,,BURSA,,,TR,7735700,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261645,moneygram,DENIZBANK - #4800 - BURSA - KARACABEY,,BURSA,,,TR,6768112,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263999,moneygram,DENIZBANK - #1760 - BURSA - GEMLIK,,BURSA,,,TR,5122526,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261962,moneygram,DENIZBANK - #1950 - BURSA - IZNIK,,BURSA,,,TR,7573044,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
