Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://stores.footlocker.es/en/es-cm/cornelladellobregat/,footlocker,"Foot Locker Locations in Cornella De Llobregat, Castilla-La Mancha | Approved",,New York,NY,,ES,(800) 863-8932,https://stores.footlocker.es/en/es-cm/cornelladellobregat/,,Foot Locker,Q63335
https://stores.footlocker.es/en/es-vi/vitoria/,footlocker,"Foot Locker Locations in Vitoria, Álava / Araba | Approved",,New York,NY,,ES,(800) 863-8932,https://stores.footlocker.es/en/es-vi/vitoria/,,Foot Locker,Q63335
https://stores.footlocker.es/en/es-tf/santacruzdetenerife/,footlocker,"Foot Locker Locations in SANTA CRUZ DE TENERIFE, Santa Cruz de Tenerife | Approved",,New York,NY,,ES,(800) 863-8932,https://stores.footlocker.es/en/es-tf/santacruzdetenerife/,,Foot Locker,Q63335
https://stores.footlocker.es/en/es-or/barakaldo/,footlocker,"Foot Locker Locations in Barakaldo, Ourense | Approved",,New York,NY,,ES,(800) 863-8932,https://stores.footlocker.es/en/es-or/barakaldo/,,Foot Locker,Q63335
https://stores.footlocker.es/en/es-o/poladesiero/,footlocker,"Foot Locker Locations in Pola De Siero, Asturias | Approved",,New York,NY,,ES,(800) 863-8932,https://stores.footlocker.es/en/es-o/poladesiero/,,Foot Locker,Q63335
https://stores.footlocker.es/en/es-ri/logrono/,footlocker,"Foot Locker Locations in Logrono, La Rioja | Approved",,New York,NY,,ES,(800) 863-8932,https://stores.footlocker.es/en/es-ri/logrono/,,Foot Locker,Q63335
https://stores.footlocker.es/en/es-md/sansebastiandelosreyes/,footlocker,"Foot Locker Locations in San Sebastian De Los Reyes, Madrid | Approved",,New York,NY,,ES,(800) 863-8932,https://stores.footlocker.es/en/es-md/sansebastiandelosreyes/,,Foot Locker,Q63335
https://stores.footlocker.es/en/es-mu/churra/,footlocker,"Foot Locker Locations in CHURRA, Murcia | Approved",,New York,NY,,ES,(800) 863-8932,https://stores.footlocker.es/en/es-mu/churra/,,Foot Locker,Q63335
https://stores.footlocker.es/en/es-md/majadahonda/,footlocker,"Foot Locker Locations in Majadahonda, Madrid | Approved",,New York,NY,,ES,(800) 863-8932,https://stores.footlocker.es/en/es-md/majadahonda/,,Foot Locker,Q63335
https://stores.footlocker.es/en/es-md/madrid/,footlocker,"Foot Locker Locations in Madrid, Madrid | Approved",,New York,NY,,ES,(800) 863-8932,https://stores.footlocker.es/en/es-md/madrid/,,Foot Locker,Q63335
