Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72480865,moneygram,HALK BANK,,NUKUS,,,UZ,+998 78 770 63 13,,Mo-Fr 08:00-17:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
72708424,moneygram,HALK BANK - NUKUS - NUKUS SHAXAR MARKAZ,,NUKUS,,,UZ,+998 78 770 63 13,,Mo-Fr 08:00-17:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
72941977,moneygram,HALK BANK - NUKUS - MUSTAQILLIK BXM,,NUKUS,,,UZ,+998 78 770 63 13,,Mo-Fr 08:00-17:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
72941980,moneygram,HALK BANK - NUKUS - NUKUS DEHQON BOZOR B,,NUKUS,,,UZ,+998 78 770 63 13,,Mo-Fr 08:00-17:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
69233863,moneygram,JSCB MIKROKREDITBANK - OTDELENIE KARAKAL,,NUKUS,,,UZ,+998 61 222 89 32,,Mo-Fr 08:00-18:00; Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
73756789,moneygram,TURONBANK,,NUKUS,,,UZ,61612222038,,Mo-Fr 08:00-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73756792,moneygram,TURONBANK,,NUKUS,,,UZ,61612225663,,Mo-Fr 08:00-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73757144,moneygram,TURONBANK,,NUKUS,,,UZ,61612222037,,Mo-Fr 08:00-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73846369,moneygram,HAMKORBANK - AMUDARYA OFIS BANKOVSKIH US,,MANGIT,,,UZ,+998 61 515 23 24,,Mo-Fr 07:00-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
74004294,moneygram,AGROBANK,,NUKUS,,,UZ,71202800858303,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
42182601,moneygram,QISHLOQ QUIRILISH BANK,,NUKUS,,,UZ,9983612237347,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65832035,moneygram,HAMKORBANK,,NUKUS,,,UZ,+998 61 222 23 09,,Mo-Sa 06:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
66109505,moneygram,IPOTEKA BANK,,NUKUS,,,UZ,+998 71 150 98 21,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66717939,moneygram,ALOKABANK,,NUKUS,,,UZ,+998 61 222 03 20,,Mo-Fr 09:00-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
67135316,moneygram,UZPROMSTROYBANK,,BOSTON,,,UZ,+998 61 585 27 13,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
67375338,moneygram,ALOKABANK,,NUKUS,,,UZ,3612220362,,Mo-Fr 09:00-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
67375341,moneygram,ALOKABANK,,NUKUS,,,UZ,3612219887,,Mo-Fr 09:00-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71213936,moneygram,HAMKORBANK - NUKUS - MINIBANK BEREKET,,NUKUS,,,UZ,+998 61 224 23 48,,Mo-Sa 06:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71213949,moneygram,HAMKORBANK - NUKUS - MINIBANK KARAKUM,,NUKUS,,,UZ,+998 61 222 47 78,,Mo-Sa 06:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
67135730,moneygram,UZPROMSTROYBANK,,NUKUS,,,UZ,617800184,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71883890,moneygram,KAPITAL BANK - NUKUS - MINI-BANK UNIVERS,,NUKUS,,,UZ,3617800190,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
71917300,moneygram,IPOTEKA BANK - NUKUS - PUNKT JAYHUN,,NUKUS,,,UZ,+998 61 224 02 47,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
