State,Place Name,City,Establishments
UNKNOWN,accor,unknown,2
COMMUNEDEMONACO,audi,MONACO,1
PRINCIPATODIMONACO,botteg_aveneta,Montecarlo,1
UNKNOWN,church_of_england_gb,unknown,1
COMMUNEDEMONACO,cic,MONACO,4
UNKNOWN,deloitte,unknown,1
UNKNOWN,gbfs,unknown,48
MC,hugo_boss,Monaco,1
COMMUNEDEMONACO,ikks,MONACO,2
UNKNOWN,lhw,Monte Carlo,3
UNKNOWN,longchamp,MONACO,1
UNKNOWN,marriott,Monte Carlo,1
UNKNOWN,sixt,Monaco,1
COMMUNEDEMONACO,starbucks_eu,Monaco,2
UNKNOWN,united_colors_of_benetton,MONTECARLO,1
PRINCIPAUTEDEMONACO,visa,MONACO,5
UNKNOWN,visa,MONACO,25
MONACO,visa,MONACO,3
UNKNOWN,visa,MONTE CARLO,4
PRINCIPAUTEDEMONACO,visa,USSEL,1
PRINCIPAUTEDEMONACO,visa,ST GERVAIS D'AUVERGNE,1
PRINCIPAUTEDEMONACO,visa,VICHY,1
UNKNOWN,visa,MONTE-CARLO,1
