Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
71686754,moneygram,BTN - BOGOR - CIBANTENG,,BOGOR,,,ID,+62 251 87900355,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68919421,moneygram,ARTHAPOS - #BOO - BOGOR - KPRK BOGOR,,BOGOR,,,ID,+62 21 71794849,,Mo-Sa 06:00-22:00; Su 07:00-15:00,MoneyGram,Q1944412
71686615,moneygram,BTN - BOGOR - WARUNG JAMBU,,BOGOR,,,ID,+62 251 30044668,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686631,moneygram,BTN - BOGOR - CITEUREUP,,BOGOR,,,ID,+62 21 6922569,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686644,moneygram,BTN - BOGOR - DRAMAGA,,BOGOR,,,ID,+62 251 8311700,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686657,moneygram,BTN - BOGOR - CIMANGGU,,BOGOR,,,ID,+62 21 8758564,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686709,moneygram,BTN - BOGOR - SUKAHATI,,BOGOR,,,ID,+62 21 2310490,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686712,moneygram,BTN - BOGOR - CARINGIN,,BOGOR,,,ID,+62 251 87987608,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686770,moneygram,BTN - BOGOR - SEMERU,,BOGOR,,,ID,+62 251 8223974,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686796,moneygram,BTN - BOGOR - JAMPANG,,BOGOR,,,ID,+62 251 8662208,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686806,moneygram,BTN - BOGOR - CILEBUT,,BOGOR,,,ID,+62 251 8629660,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71689421,moneygram,BTN - DEPOK - CIMANGGIS,,DEPOK,,,ID,21222550,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71689434,moneygram,BTN - DEPOK - SAWANGAN,,DEPOK,,,ID,+62 251 228500,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690070,moneygram,BTN - BOGOR - CITRA INDAH,,BOGOR,,,ID,+62 21 84300071,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690180,moneygram,BTN - BOGOR - METLAND,,BOGOR,,,ID,+62 21 86862350,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692557,moneygram,BTN - BOGOR - BOGOR,,BOGOR,,,ID,+62 251 7492074,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692573,moneygram,BTN - BOGOR - CIBINONG,,BOGOR,,,ID,+62 21 5370773,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690067,moneygram,BTN - BOGOR - CILEUNGSI,,BOGOR,,,ID,+62 21 3111330,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686673,moneygram,BTN - BOGOR - CIOMAS,,BOGOR,,,ID,+62 251 391240,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692560,moneygram,BTN - BOGOR - BOGOR WARUNG JAMBU,,BOGOR,,,ID,+62 251 4144554,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71689120,moneygram,BTN - BOGOR - PARUNG,,BOGOR,,,ID,+62 251 7440531,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686628,moneygram,BTN - BOGOR - TAJUR,,BOGOR,,,ID,+62 251 3440216,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686592,moneygram,BTN - BOGOR - BOGOR,,BOGOR,,,ID,+62 251 29456613,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686660,moneygram,BTN - BOGOR - BOJONG GEDE,,BOGOR,,,ID,21322704,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686602,moneygram,BTN - BOGOR - CIBINONG,,BOGOR,,,ID,+62 21 62309230,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686741,moneygram,BTN - BOGOR - VILLA BOGOR,,BOGOR,,,ID,+62 251 8355844,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71693284,moneygram,BTN - BOGOR - KOTA WISATA CIBUBUR,,BOGOR,,,ID,+62 21 2310490,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686767,moneygram,BTN - BOGOR - CILUAR,,BOGOR,,,ID,+62 251 87909909,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
