City,Place Name,Zipcode,Name
"E.N 109 KM19,5 - ESPINHO Z0470853",repsol_pt,,unknown,E.S. SILVALDE
OLIVEIRA AZEMEIS,repsol_pt,,unknown,E.S. OLIVEIRA DE AZEMEIS
Z.I.TRAV-S J MADEIRA Z0470585,repsol_pt,,unknown,E.S. S. JOAO MADEIRA Z.IND.
OLIVEIRA DE AZEMEIS Z0470602,repsol_pt,,unknown,E.S. NOGUEIRA DO CRAVO
FEIRA-S JOAO VER,repsol_pt,,unknown,E.S. LOUROSA
S JOAO MADEIRA Z0461726,repsol_pt,,unknown,E.S. S. JOAO MADEIRA II
ARGONCILHE Z0461960,repsol_pt,,unknown,E.S. ARGONCILHE
S.JOAO DA MADEIRA,repsol_pt,,unknown,E.S. S. JOAO MADEIRA I
AROUCA,repsol_pt,,unknown,E.S. AROUCA
ESPINHO,repsol_pt,,unknown,E.S. ESPINHO CENTRO
OLIV AZEMEIS Z0461719,repsol_pt,,unknown,E.S. OLIVEIRA AZEMEIS Z.IND
ALFENA,repsol_pt,,unknown,E.S. ALFENA
RIBEIRA CAMPO-VALONGO Z0470858,repsol_pt,,unknown,E.S. GANDRA PAREDES
PORTO Z0460404,repsol_pt,,unknown,E.S. GOMES COSTA
Ermesinde Z0467637,repsol_pt,,unknown,E.S. ERMESINDE
ERMESINDE A4 Z0467642,repsol_pt,,unknown,E.S. ERMESINDE A4
Porto - ANTAS (VELHO) Z0460399,repsol_pt,,unknown,E.S. ANTAS I
PORTO    Z0460401,repsol_pt,,unknown,E.S. ANTAS II
V NOVA GAIA Z0471031,repsol_pt,,unknown,E.S. GRIJO
PORTO Z0460461,repsol_pt,,unknown,E.S. CONSTITUICÃO
PORTO-Z0467645,repsol_pt,,unknown,E.S. JULIO DINIS
LECA DO BALIO-Z0467647,repsol_pt,,unknown,E.S. LECA DO BALIO
MAIA,repsol_pt,,unknown,E.S. MAIA B
PORTO-Z0467658,repsol_pt,,unknown,E.S. MONTE DOS BURGOS
VILA DAS AVES-1 Z0471050,repsol_pt,,unknown,E.S. VILA DAS AVES A
VILA DAS AVES-2 Z0471050,repsol_pt,,unknown,E.S. VILA DAS AVES B
V N GAIA (1) Z0460375,repsol_pt,,unknown,E.S. GAIA A - A.S.
V N GAIA (2) Z0460376,repsol_pt,,unknown,E.S. GAIA B - A.S.
Moreira da Maia PORTO-Z0467660,repsol_pt,,unknown,E.S. PADRAO DA MOREIRA
RIO TINTO-Z0467757,repsol_pt,,unknown,E.S. RIO TINTO
VILA NOVA DE GAIA,repsol_pt,,unknown,E.S. CANIDELO
SRA HORA - MATOSINHOS Z0471175,repsol_pt,,unknown,E.S. SRA DA HORA
GONDOMAR Z0460383,repsol_pt,,unknown,E.S. GONDOMAR
TROFA,repsol_pt,,unknown,E.S. TROFA
V NOVA GAIA Z0467643,repsol_pt,,unknown,E.S. GAIA I
V NOVA GAIA Z0467613,repsol_pt,,unknown,E.S. GAIA II
POVOA VARZIM Z0470630,repsol_pt,,unknown,E.S. POVOA VARZIM
PORTO Z0460402,repsol_pt,,unknown,E.S. CONDE COVILHA
MATOSINHOS Z0460396,repsol_pt,,unknown,E.S. MATOSINHOS
ERMESINDE Z0460380,repsol_pt,,unknown,E.S. ERMESINDE CENTRO
MATOSINHOS-IP4 Z0460397,repsol_pt,,unknown,E.S. MATOSINHOS-IP4
S MAMEDE INFESTA Z0460405,repsol_pt,,unknown,E.S. S. MAMEDE INFESTA
STO TIRSO Z0460408,repsol_pt,,unknown,E.S. STO TIRSO
Vila Nova Gaia,repsol_pt,,unknown,E.S. VILAR PARAISO B - (A.S.)
GONDOMAR,repsol_pt,,unknown,E.S. GONDOMAR S. COSME
POVOA DE VARZIM,repsol_pt,,unknown,E.S. POVOA DE VARZIM VIA B
S MAMEDE INFESTA Z0460394,repsol_pt,,unknown,E.S. MAKRO-MATOSINHOS
AZURARA - VILA DO CONDE,repsol_pt,,unknown,E.S. AZURARA
Arcozelo,repsol_pt,,unknown,E.S. ARCOZELO
RIO TINTO,repsol_pt,,unknown,E.S. RIO TINTO II
V N GAIA Z0460386,repsol_pt,,unknown,E.S. GAIA - INF. D. HENRIQUE
CANELAS,repsol_pt,,unknown,E.S. CANELAS
MAIA Z0460385,repsol_pt,,unknown,E.S. MAIA CENTRO
TROFA  Z0460464,repsol_pt,,unknown,E.S. TROFA II
VALONGO Z0460387,repsol_pt,,unknown,E.S. VALONGO
GANDRA,repsol_pt,,unknown,E.S. GANDRA ROTUNDA OLIVEIRAS
PAREDES,repsol_pt,,unknown,E.S. CETE - PAREDES
SOBROSA-PAREDES,repsol_pt,,unknown,E.S. SOBROSA-PAREDES
BROALHOS Z0460462,repsol_pt,,unknown,E.S. BROALHOS
MOREIRA MAIA Z0460398,repsol_pt,,unknown,E.S. MOREIRA DA MAIA
