Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
74429701,moneygram,COMMERCIAL BANK OF ETHIOPIA - ARABSA GEB,,ADDIS ABABA,,,ET,+251 11 661 0042,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74429594,moneygram,COMMERCIAL BANK OF ETHIOPIA - BOLE ATLAS,,ADDIS ABABA,,,ET,116672934,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74429620,moneygram,COMMERCIAL BANK OF ETHIOPIA - BOLE DILED,,ADDIS ABABA,,,ET,116673136,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74429617,moneygram,COMMERCIAL BANK OF ETHIOPIA - BULBULA MA,,ADDIS ABABA,,,ET,116673126,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74429604,moneygram,COMMERCIAL BANK OF ETHIOPIA - JAFAR,,ADDIS ABABA,,,ET,116673126,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74429646,moneygram,COMMERCIAL BANK OF ETHIOPIA - SUNNAH,,ADDIS ABABA,,,ET,+251 11 124 9201,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74429633,moneygram,COMMERCIAL BANK OF ETHIOPIA - YIDNEKACHE,,ADDIS ABABA,,,ET,116673137,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74544039,moneygram,COMMERCIAL BANK OF ETHIOPIA - GERJI UNIT,,ADDIS ABABA,,,ET,+251 11 629 1571,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74567029,moneygram,COMMERCIAL BANK OF ETHIOPIA - AYAT FRESB,,ADDIS ABABA,,,ET,+251 11 662 7894,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74567032,moneygram,COMMERCIAL BANK OF ETHIOPIA - GEDERA,,ADDIS ABABA,,,ET,115247891,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74567016,moneygram,COMMERCIAL BANK OF ETHIOPIA - SHOLA MEBR,,ADDIS ABABA,,,ET,+251 11 662 5478,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74686201,moneygram,COMMERCIAL BANK OF ETHIOPIA - ADIKEYIH,,MEKELLE,,,ET,476677510,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74686227,moneygram,COMMERCIAL BANK OF ETHIOPIA - ANSAR,,ADWA,,,ET,475789489,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74711273,moneygram,COMMERCIAL BANK OF ETHIOPIA - 72 MAZORIA,,ADDIS ABABA,,,ET,115789489,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74711257,moneygram,COMMERCIAL BANK OF ETHIOPIA - ADERE SEFE,,ADDIS ABABA,,,ET,116677510,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74753558,moneygram,COMMERCIAL BANK OF ETHIOPIA - IMRAN MESJ,,ADDIS ABABA,,,ET,114578962,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74753532,moneygram,COMMERCIAL BANK OF ETHIOPIA - ALI BIRA,,DEBRE ZETIT,,,ET,112354789,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74807297,moneygram,COMMERCIAL BANK OF ETHIOPIA - AGEW MIDER,,DEBRE MARK'OS,,,ET,584578962,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74913259,moneygram,COMMERCIAL BANK OF ETHIOPIA - DENEN BRAN,,JIJIGA,,,ET,112354789,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74913275,moneygram,COMMERCIAL BANK OF ETHIOPIA - BOQOLE MAY,,JIJIGA,,,ET,114578962,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
