Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
69203246,moneygram,BERHAN INTERNATIONAL BANK S.C. - KOTEBE,,ADDIS ABABA,,,ET,116675528,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69203259,moneygram,BERHAN INTERNATIONAL BANK S.C. - EMPEROR,,GONDER,,,ET,+251 91 881 3247,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69203262,moneygram,BERHAN INTERNATIONAL BANK S.C. - GAMBELL,,GAMBELLA,,,ET,+251 11 618 5732,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69203275,moneygram,BERHAN INTERNATIONAL BANK S.C. - MEHALWE,,ADDIS ABABA,,,ET,+251 11 618 5732,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69204122,moneygram,BERHAN INTERNATIONAL BANK S.C. - AMBO BR,,AMBO,,,ET,+251 11 236 2667,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69204164,moneygram,BERHAN INTERNATIONAL BANK S.C. - HAWASSA,,HAWASSA,,,ET,462125205,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69205639,moneygram,BERHAN INTERNATIONAL BANK S.C. - WOLLO S,,ADDIS ABABA,,,ET,115572485,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69205642,moneygram,BERHAN INTERNATIONAL BANK S.C. - WOLLETE,,ADDIS ABABA,,,ET,+251 91 374 9550,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69205655,moneygram,BERHAN INTERNATIONAL BANK S.C. - WOLLISO,,WOLLISO,,,ET,113664113,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69205668,moneygram,BERHAN INTERNATIONAL BANK S.C. - AYER TE,,ADDIS ABABA,,,ET,113694718,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69205684,moneygram,BERHAN INTERNATIONAL BANK S.C. - GULLELE,,ADDIS ABABA,,,ET,+251 11 618 5732,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69205697,moneygram,BERHAN INTERNATIONAL BANK S.C. - ATOBIS,,ADDIS ABABA,,,ET,+251 11 618 5732,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69205710,moneygram,BERHAN INTERNATIONAL BANK S.C. - PIASSA,,ADDIS ABABA,,,ET,+251 11 618 5732,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69204135,moneygram,BERHAN INTERNATIONAL BANK S.C. - SARIS A,,ADDIS ABABA,,,ET,+251 91 152 7828,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69246818,moneygram,BERHAN INTERNATIONAL BANK S.C. - KIDIST,,ADDIS ABABA,,,ET,115632083,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69466520,moneygram,BERHAN INTERNATIONAL BANK - TOTBEN GERBA,,BISHOFTU,,,ET,+251 11 663 2083,,Mo-Th 08:00-18:00; Fr-Su 00:00-24:00,MoneyGram,Q1944412
69466504,moneygram,BERHAN INTERNATIONAL BANK - HANNA MARIAM,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Th 08:00-18:00; Fr-Su 00:00-24:00,MoneyGram,Q1944412
69466517,moneygram,BERHAN INTERNATIONAL BANK - SIDST KILLO,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Th 08:00-18:00; Fr-Su 00:00-24:00,MoneyGram,Q1944412
69466546,moneygram,BERHAN INTERNATIONAL BANK - KEBENA,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Th 08:00-18:00; Fr-Su 00:00-24:00,MoneyGram,Q1944412
69466533,moneygram,BERHAN INTERNATIONAL BANK - SIGNAL,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Th 08:00-18:00; Fr-Su 00:00-24:00,MoneyGram,Q1944412
69467736,moneygram,BERHAN INTERNATIONAL BANK - SEBETA,,SEBETA,,,ET,+251 11 663 2083,,Mo-Th 08:00-18:00; Fr-Su 00:00-24:00,MoneyGram,Q1944412
69467749,moneygram,BERHAN INTERNATIONAL BANK - ENKULAL FABR,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Th 08:00-18:00; Fr-Su 00:00-24:00,MoneyGram,Q1944412
69468353,moneygram,BERHAN INTERNATIONAL BANK - DEMBIDOLO,,DEMBI DOLO,,,ET,+251 11 663 2083,,Mo-Th 08:00-18:00; Fr-Su 00:00-24:00,MoneyGram,Q1944412
69468366,moneygram,BERHAN INTERNATIONAL BANK - GOTERA,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Th 08:00-18:00; Fr-Su 00:00-24:00,MoneyGram,Q1944412
69711055,moneygram,BERHAN INTERNATIONAL BANK - LEBU,,LEBU,,,ET,+251 11 663 2083,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69711479,moneygram,BERHAN INTERNATIONAL BANK - LIDETA,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69711482,moneygram,BERHAN INTERNATIONAL BANK- BOLE 24 - BOL,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69711796,moneygram,BERHAN INTERNATIONAL BANK - SHIROMEDA,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69712164,moneygram,BERHAN INTERNATIONAL BANK - BOLE AIRPORT,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69712177,moneygram,BERHAN INTERNATIONAL BANK - GURDSHOLA,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69712782,moneygram,BERHAN INTERNATIONAL BANK - JAKROS,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69712779,moneygram,BERHAN INTERNATIONAL BANK - MESKELFLOWER,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
70682911,moneygram,BERHAN INTERNATIONAL BANK - SHALA SUB BR,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70682937,moneygram,BERHAN INTERNATIONAL BANK - OLD AIR PORT,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70682953,moneygram,BERHAN INTERNATIONAL BANK - FURRY BRANCH,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70682966,moneygram,BERHAN INTERNATIONAL BANK - WOLDIA BRANC,,WOLDIA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70683020,moneygram,BERHAN INTERNATIONAL BANK - AYAT BRANCH,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70683033,moneygram,BERHAN INTERNATIONAL BANK - HAYAHULET GE,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
