Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
997075d02858680395a10868c816a955,western_union,EQUITY BANK ELDORET,,Eldoret,UASIN GISHU,,KE,+254 763 068030,https://location.westernunion.com/ke/uasin-gishu/eldoret/997075d02858680395a10868c816a955,Mo-Fr 08:00-18:00; Sa 08:00-13:00,Western Union,Q861042
1d549b22ce404201cb33067da2373d75,western_union,KCB ELDORET EAST,,Eldoret,UASIN GISHU,,KE,+254 20 2168605,https://location.westernunion.com/ke/uasin-gishu/eldoret/1d549b22ce404201cb33067da2373d75,Mo-Fr 08:30-17:00; Sa 08:30-13:00,Western Union,Q861042
b0328bd2c1b7c65ca591997cfa1694d1,western_union,CO OPERATIVE BANK ELDORET BRANCH,,Eldoret,UASIN GISHU,,KE,+254 722 202984,https://location.westernunion.com/ke/uasin-gishu/eldoret/b0328bd2c1b7c65ca591997cfa1694d1,Mo-Fr 08:00-18:00; Sa 08:00-15:00,Western Union,Q861042
ed8fab15f821e4aa0a08ae381ca098d2,western_union,I AND M ELDORET BRANCH,,Eldoret,UASIN GISHU,,KE,+254 20 3221017,https://location.westernunion.com/ke/uasin-gishu/eldoret/ed8fab15f821e4aa0a08ae381ca098d2,Mo-Fr 09:00-17:30; Sa 09:00-14:30,Western Union,Q861042
546bb09d5dea9109af3671eec05e62d8,western_union,KCB MOI REFERRAL HOSPITAL,,Eldoret,UASIN GISHU,,KE,+254 20 4400491,https://location.westernunion.com/ke/uasin-gishu/eldoret/546bb09d5dea9109af3671eec05e62d8,Mo-Fr 08:30-17:00; Sa 08:30-13:00,Western Union,Q861042
9cade9931d25f6d07ef122cdcc416281,western_union,BANK OF AFRICA ELDORET,,Eldoret,UASIN GISHU,,KE,+254 703 058120,https://location.westernunion.com/ke/uasin-gishu/eldoret/9cade9931d25f6d07ef122cdcc416281,Mo-Fr 08:30-16:00; Sa 09:00-13:00,Western Union,Q861042
0e75500b39a109376ec6eccabc1d2a0e,western_union,GULF AFRICAN ELDORET,,Eldoret,UASIN GISHU,,KE,(+254) 711-0755575,https://location.westernunion.com/ke/uasin-gishu/eldoret/0e75500b39a109376ec6eccabc1d2a0e,Mo-Fr 08:30-17:00; Sa 09:00-13:00,Western Union,Q861042
4a29c3805eabe0c69c84106f0811fe89,western_union,KWFT ELDORET,,Eldoret,UASIN GISHU,,KE,+254 53 2032280,https://location.westernunion.com/ke/uasin-gishu/eldoret/4a29c3805eabe0c69c84106f0811fe89,Mo-Fr 08:30-16:00; Sa 08:30-13:00,Western Union,Q861042
6d136d69f0fc6b900bec8fbf2f580759,western_union,NATIONAL BANK ELDORET,,Eldoret,UASIN GISHU,,KE,(+254) 20-28280000,https://location.westernunion.com/ke/uasin-gishu/eldoret/6d136d69f0fc6b900bec8fbf2f580759,Mo-Fr 08:00-17:00; Sa 08:00-13:00,Western Union,Q861042
31b3a86c2819a249ed7e039c32f33e1a,western_union,EQUITY BANK ELDORET MARKET BRANCH,,Eldoret,UASIN GISHU,,KE,+254 763 068109,https://location.westernunion.com/ke/uasin-gishu/eldoret/31b3a86c2819a249ed7e039c32f33e1a,Mo-Fr 08:00-18:00; Sa 08:00-13:00,Western Union,Q861042
dcd7e372f37dc552075a3800f259ebd2,western_union,KWFT KAPSABET,,Eldoret,UASIN GISHU,,KE,+254 770 765647,https://location.westernunion.com/ke/uasin-gishu/eldoret/dcd7e372f37dc552075a3800f259ebd2,Mo-Fr 08:30-16:00; Sa 08:30-13:00,Western Union,Q861042
