City,Place Name,Zipcode,Name
Nový Bydžov,dr_max,,unknown,"Masarykovo náměstí 508, Nový Bydžov"
Vamberk,penny,,unknown,PENNY
Náchod,penny,,unknown,PENNY
Chlumec nad Cidliou,penny,,unknown,PENNY
Nové Město nad Metují,penny,,unknown,PENNY
Hradec Králové,penny,,unknown,PENNY
Jičín,penny,,unknown,PENNY
Jaroměř,penny,,unknown,PENNY
Dvůr Králové,penny,,unknown,PENNY
Rychnov nad Kněžnou,penny,,unknown,PENNY
Vrchlabí,penny,,unknown,PENNY
Hradec Králo,penny,,unknown,PENNY
Nový Bydžov,penny,,unknown,PENNY
Hronov,penny,,unknown,PENNY
Kostelec nad Orlicí,penny,,unknown,PENNY
Červený Kostelec,penny,,unknown,PENNY
Hořice,penny,,unknown,PENNY
Nová Paka,penny,,unknown,PENNY
Trutnov,penny,,unknown,PENNY
Broumov,penny,,unknown,PENNY
Rychov nad Kěžou,penny,,unknown,PENNY
Třebechovice,penny,,unknown,PENNY
Hostinné,penny,,unknown,PENNY
Dobruška,penny,,unknown,PENNY
Police nad Metují,penny,,unknown,PENNY
Úpice,penny,,unknown,PENNY
Česká Skalice,penny,,unknown,PENNY
Týniště nad Orlicí,penny,,unknown,PENNY
TRUTNOV,shell,,unknown,8534 TRUTNOV
NACHOD,shell,,unknown,8035 NACHOD
HRADEC KRÁLOVÉ,shell,,unknown,8121 HRADEC KRÁLOVÉ-NEJEDLÉHO
OSTROMĚŘ,shell,,unknown,8144 OSTROMĚŘ
JIČÍN,shell,,unknown,8166 JIČÍN
Hradec Králové,tedi,,unknown,TEDi obchodni s.r.o.
HRADEC KRÁLOVÉ,visa,,unknown,unknown
