Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
66840932,moneygram,BOC - #16246 - SAXWN DUQIAO SUB-BR,,WEINAN,,,CN,+86 913 207 1457,,Mo-Fr 08:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840563,moneygram,BOC - #16248 - SAXWN CHAOYANGJIE SUB-BR,,WEINAN,,,CN,+86 913 205 3390,,Mo-Fr 08:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840576,moneygram,BOC - #16254 - SAXWN JIEFANGLU SUB-BR,,WEINAN,,,CN,+86 913 207 4991,,Mo-Fr 08:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842383,moneygram,BOC - #16245 - SAXWN ECONOMIC DEVELOPMEN,,WEINAN,,,CN,+86 913 211 9401,,Mo-Fr 08:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842406,moneygram,BOC - #16247 - SAXWN DONGFENGJIE SUB-BR,,WEINAN,,,CN,+86 913 207 3218,,Mo-Fr 08:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842419,moneygram,BOC - #16249 - SAXWN LETIANDAJIE SUB-BR,,WEINAN,,,CN,+86 913 207 3196,,Mo-Fr 08:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842422,moneygram,BOC - #16250 - SAXWN LAOCHENG SUB-BR,,WEINAN,,,CN,+86 913 219 3070,,Mo-Fr 08:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842435,moneygram,BOC - #16251 - SAXWN XIYILU SUB-BR,,WEINAN,,,CN,+86 913 207 8191,,Mo-Fr 08:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842448,moneygram,BOC - #16252 - SAXWN XINDA SUB-BR,,WEINAN,,,CN,+86 913 218 0904,,Mo-Fr 08:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842451,moneygram,BOC - #16255 - SAXWN HUIYUAN SUB-BR,,WEINAN,,,CN,+86 913 206 0985,,Mo-Fr 08:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840945,moneygram,BOC - #16432 - SAXWN DALI SUB-BR,,WEINAN,,,CN,+86 913 321 1120,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
