Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
fe3ffbc87b34087b1210cec972c3afde,western_union,WM KC MAXI PALI PUNTARENAS,,Costanera,PUNTARENAS,,CR,+506 4800 1703,https://location.westernunion.com/cr/puntarenas/costanera/fe3ffbc87b34087b1210cec972c3afde,Mo-Sa 08:00-22:00; Su 08:00-21:00,Western Union,Q861042
0e65e58979e9fbc7ee86dc29972997aa,western_union,WM KC MAXI PALI PUNTARENAS,,Costanera,PUNTARENAS,,CR,+506 4800 1703,https://location.westernunion.com/cr/puntarenas/costanera/0e65e58979e9fbc7ee86dc29972997aa,Mo-Sa 08:00-22:00; Su 08:00-21:00,Western Union,Q861042
8b5ca9602ecaa18413de48fb3d70013c,western_union,WM MC MAXIBODEGA EL ROBLE,,El Roble,PUNTARENAS,,CR,+506 4800 1703,https://location.westernunion.com/cr/puntarenas/el-roble/8b5ca9602ecaa18413de48fb3d70013c,Mo-Sa 07:15-20:00; Su 10:00-18:00,Western Union,Q861042
1e20a5e3a5548b28c610c0e2f1d698eb,western_union,WM MC MAXIBODEGA EL ROBLE,,El Roble,PUNTARENAS,,CR,+506 4800 1703,https://location.westernunion.com/cr/puntarenas/el-roble/1e20a5e3a5548b28c610c0e2f1d698eb,Mo-Sa 07:15-20:00; Su 10:00-18:00,Western Union,Q861042
c9ecef405f7fdf2b1271d0989a6d864f,western_union,COOPEALIANZA EL ROBLE PUNTARENAS,,El Roble,PUNTARENAS,,CR,+506 4800 1703,https://location.westernunion.com/cr/puntarenas/el-roble/c9ecef405f7fdf2b1271d0989a6d864f,Mo-Fr 08:00-17:00; Sa 08:00-12:00,Western Union,Q861042
adbc060a426e937c49690e3919da1220,western_union,COOPEALIANZA EL ROBLE PUNTARENAS,,El Roble,PUNTARENAS,,CR,+506 4800 1703,https://location.westernunion.com/cr/puntarenas/el-roble/adbc060a426e937c49690e3919da1220,Mo-Fr 08:00-17:00; Sa 08:00-12:00,Western Union,Q861042
8c077bee9aac53dc3f7e3726c8278fd7,western_union,MINI TIENDA DEILYN No2,,El Roble,PUNTARENAS,,CR,+506 2663 6567,https://location.westernunion.com/cr/puntarenas/el-roble/8c077bee9aac53dc3f7e3726c8278fd7,Mo-Fr 07:00-17:00; Sa 07:00-16:00,Western Union,Q861042
bd77c9dc8f852e8b1f78a1b8de8b6139,western_union,MINI TIENDA DEILYN No2,,El Roble,PUNTARENAS,,CR,+506 2663 6567,https://location.westernunion.com/cr/puntarenas/el-roble/bd77c9dc8f852e8b1f78a1b8de8b6139,Mo-Fr 07:00-17:00; Sa 07:00-16:00,Western Union,Q861042
564102bd54d1a622ff7a516c49aeea3b,western_union,CR AIRPAK PALI EL ROBLE,,El Roble,PUNTARENAS,,CR,+506 4800 1700,https://location.westernunion.com/cr/puntarenas/el-roble/564102bd54d1a622ff7a516c49aeea3b,Mo-Sa 08:00-18:00; Su 09:00-17:00,Western Union,Q861042
4f23b9b058e9eecb40d8c96c33cecc2a,western_union,CR AIRPAK PALI EL ROBLE,,El Roble,PUNTARENAS,,CR,+506 4800 1700,https://location.westernunion.com/cr/puntarenas/el-roble/4f23b9b058e9eecb40d8c96c33cecc2a,Mo-Sa 08:00-18:00; Su 09:00-17:00,Western Union,Q861042
aad8cc16ad52fb5d548442f5433e85e3,western_union,COOPEMEP PUNTARENAS,,El Roble,PUNTARENAS,,CR,+506 4800 1703,https://location.westernunion.com/cr/puntarenas/el-roble/aad8cc16ad52fb5d548442f5433e85e3,Mo-Fr 09:00-17:00; Sa 08:00-12:00,Western Union,Q861042
39eb15b95d1c26a465da698317f19d3f,western_union,COOPEMEP PUNTARENAS,,El Roble,PUNTARENAS,,CR,+506 4800 1703,https://location.westernunion.com/cr/puntarenas/el-roble/39eb15b95d1c26a465da698317f19d3f,Mo-Fr 09:00-17:00; Sa 08:00-12:00,Western Union,Q861042
c303d5eaf15280a6e0b6dd25d18b8350,western_union,EKONO EL ROBLE,,El Roble,PUNTARENAS,,CR,+506 2573 1300,https://location.westernunion.com/cr/puntarenas/el-roble/c303d5eaf15280a6e0b6dd25d18b8350,Mo-Sa 09:00-20:30; Su 09:00-18:00,Western Union,Q861042
1df421161c12d7a78b07c5456cfd7e50,western_union,EKONO EL ROBLE,,El Roble,PUNTARENAS,,CR,+506 2663 1259,https://location.westernunion.com/cr/puntarenas/el-roble/1df421161c12d7a78b07c5456cfd7e50,Mo-Sa 09:00-20:30; Su 09:00-18:00,Western Union,Q861042
