Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
69469297,moneygram,BOC - #17772 - SZ LUOHU LIANJIANLOU SUBB,,SHENZHEN,,,CN,+86 755 2233 5535,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66914295,moneygram,BOC - #17762 - SZ SONGGANG DONGFANG SUB-,,SHENZHEN,,,CN,+86 755 2969 3066,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66913746,moneygram,BOC - #17746 - SZ DAPENG SUB-BR,,SHENZHEN,,,CN,+86 755 2233 5680,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66913050,moneygram,BOC - #17672 - SZ CUIHUA SUB-BR,,SHENZHEN,,,CN,+86 755 2233 7472,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66913018,moneygram,BOC - #17660 - SZ BAGUALING SUB-BR,,SHENZHEN,,,CN,+86 755 2233 8102,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66913047,moneygram,BOC - #17705 - SZ HONGHU SUB-BR,,SHENZHEN,,,CN,+86 755 2233 7152,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66913063,moneygram,BOC - #17655 - SZ CHANQUANDENGJI CENTERS,,SHENZHEN,,,CN,+86 755 2233 7438,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66912996,moneygram,BOC - #17850 - SZ LUOHU SUB-BR,,SHENZHEN,,,CN,+86 755 2559 6510,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66912983,moneygram,BOC - #17821 - SZ JIALIJIANSHE PLAZASUB-,,SHENZHEN,,,CN,+86 755 2233 3757,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66912970,moneygram,BOC - #17911 - SZ JIAHE SUB-BR,,SHENZHEN,,,CN,+86 755 8690 0143,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66913076,moneygram,BOC - #17676 - SZ SHIDAI JINRONG CENTER,,SHENZHEN,,,CN,+86 755 2233 5373,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66913005,moneygram,BOC - #17656 - SZ SUNGANG SUB-BR,,SHENZHEN,,,CN,+86 755 2589 3334,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66913034,moneygram,BOC - #17671 - SZ WENJIN PLAZA SUB-BR,,SHENZHEN,,,CN,+86 755 2233 7339,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66913089,moneygram,BOC - #17678 - SZ CHANGCHENG SUB-BR,,SHENZHEN,,,CN,+86 755 2233 8580,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66913021,moneygram,BOC - #17661 - SZ BINHE SUB-BR,,SHENZHEN,,,CN,+86 755 2233 8106,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
