Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
43420906,moneygram,STANBIC BANK ZIMBABWE,,HARARE,,,ZW,+263 4 703 281,,Mo-Fr 08:00-17:00; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43420919,moneygram,STANBIC BANK ZIMBABWE,,HARARE,,,ZW,+263 4 307 875,,Mo-Fr 08:00-17:00; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43535927,moneygram,STANBIC BANK ZIMBABWE,,BULAWAYO,,,ZW,+263 9 670 53,,Mo-Fr 08:00-17:00; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43535930,moneygram,STANBIC BANK ZIMBABWE,,BULAWAYO,,,ZW,+263 9 622 67,,Mo-Fr 08:00-17:00; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43535956,moneygram,STANBIC BANK ZIMBABWE,,GWERU,,,ZW,2635426024,,Mo-Fr 08:00-17:00; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43535969,moneygram,STANBIC BANK ZIMBABWE,,HARARE,,,ZW,+263 4 446 176,,Mo-Fr 08:00-17:00; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43535972,moneygram,STANBIC BANK ZIMBABWE,,MUTARE,,,ZW,+263 20 63313,,Mo-Fr 08:00-17:00; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43535985,moneygram,STANBIC BANK ZIMBABWE,,HARARE,,,ZW,+263 4 797 314,,Mo-Fr 08:00-17:00; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43535998,moneygram,STANBIC BANK ZIMBABWE,,HARARE,,,ZW,+263 4 749 137,,Mo-Fr 08:00-17:00; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43536010,moneygram,STANBIC BANK ZIMBABWE,,BORROWDALE,,,ZW,+263 4 851 505,,Mo-Fr 08:00-17:00; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43536023,moneygram,STANBIC BANK ZIMBABWE,,CHEGUTU,,,ZW,533703,,Mo-Fr 08:00-17:00; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43536065,moneygram,STANBIC BANK ZIMBABWE,,HARARE,,,ZW,+263 4 759 471,,Mo-Fr 08:00-17:00; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43536049,moneygram,STANBIC BANK ZIMBABWE,,KWEKWE,,,ZW,+263 55 23331,,Mo-Fr 08:00-17:00; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
