City,Place Name,Zipcode,Name
"Urasoe-city,",bmw_group,,unknown,"Motoren Okinawa K.K., HQ/BPS Okin awa/MINI Okinawa/MINI NEXT Okinawa"
Naha-city,bmw_group,,unknown,Moto Sound / Moto Sound
unknown,little_free_library,,unknown,The Bruno-Iggy Library #180785
Naha-shi,travelex,Naha Airport 150 Kagamizu 2F Terminal Bldg Naha-shi 901-0142,unknown,Naha Airport -Int L/side Dep
NAHA,visa,,unknown,unknown
TOMIGUSUKU,visa,,unknown,unknown
URASOE,visa,,unknown,unknown
ITOMAN,visa,,unknown,unknown
GINOWAN,visa,,unknown,unknown
SHIMAJIRI-GUN,visa,,unknown,unknown
OKINAWA,visa,,unknown,unknown
NANJO,visa,,unknown,unknown
URUMA,visa,,unknown,unknown
NAGO,visa,,unknown,unknown
Okinawa Shi,western_union,,unknown,DSK EDOYA EXCHANGE CENTER KOZA
Nakagami Gun,western_union,,unknown,JTA CHANCE CENTER HAMAGAWA TEN
Chatan,western_union,,unknown,JTA CHANCE CENTER CYATAN TEN
