Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
043458b71206fb08c87fcebca70ac968,western_union,NBC TABORA BRANCH,,Tabora,TABORA,,TZ,(+255) 1-768984000,https://location.westernunion.com/tz/tabora/tabora/043458b71206fb08c87fcebca70ac968,Mo-Fr 08:00-18:00; Sa 08:00-16:00,Western Union,Q861042
4ff6640f25e1f42358488ee56b45f8e2,western_union,TABORA HEAD POST OFFICE,,Tabora,TABORA,,TZ,+255 684 884 917,https://location.westernunion.com/tz/tabora/tabora/4ff6640f25e1f42358488ee56b45f8e2,Mo-Fr 08:00-16:30; Sa 09:00-12:30,Western Union,Q861042
e03e93c590a29f58e83b7b93b500cb46,western_union,TCB TABORA,,Tabora,TABORA,,TZ,(+252) 22-2110621-2472,https://location.westernunion.com/tz/tabora/tabora/e03e93c590a29f58e83b7b93b500cb46,Mo-Fr 08:30-16:00; Sa 09:00-12:30,Western Union,Q861042
ea39e87316ea663db5abf0097ed343db,western_union,TCB TABORA,,Tabora,TABORA,,TZ,(+252) 22-2110621-2472,https://location.westernunion.com/tz/tabora/tabora/ea39e87316ea663db5abf0097ed343db,Mo-Fr 08:30-16:00; Sa 09:00-12:30,Western Union,Q861042
1e7cef5bdfe1a9ab0b26c32bfd09a22d,western_union,CRDB BANK TABORA,,Tabora,TABORA,,TZ,+255 22 212 9412,https://location.westernunion.com/tz/tabora/tabora/1e7cef5bdfe1a9ab0b26c32bfd09a22d,Mo-Fr 08:00-17:30; Sa 09:00-14:00,Western Union,Q861042
6b52d689be5a5ded1e1e7635debcebcf,western_union,CRDB SIKONGE BRANCH,,Tabora,TABORA,,TZ,+255 22 212 9412,https://location.westernunion.com/tz/tabora/tabora/6b52d689be5a5ded1e1e7635debcebcf,Mo-Fr 08:00-17:30; Sa 08:30-14:00,Western Union,Q861042
7aa86233cdb03261d18f8f1791d8b06d,western_union,DIAMOND TRUST BANK TABORA,,Tabora,TABORA,,TZ,+255 26 211 4210,https://location.westernunion.com/tz/tabora/tabora/7aa86233cdb03261d18f8f1791d8b06d,Mo-Fr 08:30-17:00; Sa 09:30-13:30,Western Union,Q861042
9327512395fb7059ccf76c713b0ecb7f,western_union,CRDB URAMBO BRANCH,,Tabora,TABORA,,TZ,+255 22 212 9412,https://location.westernunion.com/tz/tabora/tabora/9327512395fb7059ccf76c713b0ecb7f,Mo-Fr 08:00-17:30; Sa 08:30-14:00,Western Union,Q861042
8fda901be5ea33988c8bce9e6f1f40bc,western_union,TCB NZEGA,,Nzega,TABORA,,TZ,(+252) 22-2110621-2481,https://location.westernunion.com/tz/tabora/nzega/8fda901be5ea33988c8bce9e6f1f40bc,Mo-Fr 08:30-16:00; Sa 09:00-12:30,Western Union,Q861042
f28d6d2f4661b15d0849e4824725236a,western_union,TCB NZEGA,,Nzega,TABORA,,TZ,(+252) 22-2110621-2481,https://location.westernunion.com/tz/tabora/nzega/f28d6d2f4661b15d0849e4824725236a,Mo-Fr 08:30-16:00; Sa 09:00-12:30,Western Union,Q861042
b98631885edebb89d75ffc5362120901,western_union,CRDB NZEGA BRANCH,,Nzega,TABORA,,TZ,+255 22 212 9412,https://location.westernunion.com/tz/tabora/nzega/b98631885edebb89d75ffc5362120901,Mo-Fr 08:00-17:30; Sa 08:30-14:00,Western Union,Q861042
36a5252c9a106e3515f2ba3a8b40c8f4,western_union,TCB IGUNGA MIN BRANCH,,Igunga,TABORA,,TZ,(+252) 22-768911117,https://location.westernunion.com/tz/tabora/igunga/36a5252c9a106e3515f2ba3a8b40c8f4,Mo-Fr 08:00-16:00; Sa 09:00-12:30,Western Union,Q861042
