City,Place Name,Zipcode,Name
Pune,ashley_furniture,,unknown,"Ashley Pune, MH"
MUMBAI,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
KOLHAPUR,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
WARDHA,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
AHMED NAGAR,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
PUNE,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
SHIRPUR,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
SOLAPUR,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
NAGPUR,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
BULDHANA,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
SATARA,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
AURANGABAD,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
WASHIM,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
KAMOTHE,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1198 - KAM
KALAMBOLI,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1206 - KAL
NASHIK,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1262 - NAS
NAVI MUMBAI,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #841 - NAVI
Mumbai,sbarro,Unit No K-09 Second Floor Orion mall Panvel,unknown,Sbarro Orion
MUMBAI,sbarro,Unit No 10 Third Floor,unknown,Sbarro Xperia Mall
NAVI MUMBAI,sbarro,S-38 Seawoods Grand Central Mall,unknown,Seawoods Grand Central Mall
MUMBAI,sbarro,Ramodia Mension No. 1 No. 11 12 &amp; 12A Ground Floor,unknown,Sbarro Worli
MUMBAI,sbarro,S-9 SECOND FLOOR PHOENIX MARKET CITY KURLA,unknown,Phoenix Market City Kurla
MUMBAI,sbarro,R CITY MALL LBS MARG GHATKOPAR (WEST),unknown,R City Mall
MUMBAI,sbarro,INORBIT ROAD,unknown,Hypercity Malad
THANE,sbarro,FC-05 VIVIANA MALLS VOLTAS COMPOUND POKHARAN ROAD NO.2 SUBHASH NAGAR,unknown,Sbarro Viviana Mall
MUMBAI,sbarro,Unit No. TF323 Infinity Malad Mall Link Road Malad (West),unknown,Sbarro Infinity Malad
THANE,sbarro,Shop no.18 Emerald Plaza Block -3 Hiranandani Meadows Gladys Alwares Road Off Pokharan Road no.,unknown,Sbarro Hypercity Thane
MUMBAI,sbarro,FC 17A Oberoi Mall Off Western Express Highway,unknown,Sbarro Oberoi
