Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
1301,systembolaget_se,Köpmansgatan 5,,HALMSTAD,Hallands län,,SE,,,Mo-Fr 10:00-19:00; Sa 10:00-15:00,Systembolaget,Q1476113
1302,systembolaget_se,Hallarna,,HALMSTAD,Hallands län,,SE,,,Mo-Fr 10:00-20:00; Sa 10:00-15:00,Systembolaget,Q1476113
1303,systembolaget_se,Ullared,,ULLARED,Hallands län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-15:00,Systembolaget,Q1476113
1304,systembolaget_se,Storgatan 10b,,HYLTEBRUK,Hallands län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
1305,systembolaget_se,Östertullsgatan 12,,LAHOLM,Hallands län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
1306,systembolaget_se,Sandgatan 34,,Falkenberg,Hallands län,,SE,,,Mo-Fr 10:00-19:00; Sa 10:00-15:00,Systembolaget,Q1476113
1307,systembolaget_se,Västra Vallgatan 6,,VARBERG,Hallands län,,SE,,,Mo-Fr 10:00-19:00; Sa 10:00-15:00,Systembolaget,Q1476113
1308,systembolaget_se,Nygatan 17,,KUNGSBACKA,Hallands län,,SE,,,Mo-Fr 10:00-19:00; Sa 10:00-15:00,Systembolaget,Q1476113
1309,systembolaget_se,Flygstaden,,Halmstad,Hallands län,,SE,,,Mo-Fr 10:00-19:00; Sa 10:00-15:00,Systembolaget,Q1476113
1310,systembolaget_se,Breared,,VARBERG,Hallands län,,SE,,,Mo-Fr 10:00-19:00; Sa 10:00-15:00,Systembolaget,Q1476113
1311,systembolaget_se,Hedebrovägen 50,,Kungsbacka,Hallands län,,SE,,,Mo-Fr 10:00-20:00; Sa 10:00-15:00,Systembolaget,Q1476113
