Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
65e335c0ac304155b890f0fc,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Waldkraiburg,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Waldkraiburg,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0cb,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Traunstein,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Traunstein,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0c9,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Starnberg,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Starnberg,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0c8,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Rottach-Egern,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Rottach-Egern,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0fb,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Rosenheim,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Rosenheim-Max%20Josefs%20Platz,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0fa,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Ottobrunn,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Ottobrunn,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0ce,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,NÃ¶rdlingen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/N%C3%B6rdlingen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f100,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,MÃ¼nchen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/M%C3%BCnchen-Solln,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0f2,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,MÃ¼nchen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/M%C3%BCnchen-Rotkreuzplatz,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0fd,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,MÃ¼nchen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/M%C3%BCnchen-Promenadeplatz,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0f3,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,MÃ¼nchen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/M%C3%BCnchen-Prinzregentenplatz,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
