Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72168268,moneygram,BUNNA INTERNATIONAL BANK S.C - #279 - SE,,SEBETA,,,ET,25113384873,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72213566,moneygram,BUNNA INTERNATIONAL BANK S.C - #283 - SA,,ADDIS ABABA,,,ET,25114708854,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72213582,moneygram,BUNNA INTERNATIONAL BANK S.C - #285 - AL,,ADDIS ABABA,,,ET,25115574852,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72213595,moneygram,BUNNA INTERNATIONAL BANK S.C - #286 - BE,,ADDIS ABABA,,,ET,25116683758,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72213618,moneygram,BUNNA INTERNATIONAL BANK S.C - #288 - GU,,ADDIS ABABA,,,ET,25116683798,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72213621,moneygram,BUNNA INTERNATIONAL BANK S.C - #289 - ME,,ADDIS ABABA,,,ET,25113699620,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
67603068,moneygram,BUNNA INTERNATIONAL BANK S.C. - DIRE DAW,,DIRE DAWA,,,ET,+251 33 112 0172,,Mo-Su 08:00-19:00,MoneyGram,Q1944412
72268430,moneygram,BUNNA INTERNATIONAL BANK S.C - #293 - FI,,ADDIS ABABA,,,ET,115575338,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72268443,moneygram,BUNNA INTERNATIONAL BANK S.C - #294 - AF,,ADDIS ABABA,,,ET,115582940,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72268456,moneygram,BUNNA INTERNATIONAL BANK S.C - #295 - ME,,ADDIS ABABA,,,ET,116733478,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72268469,moneygram,BUNNA INTERNATIONAL BANK S.C - #296 - KA,,ADDIS ABABA,,,ET,114626164,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72268472,moneygram,BUNNA INTERNATIONAL BANK S.C - #297 - AF,,ADDIS ABABA,,,ET,115570371,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72268508,moneygram,BUNNA INTERNATIONAL BANK S.C - #300 - BE,,ADDIS ABABA,,,ET,113852442,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72268524,moneygram,BUNNA INTERNATIONAL BANK S.C - #302 - GE,,BURAYU,,,ET,112601356,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72268537,moneygram,BUNNA INTERNATIONAL BANK S.C - #303 - SE,,ADDIS ABABA,,,ET,115582816,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72291643,moneygram,BUNNA INTERNATIONAL BANK S.C - #307 - GO,,ADDIS ABABA,,,ET,116661127,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72372232,moneygram,BUNNA INTERNATIONAL BANK S.C - #310 - FI,,ADDIS ABABA,,,ET,116683309,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72372258,moneygram,BUNNA INTERNATIONAL BANK S.C - #312 - GO,,ADDIS ABABA,,,ET,114706896,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72372261,moneygram,BUNNA INTERNATIONAL BANK S.C - #313 - GI,,ADDIS ABABA,,,ET,113694145,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72411261,moneygram,BUNNA INTERNATIONAL BANK S.C - #316 - ZE,,BAHIR DAR,,,ET,583209589,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72820894,moneygram,BUNNA INTERNATIONAL BANK S.C - #327 - LA,,ADDIS ABABA,,,ET,116733948,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72820917,moneygram,BUNNA INTERNATIONAL BANK S.C - #329 - HA,,HARBU,,,ET,333552051,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72837609,moneygram,BUNNA INTERNATIONAL BANK S.C - #332 - GO,,ADDIS ABABA,,,ET,+251 91 182 3562,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72887316,moneygram,BUNNA INTERNATIONAL BANK S.C - #500 - HE,,ADDIS ABABA,,,ET,+251 91 190 0622,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72921764,moneygram,BUNNA INTERNATIONAL BANK S.C. - #337 - K,,ADDIS ABABA,,,ET,+251 94 325 0994,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72952474,moneygram,BUNNA INTERNATIONAL BANK S.C - #338 - DA,,DEBRE BIRHAN,,,ET,+251 93 959 4558,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
72921722,moneygram,BUNNA INTERNATIONAL BANK S.C - #335 - AR,,ADDIS ABABA,,,ET,+251 91 088 1584,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
73345721,moneygram,BUNNA INTERNATIONAL BANK S.C - #346 - SH,,YED WUHA,,,ET,582470523,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
73345747,moneygram,BUNNA INTERNATIONAL BANK S.C - #348 - DE,,ADDIS ABABA,,,ET,+251 94 429 2453,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
73345750,moneygram,BUNNA INTERNATIONAL BANK S.C - #349 - RU,,ADDIS ABABA,,,ET,+251 91 282 8269,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
73617996,moneygram,BUNNA INTERNATIONAL BANK S.C - #351 - JA,,JAWI CITY,,,ET,+251 92 593 5860,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
73772420,moneygram,BUNNA INTERNATIONAL BANK S.C - #354 - EN,,ADDIS ABABA,,,ET,+251 91 405 2394,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
73772446,moneygram,BUNNA INTERNATIONAL BANK S.C - #356 - BI,,ADDIS ABABA,,,ET,+251 91 393 5745,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
73889009,moneygram,BUNNA INTERNATIONAL BANK S.C - #369 - MA,,GONDER,,,ET,+251 91 877 7348,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
73962735,moneygram,BUNNA INTERNATIONAL BANK S.C - #379 - KO,,ADDIS ABABA,,,ET,+251 91 109 0807,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
73982278,moneygram,BUNNA INTERNATIONAL BANK S.C - #383 - BO,,ADDIS ABABA,,,ET,+251 91 062 2223,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
73982281,moneygram,BUNNA INTERNATIONAL BANK S.C - #384 - FE,,ADDIS ABABA,,,ET,+251 91 288 3357,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74041406,moneygram,BUNNA INTERNATIONAL BANK S.C - #385 - LE,,BAHIR DAR,,,ET,+251 91 244 8709,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74041419,moneygram,BUNNA INTERNATIONAL BANK S.C - #386 - ME,,ADDIS ABABA,,,ET,+251 91 205 4454,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74041422,moneygram,BUNNA INTERNATIONAL BANK S.C - #387 - AZ,,AZENA TOWN,,,ET,+251 91 277 8237,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74041435,moneygram,BUNNA INTERNATIONAL BANK S.C - #388 - QU,,GEBEZ MARIAM,,,ET,+251 91 031 2931,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74103166,moneygram,BUNNA INTERNATIONAL BANK S.C - #389 - SH,,ADDIS ABABA,,,ET,+251 91 005 9343,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74103179,moneygram,BUNNA INTERNATIONAL BANK S.C - #390 - GI,,GINAGER,,,ET,+251 91 159 5201,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74103182,moneygram,BUNNA INTERNATIONAL BANK S.C - #391 - LE,,LEMI,,,ET,+251 91 277 8237,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74103195,moneygram,BUNNA INTERNATIONAL BANK S.C - #392 - KE,,ADDIS ABABA,,,ET,+251 91 301 8327,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74129807,moneygram,BUNNA INTERNATIONAL BANK S.C - #393 - HI,,ADDIS ABABA,,,ET,+251 91 053 3919,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74129810,moneygram,BUNNA INTERNATIONAL BANK S.C - #394 - SH,,ADDIS ABABA,,,ET,+251 91 205 4454,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74129823,moneygram,BUNNA INTERNATIONAL BANK S.C - #395 - ET,,BAHIR DAR,,,ET,+251 91 358 2629,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74129836,moneygram,BUNNA INTERNATIONAL BANK S.C - #396 - CH,,GONDER,,,ET,+251 91 863 1933,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74141144,moneygram,BUNNA INTERNATIONAL BANK S.C - #397 - JE,,ADDIS ABABA,,,ET,+251 91 138 8048,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74141157,moneygram,BUNNA INTERNATIONAL BANK S.C - #398 - BO,,ADDIS ABABA,,,ET,+251 91 327 6533,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74141160,moneygram,BUNNA INTERNATIONAL BANK S.C - #399 - AK,,ADDIS ABABA,,,ET,+251 91 337 2131,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74141173,moneygram,BUNNA INTERNATIONAL BANK S.C - #400 - SU,,ADDIS ABABA,,,ET,+251 91 347 5544,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74167283,moneygram,BUNNA INTERNATIONAL BANK S.C - #401 - WO,,WOGDI,,,ET,+251 91 041 7772,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74167296,moneygram,BUNNA INTERNATIONAL BANK S.C - #402 - TU,,TULU AWLIA,,,ET,+251 91 237 7483,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74167306,moneygram,BUNNA INTERNATIONAL BANK S.C - #403 - LI,,LIGUAMA,,,ET,+251 91 334 2300,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74167319,moneygram,BUNNA INTERNATIONAL BANK S.C - #404 - SU,,ADDIS ABABA,,,ET,+251 91 271 0135,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74211980,moneygram,BUNNA INTERNATIONAL BANK S.C - #405 - AB,,ADDIS ABABA,,,ET,+251 91 055 1304,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74211993,moneygram,BUNNA INTERNATIONAL BANK S.C - #406 - RE,,REBU GEBEYA,,,ET,+251 91 074 1340,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74212002,moneygram,BUNNA INTERNATIONAL BANK S.C - #407 - SH,,SHINDI,,,ET,+251 92 355 3059,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74212015,moneygram,BUNNA INTERNATIONAL BANK S.C - #408 - SE,,GISH ABAY,,,ET,+251 91 866 6371,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74241303,moneygram,BUNNA INTERNATIONAL BANK S.C - #409 - NI,,NIFAS MEWUCHA,,,ET,+251 96 601 2912,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74241316,moneygram,BUNNA INTERNATIONAL BANK S.C - #410 - KU,,KUCHI,,,ET,+251 91 816 1175,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74241329,moneygram,BUNNA INTERNATIONAL BANK S.C - #411 - LE,,ADDIS ABABA,,,ET,+251 92 026 2408,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74241332,moneygram,BUNNA INTERNATIONAL BANK S.C - #412 - AT,,BAHIR DAR,,,ET,+251 94 344 4497,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74246379,moneygram,BUNNA INTERNATIONAL BANK S.C - #413 - ME,,MEKANE SELAM,,,ET,1914716570,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74246382,moneygram,BUNNA INTERNATIONAL BANK S.C - #414 - KA,,ADDIS ABABA,,,ET,+251 91 242 7805,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74246395,moneygram,BUNNA INTERNATIONAL BANK S.C - #415 - LU,,LUMAMIE,,,ET,+251 91 358 2629,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74246418,moneygram,BUNNA INTERNATIONAL BANK S.C. - #416 - B,,ADDIS ABABA,,,ET,+251 92 024 5059,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74277076,moneygram,BUNNA BANK S.C. - #417 - HOSSANA MENEHAR,,HOSSANA,,,ET,+251 91 081 6207,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74292459,moneygram,BUNNA BANK S.C. - #421 - SALOGORA,,ADDIS ABABA,,,ET,+251 91 337 2131,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74441158,moneygram,BUNNA BANK S.C. - #433 - BEDELLE,,BEDELLE,,,ET,+251 91 300 4020,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74441161,moneygram,BUNNA BANK S.C. - #434 - SHENO,,SHENO,,,ET,+251 91 136 2697,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74441174,moneygram,BUNNA BANK S.C. - #435 - AGARO,,AGARO,,,ET,+251 91 302 5288,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74441187,moneygram,BUNNA BANK S.C. - #436 - NIGUS TEKLEHAIM,,DEBRE MARKOS,,,ET,+251 93 585 9152,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74441190,moneygram,BUNNA BANK S.C. - #437 - ASAYITA,,ASAYITA,,,ET,+251 91 390 2784,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74441200,moneygram,BUNNA BANK S.C. - #438 - DEJAZMACH WONDI,,ADDIS ABABA,,,ET,+251 94 017 7752,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74441213,moneygram,BUNNA BANK S.C. - #439 - JEMO MICHAEL,,ADDIS ABABA,,,ET,+251 91 282 0007,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74441226,moneygram,BUNNA BANK S.C. - #440 - LAKOMENZA,,DESSIE,,,ET,+251 90 408 2536,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74479832,moneygram,BUNNA BANK S.C. - #441 - TIRTIRA,,TIRTIRA,,,ET,+251 91 293 9023,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74479845,moneygram,BUNNA BANK S.C. - #442 - YOGOF,,KOMBOLCHA,,,ET,+251 92 199 2594,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74479858,moneygram,BUNNA BANK S.C. - #443 - SRINKA,,SRINKA,,,ET,+251 92 836 1021,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74479861,moneygram,BUNNA BANK S.C. - #444 - YESHI DEBELE,,ADDIS ABABA,,,ET,+251 91 146 1704,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74479874,moneygram,BUNNA BANK S.C. - #445 - MINALESH TERA,,ADDIS ABABA,,,ET,+251 91 358 1111,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74479887,moneygram,BUNNA BANK S.C. - #446 - ST.YARED SQUARE,,ADDIS ABABA,,,ET,+251 95 108 9226,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
