Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
CN518096,adidas,adidas Outlet Store Jinjiang,,泉州市,,,CN,+86 134 8979 6496,https://www.adidas.co.uk/storefront/CN518096-泉州市-888-梅岭街道桂山社区世纪大道888号万达广场5号门1层a132-adidas-outlet-store-jinjiang,,Adidas,Q3895
0001035659,ecco,Jinjiang Wanda Plaza,,Jinjiang,,,CN,+86 595 8215 5120,,Mo-Su 10:00-22:00,Ecco,Q1280255
68296856,moneygram,BOC - FJJJ CHANGXING SUBBR,,JINJIANG,,,CN,+86 595 8560 7088,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66408293,moneygram,BOC - FJQZ QINGYANG SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8568 1061,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66408824,moneygram,BOC - FJQZ ANHAI SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8578 6541,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66408439,moneygram,BOC - FJQZ QINGHUA SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8569 9452,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66408743,moneygram,BOC - FJQZ MEILING SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8566 9370,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66408662,moneygram,BOC - FJQZ DONGSHI SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8558 7405,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66408523,moneygram,BOC - FJQZ SHENHU SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8828 2700,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66408921,moneygram,BOC - FJQZ LONGHU SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8528 3032,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66408390,moneygram,BOC - FJQZ CHENGGUAN SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8568 1115,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66408484,moneygram,BOC - FJQZ YONGHE SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8808 2974,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66409205,moneygram,BOC - FJQZ YINGLIN SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8548 9158,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66408701,moneygram,BOC - FJQZ LUOSHAN SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8563 5669,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66409111,moneygram,BOC - FJQZ CHENDAI SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8518 1512,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66409001,moneygram,BOC - FJQZ JINJING SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8538 1848,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66408798,moneygram,BOC - FJQZ WULIYUANQU SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8573 3302,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66408248,moneygram,BOC - FJQZ JINJIANG SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8568 0071,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66409085,moneygram,BOC - FJQZ CIZAO SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8588 0059,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66408578,moneygram,BOC - FJQZ CHIDIAN SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8598 5345,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
