Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
12b058ead471ef4fb0aa689b4d9a73ea,western_union,IBAG BM ELZEHOUR CLUB,,Cairo,CAIRO,,EG,(+20) 19190,https://location.westernunion.com/eg/cairo/cairo/12b058ead471ef4fb0aa689b4d9a73ea,Mo-Th 08:30-17:00; Su 08:30-17:00,Western Union,Q861042
8269d5f7398a8d0e9556503ea8221624,western_union,IBAG BM MOHAMED FARID,,Cairo,CAIRO,,EG,(+20) 19190,https://location.westernunion.com/eg/cairo/cairo/8269d5f7398a8d0e9556503ea8221624,Mo-Th 08:30-17:00; Su 08:30-17:00,Western Union,Q861042
1b483d511f2e564459ca5e0d9c580973,western_union,IBAG NBE SHOUBRA,,Cairo,CAIRO,,EG,(+20) 19190,https://location.westernunion.com/eg/cairo/cairo/1b483d511f2e564459ca5e0d9c580973,Mo-Th 08:30-17:00; Su 08:30-17:00,Western Union,Q861042
f154814f148fda2ee49b7e8ea581982c,western_union,IBAG BM TALAT HARB DT,,Cairo,CAIRO,,EG,(+20) 19190,https://location.westernunion.com/eg/cairo/cairo/f154814f148fda2ee49b7e8ea581982c,Mo-Th 08:30-17:00; Su 08:30-17:00,Western Union,Q861042
0c27a141d7e9b68c1d49653e8f0cd8ef,western_union,IBAG NBE GARDEN CITY,,Cairo,CAIRO,,EG,(+20) 19190,https://location.westernunion.com/eg/cairo/cairo/0c27a141d7e9b68c1d49653e8f0cd8ef,Mo-Th 08:30-17:00; Su 08:30-17:00,Western Union,Q861042
817524bcc94198904ddcab5ae13d86c4,western_union,IBAG NBE MANYAL,,Cairo,CAIRO,,EG,(+20) 19190,https://location.westernunion.com/eg/cairo/cairo/817524bcc94198904ddcab5ae13d86c4,Mo-Th 08:30-17:00; Su 08:30-17:00,Western Union,Q861042
801767bc0e83863ffcbe8276e1ee9ce9,western_union,IBAG BM MAADI ROAD 9,,Cairo,CAIRO,,EG,(+20) 19190,https://location.westernunion.com/eg/cairo/cairo/801767bc0e83863ffcbe8276e1ee9ce9,Mo-Th 08:30-17:00; Su 08:30-17:00,Western Union,Q861042
85a01225bf5c2f5aa5d2d65fc187900a,western_union,IBAG BM ABDEEN,,Cairo,CAIRO,,EG,(+20) 19190,https://location.westernunion.com/eg/cairo/cairo/85a01225bf5c2f5aa5d2d65fc187900a,Mo-Th 08:30-17:00; Su 08:30-17:00,Western Union,Q861042
947f38c8e8d64b42f39734b3a71a5440,western_union,IBAG BM RAMSIS,,Cairo,CAIRO,,EG,(+20) 19190,https://location.westernunion.com/eg/cairo/cairo/947f38c8e8d64b42f39734b3a71a5440,Mo-Th 08:30-17:00; Su 08:30-17:00,Western Union,Q861042
c0110e41b2463f4077620932265f4a0a,western_union,IBAG NBE ELREHAB,,Cairo,CAIRO,,EG,(+20) 19190,https://location.westernunion.com/eg/cairo/cairo/c0110e41b2463f4077620932265f4a0a,Mo-Th 08:30-17:00; Su 08:30-17:00,Western Union,Q861042
3d7210d432ecc32b0a1514d29b51bb5c,western_union,IBAG BM 10TH ZONE NASR CITY,,Cairo,CAIRO,,EG,(+20) 19190,https://location.westernunion.com/eg/cairo/cairo/3d7210d432ecc32b0a1514d29b51bb5c,Mo-Th 08:30-17:00; Su 08:30-17:00,Western Union,Q861042
e0cf6a5708d676af102d3f99c20554e4,western_union,IBAG NBE SHERATON HELIOPOLIS,,Cairo,CAIRO,,EG,(+20) 19190,https://location.westernunion.com/eg/cairo/cairo/e0cf6a5708d676af102d3f99c20554e4,Mo-Th 08:30-17:00; Su 08:30-17:00,Western Union,Q861042
