City,Place Name,Zipcode,Name
unknown,aldi_sud_ie,,unknown,"ALDI Francis Street, Ennis"
unknown,allied_irish_banks_ie,,unknown,AIB Bank - Ennis
Shannon,fedex,,unknown,FedEx Station
unknown,inver,Inver Crowes Ministers Cross Ministers Cross Sixmilebridge Co. Clare V95PJ75,unknown,Inver Crowes Ministers Cross
unknown,inver,1 School Lane Co. Clare V94CX9V,unknown,Inver Crowes Mountshannon
unknown,inver,Ennis Lahinch Road Clare,unknown,Inver Claureen
unknown,inver,4 Main St Clonlea Co. Clare.,unknown,Inver Crowes Kilishen
unknown,inver,Larkins Cross Corbally Co Clare V94 PKEI,unknown,Inver Mughals
unknown,inver,Crusheen Ennis Co. Clare,unknown,Inver Clarkes
unknown,inver,Clarecastle Ennis,unknown,Inver Clarecastle
unknown,inver,Milltown Malbay Co. Clare,unknown,Inver Vaughans
unknown,inver,Ennis Co. Clare,unknown,Inver Lahinch Road
Shannon,lidl_ie,,unknown,Shannon
Ennis,lidl_ie,,unknown,Ennis
Clare,maxol_ie,,unknown,Maxol Service Station Clarecastle
Shannon Co.Clare,subway,,unknown,Subway
Ennis Co. Clare,subway,,unknown,Subway Applegreen Service Station
Ennis CO CLARE,subway,,unknown,Subway
KILRUSH,visa,,unknown,unknown
KILLALOE,visa,,unknown,unknown
KILMIHIL,visa,,unknown,unknown
ENNIS,visa,,unknown,unknown
DOOLIN,visa,,unknown,unknown
CLARE,visa,,unknown,unknown
