City,Place Name,Zipcode,Name
Rheda-Wiedenbrück,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Rheda-Wiedenbrück, Klingelbrink 18"
Melle,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Melle, Markt 12"
Kassel,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Kassel, Obere Königsstr. 37 a"
Warburg,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Warburg, Hauptstraße 54"
Stadthagen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Stadthagen, Obernstraße 9"
Rinteln,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Rinteln, Weserstraße 19"
Lübbecke,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Lübbecke, Lange Straße 26"
Bad Oeynhausen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Bad Oeynhausen, Werre-Park"
Bad Salzuflen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Bad Salzuflen, Lange Str. 45"
Bielefeld,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Bielefeld Heepen, Potsdamer Straße 9"
Hameln,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Hameln, Bäckerstraße 11"
Lippstadt,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Lippstadt, Lange Straße 48"
Bünde,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Bünde, Eschstraße 17"
Detmold,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Detmold, Lange Straße 12"
Höxter,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Höxter, Marktstraße 27"
Lemgo,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Lemgo, Mittelstraße 76"
Herford,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Herford, Bäckerstr. 13/15"
Minden,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Minden, Bäckerstr. 24"
Paderborn,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Paderborn, Westernstr. 38"
