Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
d467e634def2325461afecda961646ac,western_union,ECOBANK KARATINA,,Karatina,NYERI,,KE,+254 735 585462,https://location.westernunion.com/ke/nyeri/karatina/d467e634def2325461afecda961646ac,Mo-Fr 09:00-16:00; Sa 09:00-12:00,Western Union,Q861042
e0e91fea28a7b4d14321ccf342cdaa7c,western_union,NIC BANK KARATINA,,Karatina,NYERI,,KE,+254 20 2884444,https://location.westernunion.com/ke/nyeri/karatina/e0e91fea28a7b4d14321ccf342cdaa7c,Mo-Fr 09:00-17:00; Sa 09:00-13:00,Western Union,Q861042
0e0b50a6a5a944c6ed58cb50e1d04467,western_union,EQUITY BANK KARATINA,,Karatina,NYERI,,KE,+254 763 068004,https://location.westernunion.com/ke/nyeri/karatina/0e0b50a6a5a944c6ed58cb50e1d04467,Mo-Fr 08:00-18:00; Sa 08:00-13:00,Western Union,Q861042
c100efdc6921b47f6c2d4a8e74d16c9c,western_union,KCB KARATINA,,Karatina,NYERI,,KE,+254 61 72275,https://location.westernunion.com/ke/nyeri/karatina/c100efdc6921b47f6c2d4a8e74d16c9c,Mo-Fr 08:30-17:00; Sa 08:30-13:00,Western Union,Q861042
c67b82a06e604867b88e63aeb836922e,western_union,EQUITY BANK KENYA LTD,,Chaka,NYERI,,KE,+254 763 068011,https://location.westernunion.com/ke/nyeri/chaka/c67b82a06e604867b88e63aeb836922e,Mo-Fr 08:00-17:00; Sa 08:00-13:00,Western Union,Q861042
b2d9a21700f842a3f1aac18876bf9296,western_union,KCB MUKURWEINI,,Mukurweini,NYERI,,KE,+254 61 60221,https://location.westernunion.com/ke/nyeri/mukurweini/b2d9a21700f842a3f1aac18876bf9296,Mo-Fr 08:30-17:00; Sa 08:30-13:00,Western Union,Q861042
25ad2a8b107b59f206718eb4370a4b1e,western_union,NIC BANK NYERI,,Nyeri,NYERI,,KE,+254 20 2884444,https://location.westernunion.com/ke/nyeri/nyeri/25ad2a8b107b59f206718eb4370a4b1e,Mo-Fr 09:00-17:00; Sa 09:00-13:00,Western Union,Q861042
078fefd61fd15b43a3b678e28d0f0b08,western_union,KCB NYERI,,Nyeri,NYERI,,KE,(+254) 1-6130613,https://location.westernunion.com/ke/nyeri/nyeri/078fefd61fd15b43a3b678e28d0f0b08,Mo-Fr 08:30-17:00; Sa 08:30-13:00,Western Union,Q861042
b0181d6bee81b9356a24f33f112b84fb,western_union,SIDIAN BANK NYERI,,Nyeri,NYERI,,KE,(+254) 22285,https://location.westernunion.com/ke/nyeri/nyeri/b0181d6bee81b9356a24f33f112b84fb,Mo-Fr 08:00-16:00; Sa 08:00-12:00,Western Union,Q861042
99b9051980616b16ee8199cc20ed39a2,western_union,COOPERATIVE BANK OTHAYA BRANCH,,Othaya,NYERI,,KE,+254 733 123497,https://location.westernunion.com/ke/nyeri/othaya/99b9051980616b16ee8199cc20ed39a2,Mo-Fr 08:00-18:00; Sa 08:00-15:00,Western Union,Q861042
9b2c883257c7d2717f688e1ec31bb096,western_union,EQUITY BANK OTHAYA,,Othaya,NYERI,,KE,+254 763 068008,https://location.westernunion.com/ke/nyeri/othaya/9b2c883257c7d2717f688e1ec31bb096,Mo-Fr 08:00-18:00; Sa 08:00-13:00,Western Union,Q861042
b9da4e79783c63eef887fa39d4097968,western_union,EQUITY BANK NYERI,,Nyeri,NYERI,,KE,+254 763 068011,https://location.westernunion.com/ke/nyeri/nyeri/b9da4e79783c63eef887fa39d4097968,Mo-Fr 08:00-17:00; Sa 08:00-13:00,Western Union,Q861042
094f441efe73355d927cfd5313eb57aa,western_union,EQUITY BANK KIRIANI,,Kiriani,NYERI,,KE,+254 763 068005,https://location.westernunion.com/ke/nyeri/kiriani/094f441efe73355d927cfd5313eb57aa,Mo-Fr 08:00-18:00; Sa 08:00-13:00,Western Union,Q861042
ff612c04bb6a7aa254e661980e6b9d6f,western_union,EQUITY BANK KIMATHI WAY,,Nyeri,NYERI,,KE,+254 763 068115,https://location.westernunion.com/ke/nyeri/nyeri/ff612c04bb6a7aa254e661980e6b9d6f,Mo-Fr 08:00-18:00; Sa 08:00-13:00,Western Union,Q861042
