Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68260044,moneygram,DENIZBANK - #9280 - MANISA,,MANISA,,,TR,2394270,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265586,moneygram,DENIZBANK - #1410 - MANISA - KULA,,MANISA,,,TR,8162600,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262194,moneygram,DENIZBANK - #5280 - MANISA - SANAYI,,MANISA,,,TR,2362225,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264817,moneygram,DENIZBANK - #2620 - MANISA - AKHISAR,,MANISA,,,TR,4122949,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261632,moneygram,DENIZBANK - #1150 - MANISA - SARUHANLI,,MANISA,,,TR,3573133,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264820,moneygram,DENIZBANK - #2690 - MANISA - CUMHURIYET,,MANISA,,,TR,2311900,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260691,moneygram,DENIZBANK - #2630 - MANISA - ALASEHIR,,MANISA,,,TR,6539655,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261221,moneygram,DENIZBANK - #4110 - MANISA - SOMA,,MANISA,,,TR,6126323,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261917,moneygram,DENIZBANK - #1670 - MANISA - KIRKAGAC,,MANISA,,,TR,5881030,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261726,moneygram,DENIZBANK - #1320 - MANISA - DEMIRCI,,MANISA,,,TR,4620062,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264901,moneygram,DENIZBANK - #2950 - MANISA - SARIGOL,,MANISA,,,TR,8674888,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263258,moneygram,DENIZBANK - #3250 - MANISA - TURGUTLU,,MANISA,,,TR,3122277,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263753,moneygram,DENIZBANK - #1200 - MANISA - GREEN DROP,,MANISA,,,TR,5152190,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
