Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68259961,moneygram,DENIZBANK - #9076 - IZMIR,,IZMIR,,,TR,3559393,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263326,moneygram,DENIZBANK - #3530 - IZMIR - BALCOVA,,IZMIR,,,TR,2778880,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261467,moneygram,DENIZBANK - #4660 - IZMIR - SIRINYER,,IZMIR,,,TR,4383939,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261674,moneygram,DENIZBANK - #1330 - IZMIR - MENDERES,,IZMIR,,,TR,7822232,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265719,moneygram,DENIZBANK - #1700 - IZMIR - CIGLI,,IZMIR,,,TR,3294088,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261137,moneygram,DENIZBANK - #3850 - IZMIR - GUZELYALI,,IZMIR,,,TR,2474848,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263009,moneygram,DENIZBANK - #9480 - IZMIR - KARSIYAKA,,IZMIR,,,TR,3682819,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264040,moneygram,DENIZBANK - #5310 - IZMIR - GIRNE BULVAR,,IZMIR,,,TR,3827000,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68266080,moneygram,DENIZBANK - #1115 - IZMIR - BAYRAKLI,,IZMIR,,,TR,3417272,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261302,moneygram,DENIZBANK - #4320 - IZMIR - 1 SANAYI SIT,,IZMIR,,,TR,4597071,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260701,moneygram,DENIZBANK - #2570 - IZMIR - ODEMIS,,IZMIR,,,TR,5445117,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260086,moneygram,DENIZBANK - #9420 - IZMIR - BORNOVA,,IZMIR,,,TR,3746260,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
