City,Place Name,Zipcode,Name
Kwai Hing,snap_fitness,Shop 12 3/F Sun Kwai Hing Plaza 166-174 Hing Fong Rd (Kwai Hing MTR Exit A) | 新界興芳路166-174號新葵興廣場3樓12號舖(葵興地鐵站A出口）,unknown,Kwai Hing
"Cheung Sha Wan, Kowloon",snap_fitness,1/F Heya Delight Shopping Centre No. 400 Castle Peak Road | 長沙灣青山道400號喜盈商場一樓,unknown,Cheung Sha Wan
Pok Fu Lam,snap_fitness,Shop 102A 1/F Chi Fu Landmark | 薄扶林置富南區商場1/F 102A 鋪,unknown,Pok Fu Lam
Kowloon,snap_fitness,2/F Pine Manor 63 Waterloo Road | 何文田 窩打老道 61-63 號，松亭閣2/F,unknown,Ho Man Tin
"San Po Kong, Kowloon",snap_fitness,1/f. 9 Luk Hop Street | 九龍新蒲崗六合街9號1樓,unknown,San Po Kong
"Mei Foo, Kowloon",snap_fitness,Shop 105C 1/F. Manhattan Mid-Town 1 Po Lun Street | 九龍 美孚 寶輪街1號曼克頓山 曼坊商場1樓 105C舖,unknown,Mei Foo
Kwun Tong,snap_fitness,10/F TG Place 10 Shing Yip Street | 九龍 觀塘 成業街10號 電訊一代廣場10樓,unknown,Kwun Tong
Quarry Bay,snap_fitness,17/F No.1001 King's Rd | 香港 鰂魚涌 英皇道1001號 17樓,unknown,Quarry Bay
Sha Tin,snap_fitness,Unit RB1 1/F. Lek Yuen Plaza 6 Lek Yuen Street | 新界 沙田 瀝源街6號 瀝源廣場1樓 RB1號舖,unknown,Sha Tin
Kowloon Bay,snap_fitness,B/F. The Eastmark 21 Sheung Yuet Road | 九龍 九龍灣 常悅道21號 The Eastmark 地庫 B1層,unknown,Kowloon Bay
Tin Hau,snap_fitness,1/F Kiu Hing Mansion 14 Kings Road | 香港 天后 英皇道14號 僑興大廈 1樓,unknown,Tin Hau
Tai Po,snap_fitness,1/F. Tai Wan Building 18 Tai Kwong Lane | 新界 大埔 大光里18號 大運大廈1樓,unknown,Tai Po
To Kwa Wan,snap_fitness,Shop 8 DownTown 38 38 Pak Tai Street | 北帝街38號8號舖,unknown,To Kwa Wan
Prince Edward,snap_fitness,1/F Hanley House 776-778 Nathan Road | 九龍 太子 彌敦道776號 恆利商業大廈 1樓,unknown,Prince Edward
Sai Wan Ho,snap_fitness,Shop 5 1/F I UniQ Grand 153 Shau Kei Wan Road | 香港 西灣河 筲箕灣道153號 譽.東 1樓,unknown,Sai Wan Ho
Hong Kong,snap_fitness,1F The Morrison 28 Yat Sin Street Wan Chai | 香港 灣仔 灣仔道223號 駿逸峰1樓,unknown,Wan Chai
