Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
8553,snap_fitness,Kwai Hing,"Shop 12, 3/F, Sun Kwai Hing Plaza, 166-174 Hing Fong Rd (Kwai Hing MTR Exit A) | 新界興芳路166-174號新葵興廣場3樓12號舖(葵興地鐵站A出口）",Kwai Hing,|,,HK,+852 5388 0848,https://www.snapfitness.com/hk/gyms/kwai-hing,24/7,Snap Fitness,Q7547254
7174,snap_fitness,Cheung Sha Wan,"1/F, Heya Delight Shopping Centre, No. 400 Castle Peak Road | 長沙灣青山道400號喜盈商場一樓","Cheung Sha Wan, Kowloon",|,,HK,+852 9286 3721,https://www.snapfitness.com/hk/gyms/cheung-sha-wan,24/7,Snap Fitness,Q7547254
5439,snap_fitness,Pok Fu Lam,"Shop 102A, 1/F, Chi Fu Landmark | 薄扶林置富南區商場1/F, 102A 鋪",Pok Fu Lam,|,,HK,+852 6966 6016,https://www.snapfitness.com/hk/gyms/pok-fulam,24/7,Snap Fitness,Q7547254
3221,snap_fitness,Ho Man Tin,"2/F Pine Manor, 63 Waterloo Road | 何文田 窩打老道 61-63 號，松亭閣2/F",Kowloon,|,,HK,+852 6609 6669,https://www.snapfitness.com/hk/gyms/ho-man-tin,24/7,Snap Fitness,Q7547254
3183,snap_fitness,San Po Kong,"1/f., 9 Luk Hop Street | 九龍新蒲崗六合街9號1樓","San Po Kong, Kowloon",|,,HK,+852 6699 2116,https://www.snapfitness.com/hk/gyms/san-po-kong,24/7,Snap Fitness,Q7547254
3165,snap_fitness,Mei Foo,"Shop 105C, 1/F., Manhattan Mid-Town, 1 Po Lun Street | 九龍 美孚 寶輪街1號曼克頓山 曼坊商場1樓 105C舖","Mei Foo, Kowloon",|,,HK,+852 9290 9218,https://www.snapfitness.com/hk/gyms/mei-foo,24/7,Snap Fitness,Q7547254
3139,snap_fitness,Kwun Tong,"10/F, TG Place, 10 Shing Yip Street | 九龍 觀塘 成業街10號 電訊一代廣場10樓",Kwun Tong,|,,HK,+852 9290 9938,https://www.snapfitness.com/hk/gyms/kwun-tong,24/7,Snap Fitness,Q7547254
3039,snap_fitness,Quarry Bay,"17/F, No.1001 King's Rd | 香港 鰂魚涌 英皇道1001號 17樓",Quarry Bay,|,,HK,+852 9290 9828,https://www.snapfitness.com/hk/gyms/quarry-bay,24/7,Snap Fitness,Q7547254
3037,snap_fitness,Sha Tin,"Unit RB1, 1/F. Lek Yuen Plaza, 6 Lek Yuen Street | 新界 沙田 瀝源街6號 瀝源廣場1樓 RB1號舖",Sha Tin,|,,HK,+852 5288 2091,https://www.snapfitness.com/hk/gyms/sha-tin,24/7,Snap Fitness,Q7547254
3035,snap_fitness,Kowloon Bay,"B/F., The Eastmark, 21 Sheung Yuet Road | 九龍 九龍灣 常悅道21號 The Eastmark 地庫 B1層",Kowloon Bay,|,,HK,+852 6111 5975,https://www.snapfitness.com/hk/gyms/kowloon-bay,24/7,Snap Fitness,Q7547254
3022,snap_fitness,Tin Hau,"1/F Kiu Hing Mansion, 14 Kings Road | 香港 天后 英皇道14號 僑興大廈 1樓",Tin Hau,|,,HK,+852 5588 0005,https://www.snapfitness.com/hk/gyms/tin-hau,24/7,Snap Fitness,Q7547254
2999,snap_fitness,Tai Po,"1/F., Tai Wan Building, 18 Tai Kwong Lane | 新界 大埔 大光里18號 大運大廈1樓",Tai Po,|,,HK,+852 6991 2100,https://www.snapfitness.com/hk/gyms/tai-po,24/7,Snap Fitness,Q7547254
2992,snap_fitness,To Kwa Wan,"Shop 8, DownTown 38, 38 Pak Tai Street | 北帝街38號8號舖",To Kwa Wan,|,,HK,+852 6323 7009,https://www.snapfitness.com/hk/gyms/to-kwa-wan,24/7,Snap Fitness,Q7547254
2983,snap_fitness,Prince Edward,"1/F Hanley House, 776-778 Nathan Road | 九龍 太子 彌敦道776號 恆利商業大廈 1樓",Prince Edward,|,,HK,+852 6329 5397,https://www.snapfitness.com/hk/gyms/prince-edward,24/7,Snap Fitness,Q7547254
2942,snap_fitness,Sai Wan Ho,"Shop 5, 1/F, I UniQ Grand, 153 Shau Kei Wan Road | 香港 西灣河 筲箕灣道153號 譽.東 1樓",Sai Wan Ho,|,,HK,+852 5744 3283,https://www.snapfitness.com/hk/gyms/sai-wan-ho,24/7,Snap Fitness,Q7547254
2916,snap_fitness,Wan Chai,"1F, The Morrison, 28 Yat Sin Street, Wan Chai | 香港 灣仔 灣仔道223號 駿逸峰1樓",Hong Kong,|,,HK,+852 6688 1343,https://www.snapfitness.com/hk/gyms/wan-chai,24/7,Snap Fitness,Q7547254
