City,Place Name,Zipcode,Name
unknown,boots_th,"Unit G02-03 G Floor Central Plaza Udonthani 
277/1-3271/5 Prajaksilapakom Road 
T.Makkhaeng  A.Muang Udonthani 41000",unknown,UDONTHANI
unknown,boots_th,Big C Udonthani  Unit 2CR2092CR219 2nd Floor 415Moo3  Mak Khaeng Udon Thani 41000              ,unknown,Big C Udonthani
unknown,pizza_hut_th,99/9 UD Town Shopping Center Thong Yai Road Mak Khaeng Subdistrict Mueang District Udon Thani Province 41000,unknown,UD Town Udonthani Delco
unknown,pizza_hut_th,415 Village No. 3 Mak Khaeng Subdistrict Mueang District Udon Thani Udon Thani Province 41000,unknown,Big C Udonthani 1
A.BANPUE,shell,,unknown,DO SAMMITR THAVEESUP  BANPHUE  UDN
T.MOOMON A.MUANG,shell,,unknown,CO CBN OIL B1 MOOMON UDN
A.MUANG,shell,,unknown,CO SHANE UDORN PRACHARAKSA UDN
T.MAK KHAENG A.MUANG,shell,,unknown,CO CHAIPETROPAT B1 MAK KHAENG UDN
A.MUANG.,shell,,unknown,CO UDORN PORNSAWAN NITTAYO UDN
T.NADI A.MUEANG UDON THANI,shell,,unknown,DO CHAIPETRONADEE MAK KHAENG UDN
A.MUANGUDORNTHANI.,shell,,unknown,CO UDORN PORNSAWAN B2 NADIE UDN
T.BANCHAN  A.MUEANG,shell,,unknown,CO KHEEREERACH  UDONTHANI OB
T.NONG PHAI A.MUEANG UDON THANI,shell,,unknown,DO CBN NONGPHAI UDN
UDON THANI,visa,,unknown,unknown
MUEANG UDON THANI,visa,,unknown,unknown
MUEANG,visa,,unknown,unknown
Udon Thani,western_union,,unknown,LOTUS EXPRESS TALAD MAEYUPIN UDONTHANI
Ban Dung,western_union,,unknown,BAAC BAN DUNG
Sang Khom,western_union,,unknown,THAILAND POST SANG KHOM
Thung Fon,western_union,,unknown,THAILAND POST THUNG FON
Nong Han,western_union,,unknown,BAAC NONG HAN
Wang Sam Mo,western_union,,unknown,THAILAND POST WANG SAM MO
Phen,western_union,,unknown,BAAC PHEN
Chai Wan,western_union,,unknown,BAAC CHAIWAN
Ku Kaeo,western_union,,unknown,BAAC KU KAEO
Si That,western_union,,unknown,BAAC SI THAT
Na Yung,western_union,,unknown,THAILAND POST NA YUNG
Mueang,western_union,,unknown,CENTRAL UDONTHANI
Kumphawapi,western_union,,unknown,KTB KUMPHAWAPI
Ban Phue,western_union,,unknown,THAILAND POST BAN PHUE
Nam Som,western_union,,unknown,THAILAND POST NAM SOM
Kut Chap,western_union,,unknown,BAAC KUA CHAP
Mueng,western_union,,unknown,BIG C UDONTHANI EXCHANGE BOOTH
Non Sa At,western_union,,unknown,THAILAND POST NON SA AT
Nong Wua So,western_union,,unknown,THAILAND POST NONG WUA SO
Nong Saeng,western_union,,unknown,BAAC NONG SAENG
