City,Place Name,Zipcode,Name
Ica,adidas,,unknown,"adidas Footwear Store Ica, Plaza del Sol"
Ica,nissan_europe,,unknown,INCAMOTORS ICA
NAZCA,visa,,unknown,unknown
PALPA,visa,,unknown,unknown
SANTIAGO,visa,,unknown,unknown
PARCONA,visa,,unknown,unknown
ICA,visa,,unknown,unknown
SUBTANJALLA,visa,,unknown,unknown
SALAS,visa,,unknown,unknown
CHINCHA ALTA,visa,,unknown,unknown
PISCO,visa,,unknown,unknown
Chincha Alta,western_union,,unknown,PREPAGO COMERCIAL KING
Pueblo Nuevo,western_union,,unknown,CMAC HUANCAYO AG  PUEBLO NUEVO
Chincha,western_union,,unknown,TK MOVILES
Ica,western_union,,unknown,GW CMAC HUANCAYO AG. SANTIAGO - ICA
Pisco,western_union,,unknown,CMAC HUANCAYO AG  PISCO
San Clemente,western_union,,unknown,PREPAGO   LUIS MIGUEL STORE
Parcona,western_union,,unknown,CMAC HUANCAYO AG  PARCONA   ICA
