Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68920876,moneygram,ARTHAPOS - #BJM - BANJARMASIN - KPRK BAN,,BANJARMASIN,,,ID,+62 21 71794849,,Mo-Sa 05:00-21:00; Su 06:00-14:00,MoneyGram,Q1944412
71685661,moneygram,BTN - BANJARMASIN - KAYUTANGI,,BANJARMASIN,,,ID,+62 511 628357,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685713,moneygram,BTN - BANJARMASIN - SULTAN ADAM,,BANJARMASIN,,,ID,+62 511 307528,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692722,moneygram,BTN - BANJARMASIN - BANJARMASIN,,BANJARMASIN,,,ID,+62 511 7866064,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692735,moneygram,BTN - BANJARMASIN - PPS UNIVERSITAS MUHA,,BANJARMASIN,,,ID,2147386,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692939,moneygram,BTN - BARITO KOALA - HANDIL BAKTI,,BARITO KOALA,,,ID,21342923,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692942,moneygram,BTN - BANJAR - SUNGAI LULUT,,BANJAR,,,ID,2140330,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685700,moneygram,BTN - BANJARMASIN - A. YANI,,BANJARMASIN,,,ID,+62 511 4368133,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685687,moneygram,BTN - BATU LICIN - BATULICIN,,BATU LICIN,,,ID,+62 518 7050800,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685690,moneygram,BTN - TABALONG - TANJUNG,,TABALONG,,,ID,+62 526 778502,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685658,moneygram,BTN - BANJARMASIN - BANJARMASIN,,BANJARMASIN,,,ID,+62 511 30717,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
