Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
c34ac5bc7e04f11c4129ac6af95e7876,western_union,First Security Islami Bank Ltd,,Brahmanbaria,Chattagram,,BD,+880 1992-044302,https://location.westernunion.com/bd/chattagram/brahmanbaria/c34ac5bc7e04f11c4129ac6af95e7876,Mo-Th 10:00-17:00; Su 10:00-17:00,Western Union,Q861042
470c739d9b0dd11642a87d550511b37b,western_union,IFIC BANK LIMITED,,Brahmanbaria,CHATTAGRAM,,BD,+880 1623-298787,https://location.westernunion.com/bd/chattagram/brahmanbaria/470c739d9b0dd11642a87d550511b37b,Mo-Th 10:00-17:00; Su 10:00-17:00,Western Union,Q861042
66187d73f3e82d478db16f3b1dd6ae30,western_union,IFIC BANK LIMITED,,Cox S Bazar,CHATTAGRAM,,BD,+880 1894-916655,https://location.westernunion.com/bd/chattagram/cox-s-bazar/66187d73f3e82d478db16f3b1dd6ae30,Mo-Th 10:00-17:00; Su 10:00-17:00,Western Union,Q861042
23eb26e5bf90a3bc7d769dc217a6e19e,western_union,IFIC BANK LIMITED,,Khagrachari,CHATTAGRAM,,BD,+880 1865-760105,https://location.westernunion.com/bd/chattagram/khagrachari/23eb26e5bf90a3bc7d769dc217a6e19e,Mo-Th 10:00-17:00; Su 10:00-17:00,Western Union,Q861042
08133bb800b6078a0477288f3558bd21,western_union,IFIC BANK LIMITED,,Cox's Bazar,CHATTAGRAM,,BD,+880 1815-136446,https://location.westernunion.com/bd/chattagram/cox's-bazar/08133bb800b6078a0477288f3558bd21,Mo-Th 10:00-17:00; Su 10:00-17:00,Western Union,Q861042
885094c1273f7966a8ab4f81034e79fe,western_union,IFIC BANK LIMITED,,Cumilla,CHATTAGRAM,,BD,+880 1924-679928,https://location.westernunion.com/bd/chattagram/cumilla/885094c1273f7966a8ab4f81034e79fe,Mo-Th 10:00-17:00; Su 10:00-17:00,Western Union,Q861042
07663faa5a99febbf68c3395474379b9,western_union,IFIC BANK LIMITED,,Brahmanbaria,CHATTAGRAM,,BD,+880 1685-522293,https://location.westernunion.com/bd/chattagram/brahmanbaria/07663faa5a99febbf68c3395474379b9,Mo-Th 10:00-17:00; Su 10:00-17:00,Western Union,Q861042
37949723de3e374baa74650235d492e4,western_union,IFIC BANK LIMITED,,Cumilla,Chattagram,,BD,+880 1927-938316,https://location.westernunion.com/bd/chattagram/cumilla/37949723de3e374baa74650235d492e4,Mo-Th 10:00-17:00; Su 10:00-17:00,Western Union,Q861042
d36c78dc85be07dc22aa9c06d0c8a5b8,western_union,IFIC BANK LIMITED,,Cumilla,Chattagram,,BD,+880 1835-278910,https://location.westernunion.com/bd/chattagram/cumilla/d36c78dc85be07dc22aa9c06d0c8a5b8,Mo-Th 10:00-17:00; Su 10:00-17:00,Western Union,Q861042
34831c230d2b4c7a8d8278df5068501f,western_union,IFIC BANK LIMITED,,Cumilla,CHATTAGRAM,,BD,+880 1831-162628,https://location.westernunion.com/bd/chattagram/cumilla/34831c230d2b4c7a8d8278df5068501f,Mo-Th 10:00-17:00; Su 10:00-17:00,Western Union,Q861042
e2d3e32d583e47e180d55eac47a789f1,western_union,IFIC BANK LIMITED,,Cumilla,Chattagram,,BD,+880 1876-078070,https://location.westernunion.com/bd/chattagram/cumilla/e2d3e32d583e47e180d55eac47a789f1,Mo-Th 10:00-17:00; Su 10:00-17:00,Western Union,Q861042
b582c752de37911f1f3d027404c82227,western_union,IFIC BANK LIMITED,,Feni,CHATTAGRAM,,BD,+880 1796-495545,https://location.westernunion.com/bd/chattagram/feni/b582c752de37911f1f3d027404c82227,Mo-Th 10:00-17:00; Su 10:00-17:00,Western Union,Q861042
bef8948457783c5ce689418ba86df051,western_union,IFIC BANK LIMITED,,Laxmipur,Chattagram,,BD,+880 1793-926611,https://location.westernunion.com/bd/chattagram/laxmipur/bef8948457783c5ce689418ba86df051,Mo-Th 10:00-17:00; Su 10:00-17:00,Western Union,Q861042
d221fddecab9b8487f1478887b68206c,western_union,IFIC BANK LIMITED,,Noakhali,CHATTAGRAM,,BD,+880 1835-184916,https://location.westernunion.com/bd/chattagram/noakhali/d221fddecab9b8487f1478887b68206c,Mo-Th 10:00-17:00; Su 10:00-17:00,Western Union,Q861042
a5b118f37668e93e4c1d3995fc242802,western_union,IFIC BANK LIMITED,,Chandpur,CHATTAGRAM,,BD,+880 1712-409696,https://location.westernunion.com/bd/chattagram/chandpur/a5b118f37668e93e4c1d3995fc242802,Mo-Th 10:00-17:00; Su 10:00-17:00,Western Union,Q861042
46309b26b42e6ff64f701d441edea290,western_union,IFIC BANK LIMITED,,Laxmipur,CHATTAGRAM,,BD,+880 1966-626601,https://location.westernunion.com/bd/chattagram/laxmipur/46309b26b42e6ff64f701d441edea290,Mo-Th 10:00-17:00; Su 10:00-17:00,Western Union,Q861042
