Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
65566550,moneygram,BANK AL FALAH LIMITED - I 8 MARKAZ BRANC,,ISLAMABAD,,,PK,+92 51 4862563,,Mo-Fr 08:00-19:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
65566576,moneygram,BANK AL FALAH LIMITED - MAIN BRANCH  BLU,,ISLAMABAD,,,PK,+92 51 2810136,,Mo-Fr 08:00-19:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
65566660,moneygram,BANK AL FALAH LIMITED - BHARA KAHU BRANC,,ISLAMABAD,,,PK,+92 51 2233635,,Mo-Fr 08:00-19:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
65566372,moneygram,BANK AL FALAH LIMITED - F 10 MARKAZ BRAN,,ISLAMABAD,,,PK,+92 51 2809704,,Mo-Fr 08:00-19:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
65566424,moneygram,BANK AL FALAH LIMITED - F 7 MARKAZ ISLAM,,ISLAMABAD,,,PK,+92 51 2653944,,Mo-Fr 08:00-19:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
65566482,moneygram,BANK AL FALAH LIMITED - F 8 MARKAZ BRANC,,ISLAMABAD,,,PK,+92 51 7151673,,Mo-Fr 08:00-19:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
65566521,moneygram,BANK AL FALAH LIMITED - G 9 MARKAZ BRANC,,ISLAMABAD,,,PK,+92 51 2253002,,Mo-Fr 08:00-19:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
65576922,moneygram,BANK AL FALAH LIMITED - IB I 9 MARKAZ BR,,ISLAMABAD,,,PK,+92 51 4858562,,Mo-Fr 08:00-19:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
65576980,moneygram,BANK AL FALAH LIMITED - IB G 10 MARKAZ B,,ISLAMABAD,,,PK,+92 51 2819101,,Mo-Fr 08:00-19:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
65576993,moneygram,BANK AL FALAH LIMITED - IB JINNAH AVENUE,,ISLAMABAD,,,PK,+92 51 2879580,,Mo-Fr 08:00-19:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
65681448,moneygram,BANK AL FALAH LIMITED - G 11  MARKAZ ISL,,ISLAMABAD,,,PK,+92 51 2830259,,Mo-Fr 08:00-19:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
65681464,moneygram,BANK AL FALAH LIMITED - GRAIN MARKET  IS,,ISLAMABAD,,,PK,+92 51 4438823,,Mo-Fr 08:00-19:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
