Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
0015796711c561e448026e8da40fd827,western_union,ISHAKA,,Mbarara,MBARARA,,UG,+256 800 217200,https://location.westernunion.com/ug/mbarara/mbarara/0015796711c561e448026e8da40fd827,Mo-Fr 08:00-17:00; Sa 09:00-14:00,Western Union,Q861042
beca8c7b10de58513b5d5095413e977c,western_union,DTB MBARARA,,Mbarara,MBARARA,,UG,+256 41 4387100,https://location.westernunion.com/ug/mbarara/mbarara/beca8c7b10de58513b5d5095413e977c,Mo-Fr 09:00-19:30; Sa 09:00-15:30,Western Union,Q861042
fd88f3ad787ffd47873ff1ed2ec3aab5,western_union,BANK OF AFRICA MBARARA BRANCH,,Mbarara,MBARARA,,UG,+256 485 420153,https://location.westernunion.com/ug/mbarara/mbarara/fd88f3ad787ffd47873ff1ed2ec3aab5,Mo-Fr 08:30-17:00; Sa 09:00-13:00,Western Union,Q861042
19cdcdd01c5ae03e9d1119f1a146ec7d,western_union,HOUSING FINANCE BANK MBARARA B,,Mbarara,MBARARA,,UG,+256 485 421927,https://location.westernunion.com/ug/mbarara/mbarara/19cdcdd01c5ae03e9d1119f1a146ec7d,Mo-Fr 08:00-19:00; Sa 09:00-18:00,Western Union,Q861042
3e4a94af53f063f75a0c3e2080a4dac3,western_union,MUNA FOREX BUREAU,,Mbarara,MBARARA,,UG,+256 41 4231168,https://location.westernunion.com/ug/mbarara/mbarara/3e4a94af53f063f75a0c3e2080a4dac3,Mo-Sa 07:30-20:00; Su 10:30-20:00,Western Union,Q861042
217528438baf8122dedda80051a658c2,western_union,GUARANTY TRUST BANK,,Mbarara,MBARARA,,UG,+256 200 710500,https://location.westernunion.com/ug/mbarara/mbarara/217528438baf8122dedda80051a658c2,Mo-Fr 08:30-17:00; Sa 09:00-13:00,Western Union,Q861042
624b7e1b125a3739a122912f61658f5e,western_union,UGAFODE MICROFINANCE LIMITED N,,Mbarara,MBARARA,,UG,+256 41 4231168,https://location.westernunion.com/ug/mbarara/mbarara/624b7e1b125a3739a122912f61658f5e,Mo-Fr 08:30-17:30; Sa 09:00-13:30,Western Union,Q861042
b0c9d93812475cb13f36460c8377811d,western_union,HIGH STREET,,Mbarara,MBARARA,,UG,+256 701 200291,https://location.westernunion.com/ug/mbarara/mbarara/b0c9d93812475cb13f36460c8377811d,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
1d8f79c31464a068185940af289f2915,western_union,POST BANK RUSHERE,,Mbarara,MBARARA,,UG,+256 704 122853,https://location.westernunion.com/ug/mbarara/mbarara/1d8f79c31464a068185940af289f2915,Mo-Fr 08:30-17:00; Sa-Su 08:30-14:00,Western Union,Q861042
d204804952584c05b0a64e166e394d73,western_union,OPPORTUNITY UGANDA LTD MBARARA,,Mbarara,MBARARA,,UG,+256 41 4231168,https://location.westernunion.com/ug/mbarara/mbarara/d204804952584c05b0a64e166e394d73,Mo-Fr 08:30-19:00; Sa 08:30-17:00,Western Union,Q861042
f7d64980f3eddaaaebaccf2ed2b9b5fb,western_union,DFCU MBARARA BRANCH,,Mbarara,MBARARA,,UG,(+256) 772-778171247,https://location.westernunion.com/ug/mbarara/mbarara/f7d64980f3eddaaaebaccf2ed2b9b5fb,Mo-Fr 08:30-18:00; Sa 08:30-13:00,Western Union,Q861042
