Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72859344,moneygram,BANCO W,,RIONEGRO,,,CO,+57 1 800 0515656,,Mo-Fr 08:00-17:00; Sa 08:30-12:30; Su 00:00-24:00,MoneyGram,Q1944412
74618240,moneygram,MASRED - RIONEGRO - JOYERIA OROEXPRESS E,,RIONEGRO,,,CO,+57 604 5610324,,Mo-Sa 08:30-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74917970,moneygram,GANA - RIONEGRO - RIONEGRO PLAZA,,RIONEGRO,,,CO,4444441,,Mo-Sa 06:00-22:00; Su 10:00-18:00,MoneyGram,Q1944412
74921050,moneygram,GANA - RIONEGRO - SUPERMERCADO DON SANTA,,RIONEGRO,,,CO,4444441,,Mo-Sa 06:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
74915312,moneygram,GANA - RIONEGRO - OFICINA PRINCIPAL LE A,,RIONEGRO,,,CO,4444441,,Mo-Sa 06:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
74922716,moneygram,GANA - RIONEGRO - DE UNO RIONEGRO,,RIONEGRO,,,CO,4444441,,Mo-Sa 06:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
74917255,moneygram,GANA - RIONEGRO - MECATIADERO,,RIONEGRO,,,CO,4444441,,Mo-Sa 06:00-22:00; Su 10:00-18:00,MoneyGram,Q1944412
74918089,moneygram,GANA - RIONEGRO - VARIEDADES YULY,,RIONEGRO,,,CO,4444441,,Mo-Sa 06:00-22:00; Su 08:00-16:00,MoneyGram,Q1944412
74915309,moneygram,GANA - RIONEGRO - LA BURBUJA,,RIONEGRO,,,CO,4444441,,Mo-Sa 06:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
74914685,moneygram,GANA - RIONEGRO - CAPILLITA,,RIONEGRO,,,CO,4444441,,Mo-Sa 06:00-22:00; Su 10:00-18:00,MoneyGram,Q1944412
74917187,moneygram,GANA - RIONEGRO - TERMINAL TRANSUNIDOS R,,RIONEGRO,,,CO,4444441,,Mo-Sa 06:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
74917462,moneygram,GANA - RIONEGRO - EL ARCA,,RIONEGRO,,,CO,4444441,,Mo-Sa 06:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
74918005,moneygram,GANA - RIONEGRO - QUEBRADA A ARRRIBA,,RIONEGRO,,,CO,4444441,,Mo-Sa 11:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74917983,moneygram,GANA - RIONEGRO - LA POLA,,RIONEGRO,,,CO,4444441,,Mo-Sa 11:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74919635,moneygram,GANA - RIONEGRO - LOS CEREZOS,,RIONEGRO,,,CO,4444441,,Mo-Sa 11:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
