Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
69544170,moneygram,BOA - NIAMEY - AGENCE CENTRALE,,NIAMEY,,,NE,+227 20 73 36 20,,Mo-Fr 08:15-12:30; Sa 09:00-12:30; Su 00:00-24:00,MoneyGram,Q1944412
69544196,moneygram,BOA - NIAMEY - AGENCE YANTALA,,NIAMEY,,,NE,+227 20 33 00 07,,Mo-Fr 08:15-12:30; Sa 09:00-12:30; Su 00:00-24:00,MoneyGram,Q1944412
69544222,moneygram,BOA - NIAMEY - AGENCE BOUKOKI,,NIAMEY,,,NE,+227 20 73 36 20,,Mo-Fr 08:15-12:30; Sa 09:00-12:30; Su 00:00-24:00,MoneyGram,Q1944412
69544316,moneygram,BOA - NIAMEY - AGENCE KALLEY,,NIAMEY,,,NE,+227 20 73 36 20,,Mo-Fr 08:15-12:30; Sa 09:00-12:30; Su 00:00-24:00,MoneyGram,Q1944412
69544293,moneygram,BOA - NIAMEY - AGENCE PLATEAU,,NIAMEY,,,NE,+227 20 72 23 23,,Mo-Fr 08:15-12:30; Sa 09:00-12:30; Su 00:00-24:00,MoneyGram,Q1944412
69544497,moneygram,BOA - NIAMEY - AGENCE GRAND MARCHE,,NIAMEY,,,NE,+227 20 72 60 31,,Mo-Fr 08:15-12:30; Sa 09:00-12:30; Su 00:00-24:00,MoneyGram,Q1944412
69544510,moneygram,BOA - NIAMEY - AGENCE KATAKO,,NIAMEY,,,NE,+227 20 73 23 94,,Mo-Fr 08:15-12:30; Sa 09:00-12:30; Su 00:00-24:00,MoneyGram,Q1944412
69544730,moneygram,BOA - NIAMEY - AGENCE LIBERTE,,NIAMEY,,,NE,+227 20 73 36 20,,Mo-Fr 08:15-12:30; Sa 09:00-12:30; Su 00:00-24:00,MoneyGram,Q1944412
69544536,moneygram,BOA - NIAMEY - AGENCE RIVE DROITE,,NIAMEY,,,NE,+227 20 31 50 85,,Mo-Fr 08:15-12:30; Sa 09:00-12:30; Su 00:00-24:00,MoneyGram,Q1944412
69544727,moneygram,BOA - ARLIT - AGENCE ARLIT,,ARLIT,,,NE,+227 20 45 21 15,,Mo-Fr 08:15-12:30; Sa 09:00-12:30; Su 00:00-24:00,MoneyGram,Q1944412
69544701,moneygram,BOA - NIAMEY - AGENCE AS SALAM,,NIAMEY,,,NE,+227 20 74 16 91,,Mo-Fr 08:15-12:30; Sa 09:00-12:30; Su 00:00-24:00,MoneyGram,Q1944412
69544523,moneygram,BOA - NIAMEY - AGENCE EURO WORLD,,NIAMEY,,,NE,+227 94 52 30 68,,Mo-Fr 08:15-12:30; Sa 09:00-12:30; Su 00:00-24:00,MoneyGram,Q1944412
69544507,moneygram,BOA - NIAMEY - AGENCE ELITE,,NIAMEY,,,NE,+227 20 73 35 87,,Mo-Fr 08:15-12:30; Sa 09:00-12:30; Su 00:00-24:00,MoneyGram,Q1944412
