Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68919654,moneygram,ARTHAPOS - #SB - SURABAYA - KPRK SURABAY,,SURABAYA,,,ID,+62 21 71794849,,Mo-Sa 06:00-22:00; Su 07:00-15:00,MoneyGram,Q1944412
71684141,moneygram,BTN - SURABAYA - JEMURSARI,,SURABAYA,,,ID,+62 31 5353513,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71684167,moneygram,BTN - SURABAYA - UNIVERSITAS NEGERI SURA,,SURABAYA,,,ID,+62 31 8667237,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71684170,moneygram,BTN - SURABAYA - KH MAS MANSYUR,,SURABAYA,,,ID,+62 31 8475452,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71684183,moneygram,BTN - SURABAYA - NGINDEN SEMOLO,,SURABAYA,,,ID,+62 31 5038554,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71684196,moneygram,BTN - SURABAYA - RUNGKUT MADYA,,SURABAYA,,,ID,+62 31 8415754,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71684206,moneygram,BTN - SURABAYA - PASAR KEMBANG,,SURABAYA,,,ID,+62 31 5340576,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71684235,moneygram,BTN - SURABAYA - NGAGEL,,SURABAYA,,,ID,+62 31 5992799,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71684251,moneygram,BTN - SURABAYA - GUBENG,,SURABAYA,,,ID,+62 31 8706008,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71684293,moneygram,BTN - SURABAYA - PERAK BARAT,,SURABAYA,,,ID,+62 31 5994765,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691736,moneygram,BTN - SURABAYA - SATELITE TOWN SQUARE,,SURABAYA,,,ID,+62 31 29283750,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692269,moneygram,BTN - SURABAYA - KERTAJAYA INDAH EKS. EM,,SURABAYA,,,ID,+62 31 87242826,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692285,moneygram,BTN - SURABAYA - SURABAYA BUKIT DARMO,,SURABAYA,,,ID,+62 31 5225757,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691749,moneygram,BTN - SURABAYA - LAKARSANTRI,,SURABAYA,,,ID,+62 31 7323344,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71693349,moneygram,BTN - SURABAYA - UNESA LIDAH WETAN,,SURABAYA,,,ID,+62 31 2310490,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71684154,moneygram,BTN - SURABAYA - BUBUTAN,,SURABAYA,,,ID,+62 31 5931763,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691723,moneygram,BTN - SURABAYA - BABATAN WIYUNG,,SURABAYA,,,ID,+62 31 88980663,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71684345,moneygram,BTN - SURABAYA - INSTITUT TEKNOLOGI SEPU,,SURABAYA,,,ID,+62 31 5042223,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691697,moneygram,BTN - SURABAYA - DARMO,,SURABAYA,,,ID,+62 31 88973074,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
