Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68919418,moneygram,ARTHAPOS - #TNG - TANGERANG - KPRK TANGE,,TANGERANG,,,ID,+62 21 71794849,,Mo-Sa 06:00-22:00; Su 07:00-15:00,MoneyGram,Q1944412
71688859,moneygram,BTN - TANGERANG - TAMAN CIBODAS EX. SAST,,TANGERANG,,,ID,+62 21 54370336,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688875,moneygram,BTN - TANGERANG - VILLA TAMAN BANDARA,,TANGERANG,,,ID,+62 21 37663845,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688888,moneygram,BTN - TANGERANG - MODERN LAND,,TANGERANG,,,ID,+62 21 7317725,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688914,moneygram,BTN - TANGERANG - PERMATA TANGERANG,,TANGERANG,,,ID,+62 21 27470885,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688927,moneygram,BTN - TANGERANG - TAMAN ROYAL,,TANGERANG,,,ID,+62 21 70247271,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688969,moneygram,BTN - TANGERANG - NEGLASARI,,TANGERANG,,,ID,+62 21 5902372,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71689010,moneygram,BTN - TANGERANG - BINTARO JAYA,,TANGERANG,,,ID,+62 21 55761601,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71689049,moneygram,BTN - TANGERANG SELATAN - KAMPUNG UTAN,,TANGERANG SELATAN,,,ID,+62 24 7311497,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71689081,moneygram,BTN - TANGERANG - REMPOA,,TANGERANG,,,ID,+62 21 74708010,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690614,moneygram,BTN - TANGERANG - BSD SEKTOR 1.1,,TANGERANG,,,ID,+62 21 2787122,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
