State,Place Name,City,Establishments
UNKNOWN,accor,unknown,35
01,adidas,Singapore,7
04,adidas,Singapore,2
01,adidas,609601,1
UNKNOWN,alstom,unknown,1
CENTRALSINGAPORE,anytime_fitness,Singapore,11
SOUTHEAST,anytime_fitness,Tanjong Katong,2
SOUTHWEST,anytime_fitness,Siglap Community Centre,1
NORTHEAST,anytime_fitness,Upper Changi,1
CENTRALSINGAPORE,anytime_fitness,District 19,1
NORTHEAST,anytime_fitness,Woods Square,1
CENTRALSINGAPORE,anytime_fitness,River Valley,1
SOUTHEAST,anytime_fitness,East,1
NORTHEAST,anytime_fitness,Singapore,7
SOUTHWEST,anytime_fitness,Kallang,1
SOUTHEAST,anytime_fitness,"Bedok, District 16",1
NORTHEAST,anytime_fitness,Pasir Ris,1
NORTHWEST,anytime_fitness,Woodlands,2
NORTHEAST,anytime_fitness,Sembawang,1
SOUTHEAST,anytime_fitness,Geylang Central,1
SOUTHEAST,anytime_fitness,Bedok 85,1
NORTHEAST,anytime_fitness,Sengkang Rivervale,1
SOUTHEAST,anytime_fitness,Bedok,1
SOUTHWEST,anytime_fitness,Jurong East,1
CENTRALSINGAPORE,anytime_fitness,Kim Seng Community Centre,1
SOUTHWEST,anytime_fitness,Jurong East Central,1
SOUTHEAST,anytime_fitness,Kembangan,1
SOUTHWEST,anytime_fitness,Singapore,7
SOUTHWEST,anytime_fitness,Telok Blangah,1
SOUTHEAST,anytime_fitness,Ang Mo Kio,1
NORTHWEST,anytime_fitness,Wisteria,1
NORTHWEST,anytime_fitness,Choa Chu Kang,4
NORTHEAST,anytime_fitness,North Bridge,1
SOUTHEAST,anytime_fitness,Singapore,7
SOUTHWEST,anytime_fitness,Pioneer Mall,1
CENTRALSINGAPORE,anytime_fitness,Jalan Besar,1
SOUTHWEST,anytime_fitness,Jurong West,1
SOUTHWEST,anytime_fitness,d'Arena Jurong,1
NORTHWEST,anytime_fitness,Singapore,5
SOUTHWEST,anytime_fitness,Marymount Community Club,1
NORTHEAST,anytime_fitness,New Tech Park,1
CENTRALSINGAPORE,anytime_fitness,Bukit Timah,1
NORTHEAST,anytime_fitness,Punggol Oasis,1
SOUTHWEST,anytime_fitness,Cantonment Road,1
CENTRALSINGAPORE,anytime_fitness,Hougang Central 2,1
NORTHWEST,anytime_fitness,Jalan Kuras,1
CENTRALSINGAPORE,anytime_fitness,Wheelock Place,1
NORTHEAST,anytime_fitness,Hwi Yoh,1
SOUTHEAST,anytime_fitness,Alexandra Road,1
SOUTHWEST,anytime_fitness,Tiong Bahru Plaza,1
CENTRALSINGAPORE,anytime_fitness,Bukit Panjang CC,1
SOUTHEAST,anytime_fitness,Havelock Outram,1
CENTRALSINGAPORE,anytime_fitness,Boon Keng,1
SOUTHEAST,anytime_fitness,Cecil Street,1
NORTHWEST,anytime_fitness,Woodgrove,1
SOUTHWEST,anytime_fitness,West Coast,1
CENTRALSINGAPORE,anytime_fitness,Upper Thomson,1
SOUTHEAST,anytime_fitness,Geylang,1
CENTRALSINGAPORE,anytime_fitness,Ang Mo Kio,1
CENTRALSINGAPORE,anytime_fitness,Balestier,1
NORTHEAST,anytime_fitness,Sengkang,1
CENTRALSINGAPORE,anytime_fitness,Bugis,1
CENTRALSINGAPORE,anytime_fitness,Holland Village,1
CENTRALSINGAPORE,anytime_fitness,Bishan,1
NORTHEAST,anytime_fitness,Admiralty,1
NORTHEAST,anytime_fitness,Pasir Ris Elias,1
NORTHEAST,anytime_fitness,Yishun,2
NORTHEAST,anytime_fitness,Tampines,1
CENTRALSINGAPORE,anytime_fitness,Serangoon Gardens,1
SOUTHWEST,anytime_fitness,Bedok District,1
CENTRALSINGAPORE,anytime_fitness,Novena,1
NORTHEAST,anytime_fitness,District 19,1
CENTRALSINGAPORE,anytime_fitness,Serangoon Central,1
SOUTHEAST,anytime_fitness,HabourFront,1
NORTHEAST,anytime_fitness,Hougang CC,1
SOUTHWEST,anytime_fitness,Jurong Point,1
SOUTHEAST,anytime_fitness,Stevens,1
NORTHEAST,anytime_fitness,Marsiling,1
UNKNOWN,apple,Singapore,3
UNKNOWN,ashley_furniture,Singapore,1
UNKNOWN,audi,Singapore,3
UNKNOWN,aurecongroup,Singapore,1
SG,aveda,Singapore,1
SINGAPORE,avis,Singapore,2
0107WATERFRONTPLAZA,avis,Singapore,1
UNKNOWN,bed_bath_n_table,unknown,4
UNKNOWN,bmw_group,Singapore,6
SINGAPORE,botteg_aveneta,Singapore,4
UNKNOWN,caltex,Singapore,26
UNKNOWN,carhartt_wip,Singapore,1
EAST,citi,Singapore,17
SINGAPORE,citi,Singapore,55
NORTHEAST,citi,Singapore,2
NORTH,citi,Singapore,6
UNKNOWN,citi,Singapore,13
CENTRAL,citi,Singapore,42
WEST,citi,Singapore,4
SGSINGAPORE,decathlon_sg,Singapore,3
SINGAPORE,decathlon_sg,Singapore,12
UNKNOWN,deloitte,Singapore 068809,3
UNKNOWN,ecco,Singapore,16
UNKNOWN,ernst_young,Singapore,5
UNKNOWN,exxonmobil,SINGAPORE,58
UNKNOWN,exxonmobil,singapore,1
UNKNOWN,fedex,unknown,1
UNKNOWN,five_guys_sh,Singapore,1
UNKNOWN,ford,Singapore,5
UNKNOWN,ford,Singapore 408564,4
UNKNOWN,ford,unknown,1
UNKNOWN,fossil,Singapore,1
UNKNOWN,fossil,unknown,1
SG,fossil,SINGAPORE,5
UNKNOWN,geox,SINGAPORE,2
UNKNOWN,geox,SINGAPORE OUTLET,1
UNKNOWN,google_offices,unknown,1
UNKNOWN,g_star_raw,SINGAPORE,3
UNKNOWN,hardrock,Chandigarh,1
UNKNOWN,hardrock,Sentosa,1
UNKNOWN,hardrock,Singapore,1
UNKNOWN,hm,Singapore,8
UNKNOWN,hooters,unknown,1
SG,hugo_boss,Singapore,14
UNKNOWN,ikea,Singapore,2
UNKNOWN,ikea,Singapore 528764,1
ASIAPACIFIC,jll,Singapore,1
UNKNOWN,jll,unknown,1
UNKNOWN,just_group,unknown,23
UNKNOWN,kfc_sg,unknown,79
UNKNOWN,lhw,Singapore City,2
SING,lovisa,Downtown Core,1
SING,lovisa,Singapore,14
SING,lovisa,unknown,1
UNKNOWN,man_truck_and_bus,Singapore,2
UNKNOWN,marriott,Singapore,10
UNKNOWN,maserati,SINGAPORE,1
WESTREGION,mercedes_benz,Singapore,1
CENTRALREGION,mercedes_benz,Singapore,1
NORTHEASTREGION,mercedes_benz,Singapore,1
UNKNOWN,meta,unknown,1
UNKNOWN,michaelkors,Singapore,9
UNKNOWN,moneygram,SINGAPORE,26
UNKNOWN,nandos_sg,unknown,6
UNKNOWN,nike,Singapore,4
SINGAPORE,nike,Singapore,1
UNKNOWN,pizza_hut_sg,unknown,63
UNKNOWN,popeyes_sg,unknown,11
UNKNOWN,rationale,unknown,2
UNKNOWN,scania,Singapore,3
UNKNOWN,shake_shack,unknown,8
SINGAPORE,shell,SINGAPORE,84
UNKNOWN,shell,SINGAPORE,2
UNKNOWN,sixt,Singapore,2
UNKNOWN,sixt,"Sentosa, Singapore",1
,snap_fitness,Pasir Ris Mall,1
CENTRALREGION,snap_fitness,|,1
,snap_fitness,600 @ Toa Payoh,1
,snap_fitness,888 Plaza,1
,snap_fitness,|,1
UNKNOWN,spotlight,unknown,1
SINGAPORE,subway_sg,Singapore,126
UNKNOWN,superdry,Singapore,2
SINGAPORE,t2,Singapore,2
CENTRALSINGAPORE,t2,Singapore,1
UNKNOWN,thebodyshop,Singapore,32
UNKNOWN,the_coffee_bean_and_tea_leaf_sg,unknown,76
UNKNOWN,timberland,Singapore,9
UNKNOWN,united_colors_of_benetton,SINGAPORE,2
UNKNOWN,visa,SINGAPORE,1445
SINGAPORE,visa,SINGAPORE,2
WEST,visa,SINGAPORE,1
CENTRAL,visa,SINGAPORE,20
UNKNOWN,visa,"3 LORONG LIPUT,HOLLAND VILLAGE",1
UNKNOWN,visa,"CABLE CAR PLAZA, 42 CABLE CAR ROAD SINGAPORE",1
UNKNOWN,visa,"UNIVERSAL STUDIO SINGAPORE ENTRANCE, 30 SENTOSA GATEWAY",1
UNKNOWN,visa,"163 TANGLIN ROAD, 02-K4",1
UNKNOWN,visa,"290 ORCHARD ROAD ,B1-K14",1
NORTH,visa,SINGAPORE,1
UNKNOWN,visa,"9 BISHAN PLACE, 01-14A/14B",1
UNKNOWN,visa,SOUTH TOWER LEVEL 1 (NEXT TO CARPARK LOBBY),1
UNKNOWN,visa,50 RAFFLES PLACE,1
UNKNOWN,visa,30 RAFFLES AVENUE SINGAPORE,1
EAST,visa,SINGAPORE,5
UNKNOWN,visa,TERM 3 ARRIVAL HALL,1
UNKNOWN,visa,TERMINAL 1 ARRIVAL HALL,1
UNKNOWN,visa,TERM 2 ARRIVAL HALL,1
SINGAPORE,western_union,Singapore,29
