Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
73966223,moneygram,ACLEDA BANK PLC - #ABP173 - KAMPOT - CHH,,KAMPOT,,,KH,+855 23 430 999,,Mo-Fr 07:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73966236,moneygram,ACLEDA BANK PLC - #ABP174 - KAMPOT - CHU,,KAMPOT,,,KH,+855 23 430 999,,Mo-Fr 07:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73966249,moneygram,ACLEDA BANK PLC - #ABP175 - KAMPOT - CHH,,KAMPOT,,,KH,+855 23 430 999,,Mo-Fr 07:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73966252,moneygram,ACLEDA BANK PLC - #ABP176 - KAMPOT - ANG,,KAMPOT,,,KH,+855 23 430 999,,Mo-Fr 07:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73966265,moneygram,ACLEDA BANK PLC - #ABP177 - KAMPOT - ANG,,KAMPOT,,,KH,+855 23 430 999,,Mo-Fr 07:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73964856,moneygram,ACLEDA BANK PLC - #ABP36 - KAMPOT - KAMP,,KAMPOT,,,KH,+855 23 430 999,,Mo-Fr 07:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73964872,moneygram,ACLEDA BANK PLC - #ABP38 - KAMPOT - TUEK,,KAMPOT,,,KH,+855 23 430 999,,Mo-Fr 07:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73964885,moneygram,ACLEDA BANK PLC - #ABP39 - KAMPOT - TUEK,,KAMPOT,,,KH,+855 23 430 999,,Mo-Fr 07:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73964898,moneygram,ACLEDA BANK PLC - #ABP40 - KAMPOT - KAMP,,KAMPOT,,,KH,+855 23 430 999,,Mo-Fr 07:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73964908,moneygram,ACLEDA BANK PLC - #ABP41 - KAMPOT - BANT,,KAMPOT,,,KH,+855 23 430 999,,Mo-Fr 07:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73964911,moneygram,ACLEDA BANK PLC - #ABP42 - KAMPOT - DANG,,KAMPOT,,,KH,+855 23 430 999,,Mo-Fr 07:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
