Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
66679417,moneygram,BOC - #05311 - JLYJ YANBIAN SUB-BR,,YANJI,,,CN,+86 433 291 6679,,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66680121,moneygram,BOC - #05153 - JLYJ TIANCHI ROAD SUB-BR,,YANJI,,,CN,+86 433 221 5393,,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66680354,moneygram,BOC - #05154 - JLYJ YANXI STREET SUB-BR,,YANJI,,,CN,+86 433 275 9369,,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66680325,moneygram,BOC - #05142 - JLYJ XINGHUA SUB-BR,,YANJI,,,CN,+86 433 256 7725,,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66680163,moneygram,BOC - #05151 - JLYJ XIJUN SUB-BR,,YANJI,,,CN,+86 433 291 6185,,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66680367,moneygram,BOC - #05150 - JLYJ YONGSHENG SUB-BR,,YANJI,,,CN,+86 433 251 2717,,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66680037,moneygram,BOC - #05140 - JLYJ JIANGFANG SUB-BR,,YANJI,,,CN,+86 433 252 4254,,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66680066,moneygram,BOC - #05143 - JLYJ QINGLIU SUB-BR,,YANJI,,,CN,+86 433 256 6360,,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66679462,moneygram,BOC - #05146 - JLYJ BEIYUAN SUB-BR,,YANJI,,,CN,+86 433 291 1098,,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66679446,moneygram,BOC - #05144 - JLYJ AIDAN ROAD SUB-BR,,YANJI,,,CN,+86 433 291 8177,,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66680422,moneygram,BOC - #05145 - JLYJ YOUYI ROAD SUB-BR,,YANJI,,,CN,+86 433 285 9721,,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66679527,moneygram,BOC - #05152 - JLYJ CHANGBAI ROAD SUB-BR,,YANJI,,,CN,+86 433 285 9720,,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66679679,moneygram,BOC - #05149 - JLYJ JIANGONG SUB-BR,,YANJI,,,CN,+86 433 253 0287,,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66679608,moneygram,BOC - #05147 - JLYJ GONGYUAN SUB-BR,,YANJI,,,CN,+86 433 271 9964,,Mo-Fr 08:30-16:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
