Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://stores.footlocker.co.nz/nz-wgn/mountwellington/,footlocker,"Foot Locker Locations in Mount Wellington, Wellington | Approved",,New York,NY,,NZ,+64 800 863 8932,https://stores.footlocker.co.nz/nz-wgn/mountwellington/,,Foot Locker,Q63335
https://stores.footlocker.co.nz/nz-stl/glenfield/,footlocker,"Foot Locker Locations in Glenfield, Southland | Approved",,New York,NY,,NZ,+64 800 863 8932,https://stores.footlocker.co.nz/nz-stl/glenfield/,,Foot Locker,Q63335
https://stores.footlocker.co.nz/nz-nsn/wellington/,footlocker,"Foot Locker Locations in Wellington, Nelson City | Approved",,New York,NY,,NZ,+64 800 863 8932,https://stores.footlocker.co.nz/nz-nsn/wellington/,,Foot Locker,Q63335
https://stores.footlocker.co.nz/nz-nsn/porirua/,footlocker,"Foot Locker Locations in Porirua, Nelson City | Approved",,New York,NY,,NZ,+64 800 863 8932,https://stores.footlocker.co.nz/nz-nsn/porirua/,,Foot Locker,Q63335
https://stores.footlocker.co.nz/nz-nsn/manukau/,footlocker,"Foot Locker Locations in Manukau, Nelson City | Approved",,New York,NY,,NZ,+64 800 863 8932,https://stores.footlocker.co.nz/nz-nsn/manukau/,,Foot Locker,Q63335
https://stores.footlocker.co.nz/nz-nsn/hamilton/,footlocker,"Foot Locker Locations in Hamilton, Nelson City | Approved",,New York,NY,,NZ,+64 800 863 8932,https://stores.footlocker.co.nz/nz-nsn/hamilton/,,Foot Locker,Q63335
https://stores.footlocker.co.nz/nz-nsn/auckland/,footlocker,"Foot Locker Locations in Auckland, Nelson City | Approved",,New York,NY,,NZ,+64 800 863 8932,https://stores.footlocker.co.nz/nz-nsn/auckland/,,Foot Locker,Q63335
https://stores.footlocker.co.nz/nz-can/riccarton/,footlocker,"Foot Locker Locations in Riccarton, Canterbury | Approved",,New York,NY,,NZ,+64 800 863 8932,https://stores.footlocker.co.nz/nz-can/riccarton/,,Foot Locker,Q63335
https://stores.footlocker.co.nz/nz-auk/newlynn/,footlocker,"Foot Locker Locations in New Lynn, Auckland | Approved",,New York,NY,,NZ,+64 800 863 8932,https://stores.footlocker.co.nz/nz-auk/newlynn/,,Foot Locker,Q63335
https://stores.footlocker.co.nz/nz-auk/henderson/,footlocker,"Foot Locker Locations in Henderson, Auckland | Approved",,New York,NY,,NZ,+64 800 863 8932,https://stores.footlocker.co.nz/nz-auk/henderson/,,Foot Locker,Q63335
https://stores.footlocker.co.nz/nz-auk/easttamaki/,footlocker,"Foot Locker Locations in EAST TAMAKI, Auckland | Approved",,New York,NY,,NZ,+64 800 863 8932,https://stores.footlocker.co.nz/nz-auk/easttamaki/,,Foot Locker,Q63335
https://stores.footlocker.co.nz/nz-wgn/,footlocker,Foot Locker Locations in Wellington | Approved,,New York,NY,,NZ,+64 800 863 8932,https://stores.footlocker.co.nz/nz-wgn/,,Foot Locker,Q63335
https://stores.footlocker.co.nz/nz-stl/,footlocker,Foot Locker Locations in Southland | Approved,,New York,NY,,NZ,+64 800 863 8932,https://stores.footlocker.co.nz/nz-stl/,,Foot Locker,Q63335
https://stores.footlocker.co.nz/nz-nsn/,footlocker,Foot Locker Locations in Nelson City | Approved,,New York,NY,,NZ,+64 800 863 8932,https://stores.footlocker.co.nz/nz-nsn/,,Foot Locker,Q63335
https://stores.footlocker.co.nz/nz-can/,footlocker,Foot Locker Locations in Canterbury | Approved,,New York,NY,,NZ,+64 800 863 8932,https://stores.footlocker.co.nz/nz-can/,,Foot Locker,Q63335
https://stores.footlocker.co.nz/nz-auk/,footlocker,Foot Locker Locations in Auckland | Approved,,New York,NY,,NZ,+64 800 863 8932,https://stores.footlocker.co.nz/nz-auk/,,Foot Locker,Q63335
