Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72016860,moneygram,POLARIS BANK LIMITED - #177 - ABIA - ABI,,ABIA,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72017733,moneygram,POLARIS BANK LIMITED - #315 - ABIA - ABI,,ABIA,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72017979,moneygram,POLARIS BANK LIMITED - #357 - ABIA - ABA,,ABIA,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72018237,moneygram,POLARIS BANK LIMITED - #396 - ABIA - ABA,,ABIA,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72018460,moneygram,POLARIS BANK LIMITED - #429 - ABIA - ABA,,ABIA,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72018486,moneygram,POLARIS BANK LIMITED - #431 - ABIA - UMU,,ABIA,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72018745,moneygram,POLARIS BANK LIMITED - #487 - ABIA - ABA,,ABIA,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72018813,moneygram,POLARIS BANK LIMITED - #512 - ABIA - ABA,,ABIA,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72019058,moneygram,POLARIS BANK LIMITED - #571 - ABIA - ABI,,ABIA,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72019142,moneygram,POLARIS BANK LIMITED - #580 - ABIA - CEM,,ABIA,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72019265,moneygram,POLARIS BANK LIMITED - #591 - ABIA - FMC,,ABIA,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
