Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
65579699,moneygram,OIB - BEDELE,,BEDELE,,,ET,4451433,,Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66508698,moneygram,CBE - CBE- SHONE,,SHONE,,,ET,0465530303,,Mo-Fr 08:00-16:30; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66508834,moneygram,CBE - SHINSHICHO,,SHINSHICHO,,,ET,0463390459,,Mo-Fr 08:00-16:30; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66508892,moneygram,CBE - CBE -SECHA,,ARBA MINCH',,,ET,+251 46 881 1020,,Mo-Fr 08:00-16:30; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66509639,moneygram,CBE - ARBEGONA,,YAYE,,,ET,0464580001,,Mo-Fr 08:00-16:30; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66510673,moneygram,CBE - ARRERTY,,ARRERTY,,,ET,+251 22 223 0402,,Mo-Fr 08:00-16:30; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66511258,moneygram,CBE - ALEM BANK,,ADDIS ABABA,,,ET,0118302039,,Mo-Fr 08:00-16:30; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66511397,moneygram,CBE - LEBU,,ADDIS ABABA,,,ET,+251 91 166 8695,,Mo-Fr 08:00-16:30; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66511423,moneygram,CBE - MEKANISA,,ADDIS ABABA,,,ET,+251 11 321 2320,,Mo-Fr 08:00-16:30; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66511449,moneygram,CBE - SALOGORA,,ADDIS ABABA,,,ET,+251 11 434 2722,,Mo-Fr 08:00-16:30; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66512448,moneygram,CBE - GUNDO MESK,,GUNDO MESKEL,,,ET,0111150224,,Mo-Fr 08:00-16:30; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66512781,moneygram,CBE - CMC,,ADDIS ABABA,,,ET,+251 91 164 6918,,Mo-Fr 08:00-16:30; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66512891,moneygram,CBE - WUHA LIMAT,,ADDIS ABABA,,,ET,+251 11 662 7395,,Mo-Fr 08:00-16:30; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66512930,moneygram,CBE - WOLLOSEFER,,ADDIS ABABA,,,ET,092651656,,Mo-Fr 08:00-16:30; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66513007,moneygram,CBE - YERER BER,,ADDIS ABABA,,,ET,+251 11 688 0450,,Mo-Fr 08:00-16:30; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66513117,moneygram,CBE - SENDAFA,,SENDAFA,,,ET,+251 91 118 7520,,Mo-Fr 08:00-16:30; Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
