Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
65718719,moneygram,BOC - #33727 - GDZS ZHONGSHAN BRANCH OPE,,ZHONGSHAN,,,CN,+86 760 8699 8100,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717189,moneygram,BOC - #13248 - GDZS SUNDONG SUBBRANCH,,ZHONGSHAN,,,CN,+86 760 8887 0038,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717202,moneygram,BOC - #13249 - GDZS HUBING SUBBRANCH,,ZHONGSHAN,,,CN,+86 760 8882 0431,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717215,moneygram,BOC - #13251 - GDZS SUNWEN E RD SUBBRANC,,ZHONGSHAN,,,CN,+86 760 8882 9543,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717228,moneygram,BOC - #13250 - GDZS HONGJI RD SUBBRANCH,,ZHONGSHAN,,,CN,+86 760 8878 2482,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717244,moneygram,BOC - #13252 - GDZS HUAYUAN SUBBRANCH,,ZHONGSHAN,,,CN,+86 760 8831 6131,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717338,moneygram,BOC - #13253 - GDZS DONGYUAN RD SUBBRANC,,ZHONGSHAN,,,CN,+86 760 8833 5713,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717477,moneygram,BOC - #13255 - GDZS SONGYUANXINCUN SUBBR,,ZHONGSHAN,,,CN,+86 760 8831 2321,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717503,moneygram,BOC - #13254 - GDZS HAOYIHUATING SUBBRAN,,ZHONGSHAN,,,CN,+86 760 8826 7878,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717532,moneygram,BOC - #13257 - GDZS GANGKOU SUBBRANCH,,ZHONGSHAN,,,CN,+86 760 8849 0812,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717558,moneygram,BOC - #13256 - GDZS HUAKAI SUBBRANCH,,ZHONGSHAN,,,CN,+86 760 8838 7408,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717574,moneygram,BOC - #13242 - GDZS SHIQI SUBBRANCH,,ZHONGSHAN,,,CN,+86 760 8884 7778,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717613,moneygram,BOC - #13244 - GDZS ZHONGKEN SQUARE SUBB,,ZHONGSHAN,,,CN,+86 760 8886 1362,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717639,moneygram,BOC - #13246 - GDZS JUNYUEHAOTING SUBBRA,,ZHONGSHAN,,,CN,+86 760 8880 3878,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717710,moneygram,BOC - #13258 - GDZS LIANTANG RD SUBBRANC,,ZHONGSHAN,,,CN,+86 760 8872 7383,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
