City,Place Name,Zipcode,Name
Messina,deichmann,,unknown,"DEICHMANN negozio Messina S.S. 114 Km 4,800, Fraz. Pistunina"
Messina,tigota_it,,unknown,Tigotà
Tortorici,western_union,,unknown,BEVACQUA SALVATORE
Piraino,western_union,,unknown,CAFARELLA GIOVANNI
Brolo,western_union,,unknown,GAMMERI EUGENIO MARIA ANTONINO
Lipari,western_union,,unknown,TURCARELLI IVAN
Naso,western_union,,unknown,TRIPICIANO CALOGERO
Capo D Orlando,western_union,,unknown,BONTEMPO MARIA ANTONIETTA
Capo D  Orlando,western_union,,unknown,TABACCHERIA VALENTI DI CARRELLO FABRIZIO
Sant Agata Di Militello,western_union,,unknown,RICCA BENEDETTO
Acquedolci,western_union,,unknown,MAGGIORE VINCENZO
Santo Stefano Di Camastra,western_union,,unknown,LO IACONO TERESA
Meri,western_union,,unknown,LENZO GIUSEPPE
Milazzo,western_union,,unknown,ALESSIO CLAUDIO
San Filippo Del Mela,western_union,,unknown,TABACCHI EDICOLA LA COCCINELLA DI SCARCE
Messina,western_union,,unknown,COMPUTER CENTER DI MARESSA FABIO
Torregrotta,western_union,,unknown,EDICOLA AL SEMAFORO DI POLLINO LUCIA
Venetico,western_union,,unknown,LISA ROCCO
Villafranca Tirrena,western_union,,unknown,ANASTASI GIACOMO
Barcellona Pozzo Di Gotto,western_union,,unknown,CHORAZY LIDIA
Oliveri,western_union,,unknown,FLYERSOFTWARE DI FABBRINI RICC
Terme Vigliatore,western_union,,unknown,SMOKING PLANET DI MAIMONE MANUEL
Patti,western_union,,unknown,GIUTTARI PAOLO FRANCESCO
Mazzarra Sant Andrea,western_union,,unknown,LA SPADA VINCENZA
Roccalumera,western_union,,unknown,RIV 7 DI ROBERTO BERCOLLI
Santa Teresa Di Riva,western_union,,unknown,ZAGARELLA NATALE
Taormina,western_union,,unknown,PATERNITI BARBINO ROSALINDA
Graniti,western_union,,unknown,BAR TABACCHI DI BRUNETTO PAOLO
