City,Place Name,Zipcode,Name
Одеса,adidas,,unknown,"adidas Originals, ТЦ City center | в магазині встановлено генератор"
Odesa,mercedes_benz,,unknown,Odesa-Auto PJSC
Odesa,smart,,unknown,Odesa-Auto PJSC
IZMAIL,visa,,unknown,unknown
IZMAYIL,visa,,unknown,unknown
TUZLY,visa,,unknown,unknown
SERGIIVKA,visa,,unknown,unknown
SALGANI,visa,,unknown,unknown
BILGOROD-DNISTROVSKYY,visa,,unknown,unknown
BILHOROD-DNISTROVSKYI,visa,,unknown,unknown
BILHOROD-DNISTROVS'KYI,visa,,unknown,unknown
GRYBIVKA,visa,,unknown,unknown
OVIDIOPOL,visa,,unknown,unknown
VELYKODOLYNSʹKE,visa,,unknown,unknown
CHERNOMORSK,visa,,unknown,unknown
VELYKODOLYNS`KE,visa,,unknown,unknown
CHORNOMORSK,visa,,unknown,unknown
CHORNOMORSʹK,visa,,unknown,unknown
OLEKSANDRIVKA,visa,,unknown,unknown
MALODOLYNS`KE,visa,,unknown,unknown
ODESA,visa,,unknown,unknown
ODESSA,visa,,unknown,unknown
MYZYKEVYCHA,visa,,unknown,unknown
FONTANKA,visa,,unknown,unknown
YUZHNE,visa,,unknown,unknown
VYZYRKA,visa,,unknown,unknown
PERSHOTRAVNEVE,visa,,unknown,unknown
DOBROSLAV,visa,,unknown,unknown
PODILSK,visa,,unknown,unknown
BALTA,visa,,unknown,unknown
ZHEREBKOVE,visa,,unknown,unknown
CHORNOMORS'K,visa,,unknown,unknown
MYKOLAIVKA,visa,,unknown,unknown
