Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
74616860,moneygram,MASRED - CHIGORODO - JOYERIA OROEXPRESS,,CHIGORODO,,,CO,+57 604 8163921,,Mo-Sa 08:30-18:30; Su 09:00-13:00,MoneyGram,Q1944412
74918966,moneygram,GANA - CHIGORODO - MARIA AUXILIADORA,,CHIGORODO,,,CO,4444441,,Mo-Sa 13:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74919952,moneygram,GANA - CHIGORODO - TEATRO,,CHIGORODO,,,CO,4444441,,Mo-Sa 06:00-21:45; Su 00:00-24:00,MoneyGram,Q1944412
74919871,moneygram,GANA - CHIGORODO - AVENIDA,,CHIGORODO,,,CO,4444441,,Mo-Sa 06:00-21:45; Su 10:00-18:00,MoneyGram,Q1944412
74918979,moneygram,GANA - CHIGORODO - MERRY,,CHIGORODO,,,CO,4444441,,Mo-Sa 06:00-21:45; Su 00:00-24:00,MoneyGram,Q1944412
74914805,moneygram,GANA - CHIGORODO - FERRINI,,CHIGORODO,,,CO,4444441,,Mo-Sa 06:00-21:45; Su 00:00-24:00,MoneyGram,Q1944412
74918759,moneygram,GANA - CHIGORODO - POMPO,,CHIGORODO,,,CO,4444441,,Mo-Sa 06:00-21:45; Su 00:00-24:00,MoneyGram,Q1944412
74919004,moneygram,GANA - CHIGORODO - LA MAZORCA,,CHIGORODO,,,CO,4444441,,Mo-Sa 06:00-21:45; Su 00:00-24:00,MoneyGram,Q1944412
74918924,moneygram,GANA - CHIGORODO - UNIDAD MEDICA,,CHIGORODO,,,CO,4444441,,Mo-Sa 06:00-21:45; Su 00:00-24:00,MoneyGram,Q1944412
74918953,moneygram,GANA - CHIGORODO - CANO COTORRA 1,,CHIGORODO,,,CO,4444441,,Mo-Sa 06:00-21:45; Su 10:00-18:00,MoneyGram,Q1944412
74919923,moneygram,GANA - CHIGORODO - CAMILO TORRES 1,,CHIGORODO,,,CO,4444441,,Mo-Sa 06:00-21:45; Su 00:00-24:00,MoneyGram,Q1944412
74919965,moneygram,GANA - CHIGORODO - EDATEL,,CHIGORODO,,,CO,4444441,,Mo-Fr 06:00-22:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
74919868,moneygram,GANA - CHIGORODO - CARPAVERDE,,CHIGORODO,,,CO,4444441,,Mo-Sa 06:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
