Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
1ae9a587c8bb4f7cb83bb30df7b6e879,western_union,NGARA POST OFFICE,,Ngara,KAGERA,,TZ,+255 752 201 767,https://location.westernunion.com/tz/kagera/ngara/1ae9a587c8bb4f7cb83bb30df7b6e879,Mo-Fr 08:00-16:30; Sa 09:00-12:00,Western Union,Q861042
04f2b62cb6ec99e8f4164569e59981c0,western_union,CRDB BANK BIHARAMULO,,Biharamulo,KAGERA,,TZ,+255 22 212 9412,https://location.westernunion.com/tz/kagera/biharamulo/04f2b62cb6ec99e8f4164569e59981c0,Mo-Fr 08:00-17:30; Sa 09:00-14:00,Western Union,Q861042
6187d721782c734813740af2a49c92d5,western_union,CRDB KYERWA BRANCH,,Kagera,KAGERA,,TZ,+255 22 212 9412,https://location.westernunion.com/tz/kagera/kagera/6187d721782c734813740af2a49c92d5,Mo-Fr 08:00-17:30; Sa 08:30-14:00,Western Union,Q861042
e23179b605acdb96f2ebda19435c5eec,western_union,CRDB BANK KARAGWE,,Karagwe,KAGERA,,TZ,+255 22 212 9412,https://location.westernunion.com/tz/kagera/karagwe/e23179b605acdb96f2ebda19435c5eec,Mo-Fr 08:00-17:30; Sa 09:00-14:00,Western Union,Q861042
03de9335831bd1e7e668e2ce408ba094,western_union,MULEBA POST OFFICE,,Muleba,KAGERA,,TZ,(+255) 22-768619954,https://location.westernunion.com/tz/kagera/muleba/03de9335831bd1e7e668e2ce408ba094,Mo-Fr 08:00-16:30; Sa 09:00-12:00,Western Union,Q861042
b7b0555a79765233dd2822754ef23bfd,western_union,CRDB MULEBA BRANCH,,Bukoba,KAGERA,,TZ,+255 22 212 9412,https://location.westernunion.com/tz/kagera/bukoba/b7b0555a79765233dd2822754ef23bfd,Mo-Fr 08:00-17:30; Sa 08:30-14:00,Western Union,Q861042
b2312d0184f7d71ff529f1c47c9b2ae8,western_union,BIHARAMURO POST OFFICE,,Biharamuro,KAGERA,,TZ,(+255) 22-759021406,https://location.westernunion.com/tz/kagera/biharamuro/b2312d0184f7d71ff529f1c47c9b2ae8,Mo-Fr 08:00-16:30; Sa 09:00-12:00,Western Union,Q861042
3842a7aa8a9426cc63263d4fbf298d77,western_union,KAMACHUMU POST OFFICE,,Kamachumu,KAGERA,,TZ,(+255) 22-754660584,https://location.westernunion.com/tz/kagera/kamachumu/3842a7aa8a9426cc63263d4fbf298d77,Mo-Fr 08:00-16:30; Sa 09:00-12:00,Western Union,Q861042
5f989a1303398f8d6588ea9cbfaf9354,western_union,CRDB KAGERA SUGAR BRANCH,,Bukoba,KAGERA,,TZ,(+255) 22-2129412-00,https://location.westernunion.com/tz/kagera/bukoba/5f989a1303398f8d6588ea9cbfaf9354,Mo-Fr 08:30-18:30; Sa 08:30-15:00,Western Union,Q861042
615fd4c634c56e39b3569babd9e1190f,western_union,CRDB KAGERA SUGAR BRANCH,,Bukoba,KAGERA,,TZ,(+255) 22-2129412-00,https://location.westernunion.com/tz/kagera/bukoba/615fd4c634c56e39b3569babd9e1190f,Mo-Fr 08:30-18:30; Sa 08:30-15:00,Western Union,Q861042
34a99118c5d4bff93c8a6c85a64b18fd,western_union,KYAKA POST OFFICE,,Kyaka,KAGERA,,TZ,+255 684 887 777,https://location.westernunion.com/tz/kagera/kyaka/34a99118c5d4bff93c8a6c85a64b18fd,Mo-Fr 08:00-16:30; Sa 09:00-12:00,Western Union,Q861042
799f79709087cbf0dffd75a3d466b742,western_union,MKOMBOZI BANK BUKOBA BRANCH,,Bukoba,KAGERA,,TZ,(+255) 22-21378067,https://location.westernunion.com/tz/kagera/bukoba/799f79709087cbf0dffd75a3d466b742,Mo-Fr 08:30-16:00; Sa 08:30-13:00,Western Union,Q861042
3173a1a7ea7a6666caaa987ac85c1edf,western_union,MKOMBOZI BANK BUKOBA BRANCH,,Bukoba,KAGERA,,TZ,(+255) 22-21378067,https://location.westernunion.com/tz/kagera/bukoba/3173a1a7ea7a6666caaa987ac85c1edf,Mo-Fr 08:30-16:00; Sa 08:30-13:00,Western Union,Q861042
9043a91c6cca5047c509f46115c03c75,western_union,CRDB BUKOBA BRANCH,,Bukoba,KAGERA,,TZ,+255 22 212 9412,https://location.westernunion.com/tz/kagera/bukoba/9043a91c6cca5047c509f46115c03c75,Mo-Fr 08:00-17:30; Sa 08:30-14:00,Western Union,Q861042
55538092db5128899204ef8f37a568e8,western_union,TCB BUKOBA,,Bukoba,KAGERA,,TZ,(+252) 22-2110621-1783,https://location.westernunion.com/tz/kagera/bukoba/55538092db5128899204ef8f37a568e8,Mo-Fr 08:30-16:00; Sa 09:00-12:30,Western Union,Q861042
49d55cba31073060c4088ec6fd12a557,western_union,BUKOBA POST OFFICE,,Bukoba,KAGERA,,TZ,+255 28 222 0212,https://location.westernunion.com/tz/kagera/bukoba/49d55cba31073060c4088ec6fd12a557,Mo-Fr 08:00-16:30; Sa 09:00-12:00,Western Union,Q861042
ad2ea01fce9cbff7b83edd445a04bf59,western_union,TCB BUKOBA,,Bukoba,KAGERA,,TZ,(+252) 22-2110621-1783,https://location.westernunion.com/tz/kagera/bukoba/ad2ea01fce9cbff7b83edd445a04bf59,Mo-Fr 08:30-16:00; Sa 09:00-12:30,Western Union,Q861042
