Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
000736,bash_za,THE FIX LEPHALALE MALL PRETORIA,,LEPHALALE,Limpopo,,ZA,,https://bash.com/store/the-fix-lephalale-mall-pretoria-0536/000736,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,The FIX,Q116379523
011325,bash_za,AMERICAN SWISS LEPHALALE MALL,,LEPHALALE,Limpopo,,ZA,,https://bash.com/store/american-swiss-lephalale-mall-0536/011325,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
060494,bash_za,TOTALSPORTS LEPHALALE MALL PRETORIA,,LEPHALALE,Limpopo,,ZA,,https://bash.com/store/totalsports-lephalale-mall-pretoria-0536/060494,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
020370,bash_za,MARKHAM LEPHALALE CBD,,LEPHALALE,Limpopo,,ZA,,https://bash.com/store/markham-lephalale-cbd-0536/020370,Mo 09:00-13:00; Tu-Sa 08:00-17:00; Su 08:00-14:00,Markham,Q116378583
455873,bash_za,JET PHAHLADIRA MALL LEPHALALE,,LEPHALALE,Limpopo,,ZA,,https://bash.com/store/jet-phahladira-mall-lephalale-0536/455873,Mo 09:00-14:00; Tu-Sa 08:30-17:30; Su 08:00-15:00,Jet,Q61995123
030585,bash_za,EXACT LEPHALALE MALL PRETORIA,,LEPHALALE,Limpopo,,ZA,,https://bash.com/store/exact-lephalale-mall-pretoria-0536/030585,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-15:00,Exact,Q116379381
030936,bash_za,EX LEPHALALE LEPHALALE,,LEPHALALE,Limpopo,,ZA,,https://bash.com/store/ex-lephalale-lephalale-0536/030936,Mo 09:00-13:00; Tu-Sa 08:00-17:00; Su 09:00-14:00,Exact,Q116379381
015376,bash_za,STERNS LEPHALALE MALL PRETORIA,,LEPHALALE,Limpopo,,ZA,,https://bash.com/store/sterns-lephalale-mall-pretoria-0536/015376,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
450075,bash_za,JET FASHION CORNER LEPHALALE,,LEPHALALE,Limpopo,,ZA,,https://bash.com/store/jet-fashion-corner-lephalale-0536/450075,Mo 09:00-13:00; Tu-Sa 08:00-17:00; Su 08:00-14:00,Jet,Q61995123
000920,bash_za,FOSCHINI LEPHALALE,,LEPHALALE,Limpopo,,ZA,,https://bash.com/store/foschini-lephalale-0536/000920,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
032913,bash_za,EXACT MARAPONG SHOPPING CTR LEPHALALE,,LEPHALALE,Limpopo,,ZA,,https://bash.com/store/exact-marapong-shopping-ctr-lephalale-0536/032913,Mo 09:00-12:00; Tu-Sa 09:00-18:00; Su 09:00-13:00,Exact,Q116379381
450045,bash_za,JET MARAPONG SHOPPING CTR LEPHALALE,,LEPHALALE,Limpopo,,ZA,,https://bash.com/store/jet-marapong-shopping-ctr-lephalale-0536/450045,Mo 09:00-14:00; Tu-Sa 09:00-18:00; Su 09:00-15:00,Jet,Q61995123
