Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
5a265ec80bac6d867d608b2d5f83db0e,western_union,SUPERGIROS OCA�A PDV LA VIRGEN DEL CARME,,Oca�a,NORTE SANTANDER,,CO,+57 1 800 0111700,https://location.westernunion.com/co/norte-santander/oca�a/5a265ec80bac6d867d608b2d5f83db0e,Mo-Sa 08:00-20:00; Su 10:00-16:00,Western Union,Q861042
a30a1c4c645f59f254b4b776445bc5d1,western_union,SUPERGIROS PAMPLONA ESQUINA,,Pamplona,NORTE SANTANDER,,CO,+57 1 800 0111700,https://location.westernunion.com/co/norte-santander/pamplona/a30a1c4c645f59f254b4b776445bc5d1,Mo-Sa 08:00-20:00; Su 10:00-16:00,Western Union,Q861042
df00e09c47bc68d5089ef833425b148b,western_union,SUPERGIROS PAMPLONA CANAVERAL DE LA MONT,,Pamplona,NORTE SANTANDER,,CO,+57 1 800 0111700,https://location.westernunion.com/co/norte-santander/pamplona/df00e09c47bc68d5089ef833425b148b,Mo-Sa 08:00-20:00; Su 10:00-16:00,Western Union,Q861042
104f4b660765d3795e508af3bead0798,western_union,SUPERGIROS V DEL ROSARIO 20 DE JULIO II,,Villa Rosario,NORTE SANTANDER,,CO,+57 1 800 0111700,https://location.westernunion.com/co/norte-santander/villa-rosario/104f4b660765d3795e508af3bead0798,Mo-Sa 08:00-20:00; Su 10:00-16:00,Western Union,Q861042
bea2a657d667e66fb8c8bb72ce98747d,western_union,SUPERGIROS V DEL ROSARIO PDV LA PALMITA,,Villa Rosario,NORTE SANTANDER,,CO,+57 1 800 0111700,https://location.westernunion.com/co/norte-santander/villa-rosario/bea2a657d667e66fb8c8bb72ce98747d,Mo-Sa 08:00-20:00; Su 10:00-16:00,Western Union,Q861042
05f45c50423c433016071877cae8a864,western_union,SUPERGIROS CUCUTA PDV JUAN ATALAYA AV 27,,Cucuta,NORTE SANTANDER,,CO,+57 1 800 0111700,https://location.westernunion.com/co/norte-santander/cucuta/05f45c50423c433016071877cae8a864,Mo-Sa 08:00-20:00; Su 10:00-16:00,Western Union,Q861042
5b0118de3b984fefc9b4872849ec9039,western_union,SUPERGIROS LOS PATIOS PDV ESPECIAL LA Y,,Los Patios,NORTE SANTANDER,,CO,+57 1 800 0111700,https://location.westernunion.com/co/norte-santander/los-patios/5b0118de3b984fefc9b4872849ec9039,Mo-Sa 08:00-20:00; Su 10:00-16:00,Western Union,Q861042
72f4fd10383c07e6449ef06353cb3616,western_union,SUPERGIROS CUCUTA ESPECIALIZADO B BLANCO,,Cucuta,NORTE SANTANDER,,CO,+57 1 800 0111700,https://location.westernunion.com/co/norte-santander/cucuta/72f4fd10383c07e6449ef06353cb3616,Mo-Sa 08:00-20:00; Su 10:00-16:00,Western Union,Q861042
ce6f2ece23b28c54e2b97a7d4ae52294,western_union,SUPERGIROS CUCUTA PDV LA HERMITA 3,,Cucuta,NORTE SANTANDER,,CO,+57 1 800 0111700,https://location.westernunion.com/co/norte-santander/cucuta/ce6f2ece23b28c54e2b97a7d4ae52294,Mo-Sa 08:00-20:00; Su 10:00-16:00,Western Union,Q861042
4cfe790033d834058d89ea0c201da5e8,western_union,SUPERGIROS CUCUTA PDV ESQ IPS LOS OLIVOS,,Cucuta,NORTE SANTANDER,,CO,+57 1 800 0111700,https://location.westernunion.com/co/norte-santander/cucuta/4cfe790033d834058d89ea0c201da5e8,Mo-Sa 08:00-20:00; Su 10:00-16:00,Western Union,Q861042
2db77d00e0c18c36edca0645f690b149,western_union,SUPERGIROS CONVENCION PDV LA PRIMERA,,Convencion,NORTE SANTANDER,,CO,+57 1 800 0111700,https://location.westernunion.com/co/norte-santander/convencion/2db77d00e0c18c36edca0645f690b149,Mo-Sa 08:00-20:00; Su 10:00-16:00,Western Union,Q861042
ac5925c7296fb1a826d1fe0289ee2a79,western_union,SUPERGIROS OCA�A PDV LA LAGUNA,,Oca�a,NORTE SANTANDER,,CO,+57 1 800 0111700,https://location.westernunion.com/co/norte-santander/oca�a/ac5925c7296fb1a826d1fe0289ee2a79,Mo-Sa 08:00-20:00; Su 10:00-16:00,Western Union,Q861042
