State,Place Name,City,Establishments
UNKNOWN,accor,unknown,56
MOW,adidas,Москва,32
BRY,adidas,Брянск,1
NVS,adidas,Новосибирск,4
YAR,adidas,Ярославль,1
SPE,adidas,Санкт-Петербург,8
KHA,adidas,Хабаровск,1
TYU,adidas,Тюмень,1
SVE,adidas,Екатеринбург,3
OMS,adidas,Омск,1
TA,adidas,Казань,1
KHM,adidas,Сургут,2
KYA,adidas,Красноярск,1
KDA,adidas,Краснодар,4
ROS,adidas,Ростов-На-Дону,2
IRK,adidas,Иркутск,2
KDA,adidas,Сочи,1
UD,adidas,Ижевск,1
VOR,adidas,Воронеж,1
SAR,adidas,Саратов,1
KDA,adidas,Геленджик,1
KIR,adidas,Абакан,1
SAM,adidas,Самара,1
MOW,adidas,Химки,1
NIZ,adidas,Нижний Новгород,1
MOS,adidas,Мытищи,1
KEM,adidas,Новокузнецк,1
ALT,adidas,Барнаул,1
CHE,adidas,Челябинск,1
BA,adidas,Уфа,1
RYA,adidas,Рязань,1
MOS,adidas,ОДИНЦОВО,1
ARKHANGELSKAYAOBLAST,adidas,Архангельск,1
NIZHEGORODSKAYAOBLAST,adidas,Нижний Новгород,1
VOLGOGRADSKAYAOBLAST,adidas,Волгоград,1
MOSKVA,adidas,Москва,12
OMSKAYAOBLAST,adidas,Омск,1
SVERDLOVSKAYAOBLAST,adidas,Екатеринбург,1
MOSKOVSKAYAOBLAST,adidas,Мытищи,1
MOSKOVSKAYAOBLAST,adidas,Балашиха,1
SAMARSKAYAOBLAST,adidas,Самара,1
UDMURTSKAYARESPUBLIKA,adidas,Ижевск,1
MOSKOVSKAYAOBLAST,adidas,Пушкино,1
VLA,adidas,Владимир,1
SANKTPETERBURG,adidas,Санкт-Петербург,2
KRASNODARSKIYKRAY,adidas,Новороссийск,1
LIPETSKAYAOBLAST,adidas,Липецк,1
SARATOVSKAYAOBLAST,adidas,Энгельс,1
KIR,adidas,Киров,1
KRASNODARSKIYKRAY,adidas,Сочи,1
PERMSKIYKRAY,adidas,Пермь,1
VOLOGODSKAYAOBLAST,adidas,Череповец,1
SAK,adidas,Южно-Сахалинск,1
KLU,adidas,Калуга,2
KLU,adidas,Обнинск,1
MOS,adidas,Реутов,1
KO,adidas,Сыктывкар,1
ARK,adidas,Архангельск,1
TUL,adidas,Тула,1
UNKNOWN,alstom,unknown,1
UNKNOWN,ashley_furniture,Krasnodar,1
UNKNOWN,ashley_furniture,Rostov-on-Don,1
PERM,audi,Perm,1
NOVOSIBIRSK,audi,Novosibirsk,1
TVERSKAYA,audi,Tver,1
STPETERSBURG,audi,St. Petersburg,4
PENZA,audi,Penza,1
ROSTOV,audi,Rostov-na-Donu,1
SVERDLOVSK,audi,Ekaterinburg,2
MOSKOVSKAYA,audi,Moscow,4
MOSCOW,audi,Moscow,5
LIPETSK,audi,Lipetsk,1
ORENBURG,audi,Orenburg,1
KRASNODARSKIY,audi,Krasnodar,2
UDMURTIYA,audi,Izhevsk,1
TATARSTAN,audi,Naberezhnye Chelny,2
STAVROPOLSKIY,audi,Mineralnye Vody,1
ULYANOVSK,audi,Ulyanovsk,1
KHABAROVSKKRAI,audi,Khabarovsk,1
TULA,audi,Tula,1
KIROV,audi,Kirov,1
IRKUTSK,audi,Irkutsk,1
KHANTYMANSIYSKIYAVTONOMNYYOKRUG,audi,Surgut,1
VORONEZJ,audi,Voronezh,1
ALTAIKRAI,audi,Barnaul,1
VLADIMIR,audi,Vladimir,1
KEMEROVO,audi,Kemerovo,1
RJAZAN,audi,Ryazan,1
KALININGRAD,audi,Kaliningrad,1
BELGOROD,audi,Belgorod,1
CHELYABINSK,audi,Chelyabinsk,1
MOSCOW,audi,Balashikha,1
KRASNODARSKIY,audi,Sochi,1
STAVROPOLSKIY,audi,Stavropol,1
SARATOV,audi,Saratov,1
KRASNODARSKIY,audi,Novorossiysk,1
BASHKORTOSTAN,audi,Ufa,2
NIZJNIJNOVGOROD,audi,Nizhniy Novgorod,2
TATARSTAN,audi,Kazan,1
SAMARA,audi,Samara,1
KRASNOYARSKIY,audi,Krasnoyarsk,1
TJUMEN,audi,Tyumen,1
KR,aveda,Krasnodar,1
UNKNOWN,bmw_group,Moscow,17
UNKNOWN,bmw_group,Krasnoyarsk,1
UNKNOWN,bmw_group,Saratov,1
UNKNOWN,bmw_group,Rostov-on-Don,1
UNKNOWN,bmw_group,Nizhny Novgorod,2
UNKNOWN,bmw_group,Saint Petersburg,5
UNKNOWN,bmw_group,Irkutsk,1
UNKNOWN,bmw_group,Vladivostok,1
UNKNOWN,bmw_group,Khimki,1
UNKNOWN,bmw_group,Orenburg,1
UNKNOWN,bmw_group,Kazan,3
UNKNOWN,bmw_group,Krasnodar,1
UNKNOWN,bmw_group,Rostov on Don,1
UNKNOWN,bmw_group,Voronezh,1
UNKNOWN,bmw_group,Omsk,1
UNKNOWN,bmw_group,Kaliningrad,1
UNKNOWN,bmw_group,Sochi,1
UNKNOWN,bmw_group,St. Petersburg,2
UNKNOWN,bmw_group,Respublika Adygeya,1
UNKNOWN,bmw_group,Ekaterinburg,3
UNKNOWN,bmw_group,Tula,1
UNKNOWN,bmw_group,Ufa,1
UNKNOWN,bmw_group,Togliatty,1
UNKNOWN,bmw_group,Tver,1
UNKNOWN,bmw_group,Naberezhnye Chelny,1
UNKNOWN,bmw_group,Penza,1
UNKNOWN,bmw_group,Kursk,1
UNKNOWN,bmw_group,Belgorod,1
UNKNOWN,bmw_group,Novosibirsk,1
UNKNOWN,bmw_group,Surgut,1
UNKNOWN,bmw_group,Smolensk,1
UNKNOWN,bmw_group,Izhevsk,1
UNKNOWN,bmw_group,Stavropol,1
UNKNOWN,bmw_group,Novorossiysk,1
UNKNOWN,bmw_group,Samara,1
UNKNOWN,bmw_group,Magnitogorsk,1
UNKNOWN,bmw_group,Kemerovo,1
UNKNOWN,bmw_group,Chelyabinsk,1
UNKNOWN,bmw_group,Volgograd,1
UNKNOWN,bmw_group,Tyumen,1
UNKNOWN,bmw_group,Barnaul,1
UNKNOWN,bmw_group,Perm,1
UNKNOWN,bmw_group,Mineralnye Vody,1
UNKNOWN,burger_king_ru,unknown,813
UNKNOWN,calvin_klein,Moscow,16
UNKNOWN,calvin_klein,Saint Petersburg,5
UNKNOWN,calvin_klein,Samara,1
UNKNOWN,calvin_klein,Perm,1
UNKNOWN,calvin_klein,Nizhny Novgorod,1
UNKNOWN,calvin_klein,Voronezh,2
UNKNOWN,calvin_klein,Chelyabinsk,2
UNKNOWN,calvin_klein,Surgut,1
UNKNOWN,calvin_klein,Ufa,1
UNKNOWN,calvin_klein,Yaroslavl,1
UNKNOWN,calvin_klein,Tolyatti,1
UNKNOWN,calvin_klein,Yekaterinburg,1
UNKNOWN,calvin_klein,Novosibirsk,1
UNKNOWN,chetyre_lapy_ru,unknown,510
UNKNOWN,chizhik_ru,unknown,734
UNKNOWN,church_of_england_gb,unknown,2
KHAKASIYA,coffee_like,Абакан,9
KRASNODARSKIY,coffee_like,Абинск,1
CHELYABINSK,coffee_like,Актобе,1
TATARSTAN,coffee_like,Альметьевск,1
KRASNODARSKIY,coffee_like,Анапа,7
IRKUTSK,coffee_like,Ангарск,11
MURMANSK,coffee_like,Апатиты,1
NIZJNIJNOVGOROD,coffee_like,Арзамас,1
ARKHANGELSKAYA,coffee_like,Архангельск,23
ARKHANGELSKAYA,coffee_like,Архангельск ,1
ASTRAKHAN,coffee_like,Астрахань,3
ALTAIKRAI,coffee_like,Барнаул,12
SVERDLOVSK,coffee_like,Березовский,2
JEWISHAUTONOMOUSOBLAST,coffee_like,Биробиджан,6
AMUR,coffee_like,Благовещенск,3
NIZJNIJNOVGOROD,coffee_like,Бор,2
ORENBURG,coffee_like,Бузулук,3
VLADIMIR,coffee_like,Владимир,5
VOLGOGRAD,coffee_like,Волгоград,35
VOLGOGRAD,coffee_like,Волжский,3
VOLOGDA,coffee_like,Вологда,6
KOMIREPUBLIC,coffee_like,Воркута,3
VORONEZJ,coffee_like,Воронеж,32
UDMURTIYA,coffee_like,Воткинск,3
NIZJNIJNOVGOROD,coffee_like,Выкса,4
ARKHANGELSKAYA,coffee_like,г. Архангельск,1
VORONEZJ,coffee_like,г. Воронеж,1
JAROSLAVL,coffee_like,г. Кострома,1
ORENBURG,coffee_like,г. Оренбург,1
LENINGRAD,coffee_like,г. Санкт-Петербург,1
STPETERSBURG,coffee_like,г. Санкт-Петербург,1
ORENBURG,coffee_like,Гай,1
KRASNODARSKIY,coffee_like,Геленджик,1
NIZJNIJNOVGOROD,coffee_like,д. Анкудиновка,1
SMOLENSK,coffee_like,Десногорск,1
NIZJNIJNOVGOROD,coffee_like,Дзержинск,6
VOLGOGRAD,coffee_like,Дзержинск,1
ULYANOVSK,coffee_like,Димитровград,1
MOSKOVSKAYA,coffee_like,Дмитров,1
KRASNOYARSKIY,coffee_like,Дудинка,1
SVERDLOVSK,coffee_like,Екатеринбург,7
TATARSTAN,coffee_like,Елабуга,3
KAMTSJATKA,coffee_like,Елизово,1
PENZA,coffee_like,Заречный,2
MOSCOW,coffee_like,Зеленоград,1
TATARSTAN,coffee_like,Зеленодольск,3
IVANOVO,coffee_like,Иваново,2
MOSKOVSKAYA,coffee_like,Ивантеевка,1
UDMURTIYA,coffee_like,Ижевск,21
IRKUTSK,coffee_like,Иркутск,12
MARIYEL,coffee_like,Йошкар-Ола,6
TATARSTAN,coffee_like,Казань,20
KALININGRAD,coffee_like,Калининград,15
CHUKOTSKIYAVTONOMNYYOKRUG,coffee_like,Калининград,1
VOLGOGRAD,coffee_like,Камышин,1
