Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68920588,moneygram,ARTHAPOS - #DP - DEPOK - KPRK DEPOK,,DEPOK,,,ID,+62 21 71794849,,Mo-Sa 06:00-22:00; Su 07:00-15:00,MoneyGram,Q1944412
71689450,moneygram,BTN - DEPOK - CITAYAM,,DEPOK,,,ID,+62 21 7751236,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71689492,moneygram,BTN - DEPOK - TOLE ISKANDAR,,DEPOK,,,ID,+62 21 7871047,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71689502,moneygram,BTN - DEPOK - KARTINI,,DEPOK,,,ID,+62 21 87986788,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71689515,moneygram,BTN - DEPOK - KELAPA DUA,,DEPOK,,,ID,+62 21 7762020,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71689560,moneygram,BTN - DEPOK - CISALAK,,DEPOK,,,ID,+62 21 87709099,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71689573,moneygram,BTN - DEPOK - CILODONG,,DEPOK,,,ID,+62 21 87745810,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690151,moneygram,BTN - DEPOK - TRANSYOGI,,DEPOK,,,ID,+62 21 87751495,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71689463,moneygram,BTN - DEPOK - BEJI,,DEPOK,,,ID,+62 21 7704143,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692829,moneygram,BTN - DEPOK - DEPOK,,DEPOK,,,ID,21742260,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71689557,moneygram,BTN - DEPOK - MAHARAJA,,DEPOK,,,ID,+62 21 77218275,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
