Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
66482426,moneygram,BCA - METRO JABABEKA,,CIKARANG,,,ID,+62 21 5563388,,Mo-Fr 06:00-15:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66469889,moneygram,BCA - CIKARANG,,CIKARANG,,,ID,+62 21 5563388,,Mo-Fr 06:00-15:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66477185,moneygram,BCA - LIPPO CIKARANG,,CIKARANG,,,ID,+62 21 5563388,,Mo-Fr 06:00-15:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66467551,moneygram,BCA - RUKO JABABEKA,,CIKARANG,,,ID,+62 21 5563388,,Mo-Fr 06:00-15:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73156185,moneygram,BRI - #10183 - JAKARTA 2 - TARUM BARAT,,JAKARTA 2,,,ID,+62 21 1500017,,Mo-Fr 08:00-15:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73185949,moneygram,BRI - #5650 - JAKARTA 2 - UNIT PILAR TAM,,JAKARTA 2,,,ID,+62 21 1500017,,Mo-Fr 08:00-15:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73056780,moneygram,BRI - #9157 - JAKARTA 2 - CIKARANG SGC,,JAKARTA 2,,,ID,+62 21 1500017,,Mo-Fr 08:00-15:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73185402,moneygram,BRI - #9180 - JAKARTA 2 - DELTA MAS,,JAKARTA 2,,,ID,+62 21 1500017,,Mo-Fr 08:00-15:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73183899,moneygram,BRI - #9237 - JAKARTA 2 - JABABEKA,,JAKARTA 2,,,ID,+62 21 1500017,,Mo-Fr 08:00-15:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73177038,moneygram,BRI - #9827 - JAKARTA 2 - KANTOR PERTANA,,JAKARTA 2,,,ID,+62 21 1500017,,Mo-Fr 08:00-15:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73185761,moneygram,BRI - #9892 - JAKARTA 2 - LIPPO CIKARANG,,JAKARTA 2,,,ID,+62 21 1500017,,Mo-Fr 08:00-15:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73065687,moneygram,BRI - #7106 - JAKARTA 2 - UNIT SUKADANAU,,JAKARTA 2,,,ID,+62 21 1500017,,Mo-Fr 08:00-15:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73072780,moneygram,BRI - #9156 - JAKARTA 2 - CIKARANG SELAT,,JAKARTA 2,,,ID,+62 21 1500017,,Mo-Fr 08:00-15:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70848467,moneygram,ARTHAPOS - BEKASI - CIKARANG,,BEKASI,,,ID,+62 21 7190415,,Mo-Sa 06:00-22:00; Su 07:00-15:00,MoneyGram,Q1944412
