Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
459647,bash_za,"Jet Home GAME CITY, GABORONE",,GABORONE,BOTSWANA,,ZA,,"https://bash.com/store/jet-home-game-city,-gaborone-00000/459647",Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
330255,bash_za,@home GABORONE GAME CITY GABORONE,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/@home-gaborone-game-city-gaborone-00000/330255,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,@Home,Q116429887
457440,bash_za,Jet Gaborone Station,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/jet-gaborone-station-00000/457440,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
011274,bash_za,American Swiss GABORONE GAME CITY GABORONE,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/american-swiss-gaborone-game-city-gaborone-00000/011274,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
015228,bash_za,Sterns GABORONE GAME CITY GABORONE,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/sterns-gaborone-game-city-gaborone-00000/015228,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
015297,bash_za,Sterns GABORONE BUS RANK MALL GABORONE BOTSWANA,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/sterns-gaborone-bus-rank-mall-gaborone-botswana-00000/015297,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
020619,bash_za,MARKHAM GABERONE,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/markham-gaberone-00000/020619,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
025503,bash_za,Relay Jeans GABORONE GAME CITY,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/relay-jeans-gaborone-game-city-00000/025503,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Relay Jeans,Q116378360
011278,bash_za,American Swiss GABORONE AIRPORT JUNCTION GABORONE,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/american-swiss-gaborone-airport-junction-gaborone-00000/011278,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
015358,bash_za,Sterns GALO CENTRE FRANCISTOWN BOTSWANA,,FRANCISTOWN,BOTSWANA,,ZA,,https://bash.com/store/sterns-galo-centre-francistown-botswana-00000/015358,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
067413,bash_za,Sportscene GABORONE BR MALL,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/sportscene-gaborone-br-mall-00000/067413,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sportscene,Q116378841
020734,bash_za,Markham GALO CENTRE FRANCISTOWN,,FRANCISTOWN,BOTSWANA,,ZA,,https://bash.com/store/markham-galo-centre-francistown-00000/020734,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
451315,bash_za,Jet GABORONE BR MALL,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/jet-gaborone-br-mall-00000/451315,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
060792,bash_za,TOTALSPORTS GABERONE AIRPORT JUNCTION,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/totalsports-gaberone-airport-junction-00000/060792,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
000530,bash_za,Foschini GABORONE AIRPORT JUNCTION GABORONE,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/foschini-gaborone-airport-junction-gaborone-00000/000530,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
060796,bash_za,Totalsports GABORONE BR MALL GABORONE,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/totalsports-gaborone-br-mall-gaborone-00000/060796,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
039604,bash_za,Exact PILANE CROSSING,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/exact-pilane-crossing-00000/039604,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Exact,Q116379381
037300,bash_za,Exact GABORONE AIRPORT JUNCTION,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/exact-gaborone-airport-junction-00000/037300,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Exact,Q116379381
005591,bash_za,Foschini GALO CENTRE FRANCISTOWN,,FRANCISTOWN,BOTSWANA,,ZA,,https://bash.com/store/foschini-galo-centre-francistown-00000/005591,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
335093,bash_za,@home livingspace GABORONE AIRPORT JUNCTION,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/@home-livingspace-gaborone-airport-junction-00000/335093,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,@Home Livingspace,Q117406343
068325,bash_za,Sportscene GABORONE AIRPORT JUNCTION,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/sportscene-gaborone-airport-junction-00000/068325,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sportscene,Q116378841
330219,bash_za,@home GABORONE AIRPORT JUNCTION GABORONE,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/@home-gaborone-airport-junction-gaborone-00000/330219,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,@Home,Q116429887
060790,bash_za,Totalsports GABORONE GAME CITY GABORONE,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/totalsports-gaborone-game-city-gaborone-00000/060790,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
065045,bash_za,Sportscene GABORONE GAME CITY,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/sportscene-gaborone-game-city-00000/065045,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sportscene,Q116378841
062717,bash_za,Totalsports FRANCISTOWN,,FRANCISTOWN,BOTSWANA,,ZA,,https://bash.com/store/totalsports-francistown-00000/062717,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
000379,bash_za,The FIX GABORONE GAME CITY GABORONE,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/the-fix-gaborone-game-city-gaborone-00000/000379,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,The FIX,Q116379523
020721,bash_za,MARKHAM BR MALL GABORONE,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/markham-br-mall-gaborone-00000/020721,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
039554,bash_za,Exact GABORONE GAME CITY,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/exact-gaborone-game-city-00000/039554,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Exact,Q116379381
455440,bash_za,Jet GABORONE AIRPORT JUNCTION,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/jet-gaborone-airport-junction-00000/455440,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
000529,bash_za,The FIX GABORONE BR MALL GABORONE,,GABORONE,BOTSWANA,,ZA,,https://bash.com/store/the-fix-gaborone-br-mall-gaborone-00000/000529,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,The FIX,Q116379523
