Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72380004,moneygram,DIAMOND BANK PLC - #186 - IBADAN - OKE A,,IBADAN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380088,moneygram,DIAMOND BANK PLC - #194 - IBADAN - IBADA,,IBADAN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380172,moneygram,DIAMOND BANK PLC - #204 - IBADAN - IBADA,,IBADAN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380774,moneygram,DIAMOND BANK PLC - BODIJA MINI,,IBADAN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378388,moneygram,DIAMOND BANK PLC - IBADAN,,IBADAN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379811,moneygram,DIAMOND BANK PLC - RING ROAD IBADAN,,IBADAN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72627301,moneygram,ACCESS BANK PLC - AKANRAN BRANCH,,IBADAN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72627275,moneygram,ACCESS BANK PLC - APOMU BRANCH,,OGBOMOSO,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72627071,moneygram,ACCESS BANK PLC - BODIJA MINI,,IBADAN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72627398,moneygram,ACCESS BANK PLC - GBAGI MARKET BRANCH,,IBADAN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72624689,moneygram,ACCESS BANK PLC - IBADAN,,IBADAN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626470,moneygram,ACCESS BANK PLC - IBADAN - IBADAN AGBENI,,IBADAN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626386,moneygram,ACCESS BANK PLC - IBADAN - IBADAN UCH,,IBADAN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626302,moneygram,ACCESS BANK PLC - IBADAN - OKE ADO,,IBADAN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626111,moneygram,ACCESS BANK PLC - RING ROAD IBADAN,,IBADAN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
