Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
71995526,moneygram,ABAY BANK SC - ADDIS ABABA - BAMBIS,,ADDIS ABABA,,,ET,115571248,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71995694,moneygram,ABAY BANK SC - ADDIS ABABA - BOLE ARARSA,,ADDIS ABABA,,,ET,115571248,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71995461,moneygram,ABAY BANK SC - ADDIS ABABA - FERENSAY LE,,ADDIS ABABA,,,ET,115571248,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71995474,moneygram,ABAY BANK SC - ADDIS ABABA - GERJI MEBRA,,ADDIS ABABA,,,ET,115571248,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71995704,moneygram,ABAY BANK SC - ADDIS ABABA - GURDSHOLLA,,ADDIS ABABA,,,ET,115571248,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71995458,moneygram,ABAY BANK SC - ADDIS ABABA - LAFTO MEBRA,,ADDIS ABABA,,,ET,115571248,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71995665,moneygram,ABAY BANK SC - ADDIS ABABA - LAMBERET,,ADDIS ABABA,,,ET,115571248,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71995597,moneygram,ABAY BANK SC - ADDIS ABABA - MEHAL GURDE,,ADDIS ABABA,,,ET,+251 11 618 5687,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71995678,moneygram,ABAY BANK SC - ADDIS ABABA - STADIUM,,ADDIS ABABA,,,ET,115571248,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71995539,moneygram,ABAY BANK SC - ADDIS ABABA - WOSSEN,,ADDIS ABABA,,,ET,115571248,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71995571,moneygram,ABAY BANK SC - AMBO - AMBO,,AMBO,,,ET,115571248,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71995555,moneygram,ABAY BANK SC - BAHIR DAR - MEHAL GEBEYA,,BAHIR DAR,,,ET,583205547,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71995652,moneygram,ABAY BANK SC - DITCHOTTO - DITCH-OTTO,,DITCHOTTO,,,ET,115571248,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71995490,moneygram,ABAY BANK SC - EBINAT - EBINAT,,EBINAT,,,ET,115571248,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71995445,moneygram,ABAY BANK SC - GELAN - GELAN,,GELAN,,,ET,115571248,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71995513,moneygram,ABAY BANK SC - KARA K'ORE - KARA KORE,,KARA K'ORE,,,ET,115571248,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71995487,moneygram,ABAY BANK SC - MEKET - MEKET,,MEKET,,,ET,115571248,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
66105826,moneygram,CBE - ADI HAKI,,MEK'ELE,,,ET,+251 34 441 3519,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105473,moneygram,CBE - GHINNER,,BALE,,,ET,251466640265,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
44584650,moneygram,NIB - SHOLA,,ADDIS ABABA,,,ET,25111622693,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
44584786,moneygram,NIB - ADAMA,,ADAMA,,,ET,25111124844,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
44778738,moneygram,AWASH BANK - H\DILDY,,ADDIS ABABA,,,ET,+251 11 157 8891,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
44778741,moneygram,AWASH BANK - LIDETA,,ADDIS ABABA,,,ET,+251 11 554 6574,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
44778767,moneygram,AWASH BANK - TEKLE HAIMANOT,,ADDIS ABABA,,,ET,+251 11 277 2730,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
44778783,moneygram,AWASH BANK - SEBATEGNA AKABABI,,ADDIS ABABA,,,ET,+251 11 277 3343,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
44778806,moneygram,AWASH BANK - JIMMA,,JIMA,,,ET,+251 47 111 2189,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
44778819,moneygram,AWASH BANK - SHASHEMENE,,SHASHEMENE,,,ET,251461106525,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
65069604,moneygram,NIB - #RAS - RAS,,ADDIS ABABA,,,ET,+251 11 553 6821,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
65069646,moneygram,NIB - #ARADA - ARADA,,ADDIS ABABA,,,ET,+251 11 157 2813,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
65476255,moneygram,CBE - JEGOL,,HARER,,,ET,6670443,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66103572,moneygram,CBE - AIRPORT,,ADDIS ABABA,,,ET,+251 11 665 0318,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66103611,moneygram,CBE - BOLE,,ADDIS ABABA,,,ET,+251 11 553 3520,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66103640,moneygram,CBE - BOLE MEDHANIALEM,,ADDIS ABABA,,,ET,+251 11 618 0272,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66103679,moneygram,CBE - CARGO TERMINAL,,ADDIS ABABA,,,ET,+251 11 665 1433,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66103695,moneygram,CBE - ECA/AFRICA HALL,,ADDIS ABABA,,,ET,+251 11 551 5876,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66103747,moneygram,CBE - GERJI,,ADDIS ABABA,,,ET,051116298935,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66103750,moneygram,CBE - GOTERA,,ADDIS ABABA,,,ET,+251 11 442 4272,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66103802,moneygram,CBE - GURD SHOLA,,ADDIS ABABA,,,ET,+251 11 647 6562,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66103860,moneygram,CBE - KOTEBE,,ADDIS ABABA,,,ET,251115479038,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66103899,moneygram,CBE - LAFTO,,ADDIS ABABA,,,ET,+251 11 419 6844,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66103938,moneygram,CBE - LIDETA,,ADDIS ABABA,,,ET,+251 11 550 4247,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66103941,moneygram,CBE - SAR BET,,ADDIS ABABA,,,ET,+251 11 372 6112,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66103983,moneygram,CBE - MILLE,,MILE,,,ET,+251 33 223 0059,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104306,moneygram,CBE - ADDIS ZEMEN,,GONDER,,,ET,+251 58 444 0013,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104319,moneygram,CBE - AYKEL,,GONDER,,,ET,+251 58 333 0095,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104322,moneygram,CBE - COMBOLCHA,,DESE,,,ET,+251 33 551 0171,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104335,moneygram,CBE - DABAT,,GONDER,,,ET,251581130037,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104348,moneygram,CBE - DEBARK,,GONDER,,,ET,251581170864,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104351,moneygram,CBE - DEBRE BREHAN,,DEBRE BIRHAN,,,ET,+251 11 681 3939,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104364,moneygram,CBE - DEBRE TABOUR,,GONDER,,,ET,+251 58 441 0613,,Mo-Tu 08:00-18:00; We 08:00-16:30; Th-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104380,moneygram,CBE - EFFESSON,,DESE,,,ET,+251 33 661 0045,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104393,moneygram,CBE - ESTIE,,GONDER,,,ET,+251 58 111 4180,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104432,moneygram,CBE - JANTEKEL,,GONDER,,,ET,+251 58 111 0699,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104458,moneygram,CBE - MEHAL MEDA,,MEHAL MEDA,,,ET,+251 11 685 0110,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104461,moneygram,CBE - MEKANE SELAM,,DESE,,,ET,+251 33 220 0037,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104487,moneygram,CBE - MUGAD,,DESE,,,ET,+251 58 445 0029,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104490,moneygram,CBE - NEFAS MEWCHA,,GONDER,,,ET,+251 58 445 0029,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104500,moneygram,CBE - SEKOTA,,DESE,,,ET,+251 33 440 0989,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104555,moneygram,CBE - WOLDIA,,DESE,,,ET,+251 33 331 0502,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104568,moneygram,CBE - WORETA,,GONDER,,,ET,+251 58 446 0103,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66104584,moneygram,CBE - ARSI NEGELE,,BORENA,,,ET,251461160450,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105402,moneygram,CBE - BALE GOBA,,BALE,,,ET,251466611229,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105415,moneygram,CBE - BATI,,BATI,,,ET,+251 33 553 0078,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105457,moneygram,CBE - DODOLLA,,BALE,,,ET,251466660070,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105460,moneygram,CBE - DOLOMENA,,BALE,,,ET,251466680181,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105499,moneygram,CBE - KEMISSIE,,WOLENKOMI,,,ET,+251 33 554 1747,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105525,moneygram,CBE - NEGELLE BORENA,,NEGELE,,,ET,+251 46 444 0029,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
