Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68260251,moneygram,DENIZBANK - #9930 - ISTANBUL - ALTUNIZAD,,ISTANBUL,,,TR,6511511,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262615,moneygram,DENIZBANK - #5850 - ISTANBUL - BEYKOZ,,ISTANBUL,,,TR,4240195,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263591,moneygram,DENIZBANK - #4470 - ISTANBUL - KEYAP,,ISTANBUL,,,TR,5264127,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262657,moneygram,DENIZBANK - #1005 - ISTANBUL - IDEALTEPE,,ISTANBUL,,,TR,4579600,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263465,moneygram,DENIZBANK - #4130 - ISTANBUL - ACIBADEM,,ISTANBUL,,,TR,3398121,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264082,moneygram,DENIZBANK - #5610 - ISTANBUL - PENDIK CA,,ISTANBUL,,,TR,5062030,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262961,moneygram,DENIZBANK - #9320 - ISTANBUL - MALTEPE,,ISTANBUL,,,TR,4594670,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264037,moneygram,DENIZBANK - #5350 - ISTANBUL - TUZLA,,ISTANBUL,,,TR,7011091,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260918,moneygram,DENIZBANK - #3180 - ISTANBUL - KUCUKYALI,,ISTANBUL,,,TR,3672660,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262576,moneygram,DENIZBANK - #7030 - ISTANBUL - IHLAMURKU,,ISTANBUL,,,TR,6120177,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265887,moneygram,DENIZBANK - #5650 - ISTANBUL - CEMENZAR,,ISTANBUL,,,TR,5650612,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262563,moneygram,DENIZBANK - #9010 - ISTANBUL - NATO YOLU,,ISTANBUL,,,TR,4601820,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262932,moneygram,DENIZBANK - #9210 - ISTANBUL - KIZILTOPR,,ISTANBUL,,,TR,3308125,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264163,moneygram,DENIZBANK - #5880 - ISTANBUL - KOSUYOLU,,ISTANBUL,,,TR,3262252,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265243,moneygram,DENIZBANK - #3830 - ISTANBUL - CEKMEKOY,,ISTANBUL,,,TR,6413868,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68266048,moneygram,DENIZBANK - #9090 - ISTANBUL - BATI ATAS,,ISTANBUL,,,TR,3156336,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262660,moneygram,DENIZBANK - #9340 - ISTANBUL - ICERENKOY,,ISTANBUL,,,TR,5760707,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264639,moneygram,DENIZBANK - #9860 - ISTANBUL - USKUDAR,,ISTANBUL,,,TR,4924910,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265227,moneygram,DENIZBANK - #3750 - ISTANBUL - KUCUKBAKK,,ISTANBUL,,,TR,5721606,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263261,moneygram,DENIZBANK - #3240 - ISTANBUL - SAHRAYICE,,ISTANBUL,,,TR,3863544,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264707,moneygram,DENIZBANK - #2230 - ISTANBUL - PENDIK,,ISTANBUL,,,TR,3905522,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260280,moneygram,DENIZBANK - #9920 - ISTANBUL - DUDULLU,,ISTANBUL,,,TR,4996677,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263368,moneygram,DENIZBANK - #3460 - ISTANBUL - BUYUKADA,,ISTANBUL,,,TR,3821142,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261946,moneygram,DENIZBANK - #1920 - ISTANBUL - ATASEHIR,,ISTANBUL,,,TR,5808920,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260028,moneygram,DENIZBANK - #9260 - ISTANBUL - SUADIYE,,ISTANBUL,,,TR,3024020,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262181,moneygram,DENIZBANK - #5460 - ISTANBUL - KAYNARCA,,ISTANBUL,,,TR,3964433,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
