Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68249560,moneygram,KUVEYT TURK BANK - ISTANBUL,,ISTANBUL,,,TR,+90 4440123,,Mo-Fr 09:00-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68249573,moneygram,KUVEYT TURK BANK - ISTANBUL,,ISTANBUL,,,TR,+90 4440123,,Mo-Fr 09:00-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68249586,moneygram,KUVEYT TURK BANK - ISTANBUL,,ISTANBUL,,,TR,+90 4440123,,Mo-Fr 09:00-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68278117,moneygram,KUVEYT TURK BANK - ISTANBUL,,ISTANBUL,,,TR,4791518,,Mo-Fr 09:00-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68278159,moneygram,KUVEYT TURK BANK - ISTANBUL,,ISTANBUL,,,TR,+90 4440123,,Mo-Fr 09:00-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68278175,moneygram,KUVEYT TURK BANK - ISTANBUL,,ISTANBUL,,,TR,+90 4440123,,Mo-Fr 09:00-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262424,moneygram,DENIZBANK - #5940 - ISTANBUL - GAYRETTEP,,ISTANBUL,,,TR,3066750,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261153,moneygram,DENIZBANK - #3930 - ISTANBUL - CENNET MA,,ISTANBUL,,,TR,6246484,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263973,moneygram,DENIZBANK - #5110 - ISTANBUL - ARNAVUTKO,,ISTANBUL,,,TR,5978882,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264493,moneygram,DENIZBANK - #9220 - ISTANBUL - YESILKOY,,ISTANBUL,,,TR,6633400,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265706,moneygram,DENIZBANK - #1690 - ISTANBUL - AVCILAR C,,ISTANBUL,,,TR,5099320,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
