Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
66840974,moneygram,BOC - #16221 - SAXBJ BAOTAI SUB-BR,,BAOJI,,,CN,+86 917 338 3153,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842671,moneygram,BOC - #16224 - SAXBJ DONGCHENG SUB-BR,,BAOJI,,,CN,+86 917 351 9132,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842684,moneygram,BOC - #16225 - SAXBJ POLITICAL CENTER SU,,BAOJI,,,CN,+86 917 343 2612,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842697,moneygram,BOC - #16226 - SAXBJ MAYING SUB-BR,,BAOJI,,,CN,+86 917 322 1824,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842707,moneygram,BOC - #16227 - SAXBJ DONGFENGLU SUB-BR,,BAOJI,,,CN,+86 917 321 3616,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842710,moneygram,BOC - #16229 - SAXBJ GAOXINJISHUKAIFAQUL,,BAOJI,,,CN,+86 917 330 5751,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842765,moneygram,BOC - #16236 - SAXBJ DONGLING SUB-BR,,BAOJI,,,CN,+86 917 341 1559,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842778,moneygram,BOC - #16423 - SAXBJ CHENCANG SUB-BR,,BAOJI,,,CN,+86 917 621 3437,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840644,moneygram,BOC - #16223 - SAXBJ ZHONGSHANDONGLU SUB,,BAOJI,,,CN,+86 917 351 3607,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840657,moneygram,BOC - #16228 - SAXBJ CHENCANGYUAN SUB-BR,,BAOJI,,,CN,+86 917 321 3864,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840673,moneygram,BOC - #16237 - SAXBJ GAOXINLU SUB-BR,,BAOJI,,,CN,+86 917 356 5338,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66842668,moneygram,BOC - #16222 - SAXBJ JINGERLUDONGDUAN SU,,BAOJI,,,CN,+86 917 322 2394,,Mo-Fr 08:30-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
