Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72379882,moneygram,DIAMOND BANK PLC - #174 - OKIGWE - OWERR,,OKIGWE,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380813,moneygram,DIAMOND BANK PLC - FUTO MINI,,OWERRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379714,moneygram,DIAMOND BANK PLC - MBAISE,,MBAISE,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379662,moneygram,DIAMOND BANK PLC - OKIGWE ROAD OWERRI,,OWERRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379196,moneygram,DIAMOND BANK PLC - ORLU,,ORLU,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378333,moneygram,DIAMOND BANK PLC - OWERRI 1,,OWERRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380855,moneygram,DIAMOND BANK PLC - OWERRI NAZE MINI,,OWERRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379303,moneygram,DIAMOND BANK PLC - OWERRI ORLU RD,,OWERRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379426,moneygram,DIAMOND BANK PLC - WETHERAL RD OWERRI,,OWERRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72627110,moneygram,ACCESS BANK PLC - FUTO MINI,,OWERRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626014,moneygram,ACCESS BANK PLC - MBAISE,,MBAISE,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626182,moneygram,ACCESS BANK PLC - OKIGWE - OWERRI OKIGW,,OKIGWE,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625963,moneygram,ACCESS BANK PLC - OKIGWE ROAD OWERRI,,OWERRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625497,moneygram,ACCESS BANK PLC - ORLU,,ORLU,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72624634,moneygram,ACCESS BANK PLC - OWERRI 1,,OWERRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72627152,moneygram,ACCESS BANK PLC - OWERRI NAZE MINI,,OWERRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625604,moneygram,ACCESS BANK PLC - OWERRI ORLU RD,,OWERRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625727,moneygram,ACCESS BANK PLC - WETHERAL RD OWERRI,,OWERRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
