Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
65711787,moneygram,BOC - #13670 - GDMM YOUCHENG SUBBRANCH,,MAOMING,,,CN,+86 668 286 4261,,Mo-Fr 09:00-17:00; Sa-Su 09:30-16:00,MoneyGram,Q1944412
65714959,moneygram,BOC - #33795 - GDGZ MAOMING SUBBRANCH,,MAOMING,,,CN,+86 668 286 8108,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65715408,moneygram,BOC - #13676 - GDMM GUANGHUABEI SUBBRANC,,MAOMING,,,CN,+86 668 228 2205,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65715437,moneygram,BOC - #13678 - GDMM HUANAN SUBVRANCH,,MAOMING,,,CN,+86 668 289 3393,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65715466,moneygram,BOC - #13673 - GDMM GUANSHAN SAN SUBBRAN,,MAOMING,,,CN,+86 668 293 6210,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65715479,moneygram,BOC - #13675 - GDMM GAOLIANG(M) SUBBRANC,,MAOMING,,,CN,+86 668 288 3521,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65716038,moneygram,BOC - #13677 - GDMM YINGBIN DONG SUBBRAN,,MAOMING,,,CN,+86 668 296 6599,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65716067,moneygram,BOC - #13679 - GDMM YINGBIN SUBBRANCH,,MAOMING,,,CN,+86 668 228 4743,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65715644,moneygram,BOC - #13680 - GDMM HAIGUAN SUBBRANCH,,MAOMING,,,CN,+86 668 282 3274,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65715686,moneygram,BOC - #13671 - GDMM ORTH HONG QI SUBBRAN,,MAOMING,,,CN,+86 668 225 0484,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65715851,moneygram,BOC - #13672 - GDMM NORTH RENMINIU SUBBR,,MAOMING,,,CN,+86 668 295 9159,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65715945,moneygram,BOC - #13681 - GDMM SHUANGSHAN SUBBRANCH,,MAOMING,,,CN,+86 668 228 2847,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65715958,moneygram,BOC - #13674 - GDMM WENMING SUBBRANCH,,MAOMING,,,CN,+86 668 293 3039,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
67865615,moneygram,BOC - #13878 - GDMM TIANQIAOLU SUBBR,,MAOMING,,,CN,+86 668 285 8306,,Mo-Fr 09:00-17:00; Sa-Su 10:00-16:00,MoneyGram,Q1944412
