Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
66841122,moneygram,BOC - #16145 - SAXXA CHANG'ANNANLU SUB-B,,XIAN,,,CN,+86 29 8785 7212,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841096,moneygram,BOC - #16137 - SAXXA FENGQING SUB-BR,,XIAN,,,CN,+86 29 8427 1353,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840288,moneygram,BOC - #16184 - SAXXA YANTALU SUB-BR,,XIAN,,,CN,+86 29 8222 0790,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841180,moneygram,BOC - #16404 - SAXXA DONGDAJIE SUB-BR,,XIAN,,,CN,+86 29 8742 6035,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841384,moneygram,BOC - #16108 - SAXXA LAODONGSLU,,XIAN,,,CN,+86 29 8439 3017,,Mo-Fr 09:00-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841520,moneygram,BOC - #16186 - SAXXA YOUYIDONGLU SUB-BR,,XIAN,,,CN,+86 29 8222 4796,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841533,moneygram,BOC - #16395 - SAXXA NANJIAO SUB-BR,,XIAN,,,CN,+86 29 8525 9411,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841588,moneygram,BOC - #16468 - SAXXA QUJIANG SUB-BR,,XIAN,,,CN,+86 29 8557 3339,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841591,moneygram,BOC - #16133 - SAXXA CHANGYINGWLU SUB-BR,,XIAN,,,CN,+86 29 8251 9503,,Mo-Fr 09:00-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841630,moneygram,BOC - #16127 - SAXXA JINGHUASLU SUB-BR,,XIAN,,,CN,+86 29 8325 7215,,Mo-Fr 09:00-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840712,moneygram,BOC - #16146 - SAXXA YANLIANDASHA SUB-BR,,XIAN,,,CN,+86 29 8765 2396,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
